Frame,integer_adm2,integer_adm_scale0,integer_adm_scale1,integer_adm_scale2,integer_adm_scale3,integer_motion2,integer_motion,integer_vif_scale0,integer_vif_scale1,integer_vif_scale2,integer_vif_scale3,psnr_y,psnr_cb,psnr_cr,float_ssim,vmaf,
0,0.844325,0.842123,0.726577,0.819259,0.899819,0.000000,0.000000,0.304228,0.610041,0.698841,0.762006,27.883483,42.793586,44.687710,0.929138,41.223391,
1,0.842673,0.841170,0.744797,0.805100,0.901286,15.433567,15.646033,0.304892,0.608733,0.696953,0.760857,27.885836,42.802666,44.683046,0.930499,55.769243,
2,0.835829,0.852072,0.735675,0.821929,0.876858,15.334433,15.433567,0.311259,0.617417,0.704656,0.767743,27.973457,42.799439,44.628768,0.930108,54.880636,
3,0.841280,0.848796,0.762250,0.802928,0.892541,14.954021,15.334433,0.318817,0.624156,0.709962,0.771390,27.888122,42.872269,44.584924,0.930789,55.814380,
4,0.840199,0.856161,0.765991,0.826005,0.871289,14.927073,14.954021,0.316442,0.615224,0.698453,0.756868,27.400310,42.704691,44.387424,0.930783,54.536229,
5,0.844710,0.860527,0.770769,0.799732,0.897558,14.735015,14.927073,0.316491,0.606413,0.687766,0.745216,26.385769,42.536550,44.072270,0.922648,54.367386,
6,0.847789,0.861430,0.789720,0.814680,0.889660,14.535433,14.735015,0.317767,0.601805,0.680635,0.735851,25.554459,42.396376,43.852147,0.917660,54.097807,
7,0.849199,0.862589,0.790422,0.810005,0.892020,14.201461,14.535433,0.320188,0.593422,0.667286,0.718477,24.409408,42.259252,43.726447,0.912617,52.848231,
8,0.846044,0.868463,0.789427,0.801154,0.892197,13.735695,14.201461,0.324897,0.593930,0.665869,0.715391,23.446136,42.188020,43.738752,0.907519,51.605098,
9,0.844717,0.868971,0.789322,0.804878,0.883617,13.253346,13.735695,0.331600,0.597217,0.666187,0.711235,22.824675,42.056754,43.524553,0.905178,50.613952,
10,0.834230,0.871356,0.794748,0.802504,0.859533,12.895632,13.253346,0.328522,0.586363,0.652571,0.694497,22.391408,42.015017,43.482598,0.899464,47.280050,
11,0.822215,0.869604,0.790121,0.792250,0.840036,12.621340,12.895632,0.330592,0.581057,0.644253,0.685005,22.014560,42.046945,43.335978,0.892153,44.219139,
12,0.810176,0.863078,0.784710,0.782124,0.823101,12.471054,12.621340,0.329725,0.571146,0.631688,0.668504,21.714195,41.912439,43.178719,0.886032,40.955796,
