Frame,integer_adm2,integer_adm_scale0,integer_adm_scale1,integer_adm_scale2,integer_adm_scale3,integer_motion2,integer_motion,integer_vif_scale0,integer_vif_scale1,integer_vif_scale2,integer_vif_scale3,psnr_y,psnr_cb,psnr_cr,float_ssim,vmaf,
0,0.879073,0.853282,0.792447,0.874542,0.932933,0.000000,0.000000,0.231573,0.741969,0.831312,0.878611,33.744788,41.684039,43.510447,0.955437,58.255955,
1,0.885165,0.858179,0.803647,0.879783,0.939883,7.762849,7.768182,0.235114,0.745844,0.834248,0.878921,33.742445,41.687695,43.452780,0.954009,67.455171,
2,0.891430,0.863412,0.798839,0.891109,0.946223,7.762849,7.762849,0.236056,0.745859,0.834244,0.876551,32.590444,41.497143,43.324137,0.952634,68.535511,
3,0.895216,0.867858,0.810531,0.885653,0.952216,7.810633,7.810633,0.238386,0.747674,0.835445,0.877927,31.557615,41.293832,43.187933,0.951398,69.460609,
4,0.894648,0.869416,0.809663,0.887408,0.948494,7.833696,7.833696,0.240134,0.748542,0.835816,0.877200,30.718041,41.077578,43.057444,0.950512,69.318584,
5,0.895246,0.870046,0.809261,0.880740,0.954993,7.836051,7.841486,0.240710,0.747743,0.833887,0.873603,29.588642,40.754937,42.853570,0.947699,69.120943,
6,0.889568,0.867674,0.799015,0.874840,0.951377,7.836051,7.836051,0.240880,0.742814,0.829896,0.871770,28.653254,40.553193,42.631611,0.944684,67.749827,
7,0.893219,0.862134,0.808010,0.885443,0.951663,7.843045,7.843045,0.240102,0.740827,0.826740,0.869816,28.016482,40.369791,42.449135,0.941922,68.257165,
8,0.891495,0.866746,0.804048,0.886465,0.945397,7.856415,7.856415,0.240439,0.738039,0.822411,0.864619,27.531370,40.201584,42.357919,0.939792,67.430263,
9,0.884509,0.860798,0.796768,0.865643,0.948194,7.905064,7.905064,0.240599,0.735119,0.818379,0.860352,27.138270,40.020459,42.255705,0.937824,65.671534,
10,0.883566,0.860709,0.805097,0.867377,0.941916,7.926861,7.926861,0.240903,0.735636,0.817171,0.857422,26.786309,39.851846,42.208221,0.936857,65.254812,
11,0.883487,0.858641,0.796273,0.877493,0.939211,7.942485,7.942485,0.242152,0.732919,0.814130,0.852782,26.498642,39.680156,42.081710,0.935666,64.846288,
