Frame,integer_adm2,integer_adm_scale0,integer_adm_scale1,integer_adm_scale2,integer_adm_scale3,integer_motion2,integer_motion,integer_vif_scale0,integer_vif_scale1,integer_vif_scale2,integer_vif_scale3,psnr_y,psnr_cb,psnr_cr,float_ssim,vmaf,
0,0.841329,0.819092,0.754902,0.826887,0.896610,0.000000,0.000000,0.340123,0.713056,0.787397,0.842194,28.147049,45.910363,46.978265,0.955226,46.576898,
1,0.841880,0.806153,0.739983,0.805031,0.915667,6.394863,6.394863,0.333706,0.708808,0.783877,0.837931,28.369891,45.860348,46.917466,0.955088,52.994736,
2,0.849136,0.805509,0.743774,0.839092,0.912580,6.107553,6.395272,0.331255,0.709592,0.784878,0.836132,28.621841,45.875783,46.870830,0.955761,54.024171,
3,0.841310,0.802928,0.741706,0.819665,0.908656,6.058105,6.107553,0.329488,0.706105,0.780264,0.834398,28.476982,45.890865,46.884584,0.955465,52.238810,
4,0.833048,0.807082,0.757172,0.804651,0.891144,6.043342,6.058105,0.329805,0.706623,0.780896,0.834772,28.448074,45.955412,46.896440,0.955404,50.665308,
5,0.838431,0.809138,0.740010,0.846459,0.886071,6.035874,6.043342,0.330333,0.705930,0.779416,0.830239,28.435141,45.945536,46.887041,0.955526,51.353717,
6,0.834158,0.806965,0.751761,0.793978,0.902651,6.035874,6.035874,0.327239,0.702817,0.777132,0.831771,28.351313,45.975534,46.915750,0.955555,50.609116,
7,0.845442,0.801130,0.739330,0.822184,0.917603,5.987634,6.054448,0.328414,0.705602,0.780646,0.834641,28.298453,46.020999,46.931187,0.956682,53.005593,
8,0.842146,0.810713,0.731289,0.842547,0.895727,5.987634,5.987634,0.327438,0.703000,0.778376,0.831793,28.298336,46.034792,46.930943,0.956017,52.138517,
9,0.839376,0.804230,0.748841,0.821348,0.899323,5.993449,6.015524,0.326233,0.703604,0.779334,0.834306,28.192593,46.057354,46.956282,0.956132,51.804978,
10,0.837455,0.804907,0.755184,0.823870,0.892597,5.993449,5.993449,0.325625,0.703997,0.780427,0.833298,28.179388,46.025395,46.974052,0.956440,51.398410,
11,0.841351,0.807919,0.750930,0.811246,0.912258,5.999212,6.056310,0.325107,0.704087,0.781601,0.838468,27.967416,46.079246,47.002116,0.955892,52.541149,
