Frame,integer_adm2,integer_adm_scale0,integer_adm_scale1,integer_adm_scale2,integer_adm_scale3,integer_motion2,integer_motion,integer_vif_scale0,integer_vif_scale1,integer_vif_scale2,integer_vif_scale3,psnr_y,psnr_cb,psnr_cr,float_ssim,vmaf,
0,0.890169,0.862101,0.802223,0.879565,0.949757,0.000000,0.000000,0.257008,0.772346,0.856521,0.900249,35.351619,42.466248,44.248672,0.963957,62.484737,
1,0.891996,0.860416,0.807972,0.897518,0.941291,5.475834,5.475834,0.251823,0.773150,0.859512,0.900864,35.369637,42.495927,44.233154,0.963447,68.767590,
2,0.893986,0.859661,0.806648,0.902292,0.943726,5.449908,5.476719,0.252569,0.774481,0.859198,0.899383,35.290929,42.373135,44.138599,0.963062,69.012309,
3,0.884358,0.858386,0.813049,0.887407,0.929585,5.424821,5.449908,0.255292,0.775365,0.859395,0.899232,35.089487,42.317178,44.040326,0.962479,67.027891,
4,0.889112,0.860315,0.807241,0.889329,0.939524,5.369242,5.424821,0.254868,0.775176,0.859219,0.901960,34.832781,42.183346,43.863306,0.962004,68.122612,
5,0.888389,0.856983,0.827198,0.868003,0.946610,5.348286,5.369242,0.253108,0.770009,0.854608,0.895182,34.440823,42.066328,43.642679,0.961142,67.335049,
6,0.891477,0.860224,0.812208,0.885528,0.944188,5.321636,5.348286,0.252191,0.768140,0.852628,0.893611,34.026891,41.846048,43.402531,0.960363,67.759102,
7,0.885344,0.862407,0.832415,0.870608,0.932032,5.270905,5.321636,0.250565,0.762473,0.848505,0.894804,33.556621,41.626408,43.126618,0.958933,66.458484,
8,0.891378,0.871332,0.822076,0.881774,0.940127,5.263877,5.270905,0.250904,0.761147,0.847265,0.891778,33.109365,41.425603,42.830381,0.958390,67.405863,
9,0.895215,0.874776,0.819637,0.895015,0.940852,5.263877,5.263877,0.251774,0.758988,0.844752,0.889450,32.571904,41.130138,42.514956,0.957514,67.929872,
10,0.898009,0.874189,0.835271,0.894074,0.938881,5.272043,5.272043,0.252716,0.756554,0.842209,0.886133,31.985881,40.840947,42.141970,0.957498,68.182839,
11,0.892469,0.878323,0.829529,0.873044,0.939921,5.285746,5.285746,0.254957,0.754133,0.838323,0.878867,31.409284,40.523591,41.863496,0.957280,66.434076,
12,0.898586,0.879301,0.836243,0.887575,0.944393,5.344132,5.344132,0.255797,0.746847,0.829381,0.872527,30.476769,40.197766,41.546680,0.955865,67.004481,
13,0.900066,0.877704,0.838288,0.902600,0.935902,5.427377,5.427377,0.255119,0.738510,0.819533,0.859000,29.260384,39.898306,41.258725,0.953350,66.156363,
14,0.900605,0.876783,0.844310,0.888549,0.945332,5.524394,5.524394,0.254533,0.728028,0.806778,0.845682,27.930654,39.534131,40.953115,0.949283,65.089444,
15,0.903431,0.881730,0.838129,0.893299,0.948965,5.599812,5.599812,0.254176,0.717533,0.795336,0.832225,26.689392,39.113040,40.610270,0.946105,64.514629,
16,0.897096,0.882854,0.831048,0.884691,0.944560,5.659318,5.659318,0.254039,0.710146,0.785884,0.822349,25.581326,38.680084,40.287705,0.943865,62.409532,
17,0.896779,0.881857,0.831738,0.887523,0.939965,5.673563,5.682363,0.255233,0.706539,0.780999,0.815156,24.625548,38.263110,39.961965,0.940951,61.750487,
18,0.895289,0.878356,0.828599,0.883500,0.942820,5.673563,5.673563,0.256652,0.704012,0.777363,0.812216,23.752859,37.868824,39.646640,0.938667,61.163462,
19,0.895147,0.879125,0.822117,0.882211,0.941916,5.666619,5.676083,0.258224,0.703049,0.776178,0.810839,22.985350,37.513717,39.387372,0.935355,61.002009,
20,0.889822,0.877925,0.827188,0.866359,0.941465,5.652196,5.666619,0.260715,0.704161,0.775611,0.809044,22.281020,37.181562,39.143511,0.932907,59.780454,
21,0.888765,0.880274,0.828833,0.873065,0.932538,5.617702,5.652196,0.261916,0.702106,0.773435,0.805536,21.658374,36.822778,38.864488,0.930357,59.252696,
22,0.879972,0.871941,0.823543,0.876120,0.913241,5.586499,5.617702,0.263415,0.701981,0.772631,0.805010,21.107262,36.469233,38.561314,0.928633,57.434323,
23,0.879240,0.873230,0.834082,0.855849,0.918582,5.487103,5.586499,0.264823,0.702329,0.774109,0.805791,20.614663,36.100895,38.220044,0.926731,57.277966,
24,0.876840,0.874023,0.830528,0.848356,0.920561,5.386797,5.487103,0.268056,0.704826,0.774808,0.806675,20.200519,35.864683,37.897919,0.924350,56.747207,
25,0.879053,0.873569,0.829570,0.853652,0.922362,5.363070,5.386797,0.268131,0.700759,0.769987,0.802178,19.787968,35.521390,37.529404,0.921257,56.752675,
26,0.874815,0.873229,0.818709,0.847970,0.920286,5.308667,5.363070,0.267775,0.695650,0.765281,0.797251,19.404025,35.172848,37.188650,0.919410,55.462889,
27,0.872666,0.876289,0.821752,0.857018,0.904533,5.270451,5.308667,0.268059,0.690754,0.759680,0.790656,19.049297,34.856847,36.852786,0.915728,54.463782,
28,0.871887,0.875299,0.824063,0.850140,0.909021,5.253738,5.270451,0.267887,0.686778,0.754519,0.786059,18.716597,34.543614,36.536794,0.913109,53.893233,
29,0.865793,0.875678,0.813646,0.849063,0.898254,5.253738,5.253738,0.267813,0.680988,0.748191,0.777453,18.403960,34.241056,36.224278,0.910378,52.052181,
30,0.862631,0.871567,0.818313,0.853857,0.885974,6.187121,6.306901,0.266046,0.678058,0.744982,0.774157,18.025457,33.913304,35.979480,0.906444,52.117369,
31,0.860369,0.870175,0.809959,0.849128,0.887835,6.097956,6.187121,0.266167,0.677753,0.744317,0.773395,17.676006,33.611328,35.746051,0.903843,51.531343,
32,0.841544,0.871581,0.806232,0.828474,0.854993,5.975550,6.097956,0.264666,0.676024,0.742079,0.772399,17.359158,33.326484,35.522886,0.900208,47.727213,
33,0.843088,0.867806,0.795393,0.823132,0.868991,5.866337,5.975550,0.263451,0.674516,0.740285,0.768165,17.066827,33.091120,35.304042,0.896751,47.623463,
34,0.839746,0.864916,0.785817,0.814202,0.872450,5.836311,5.866337,0.263493,0.673601,0.738770,0.766028,16.794637,32.890224,35.099643,0.893379,46.798991,
35,0.840669,0.865021,0.795419,0.830006,0.859732,5.836311,5.836311,0.262413,0.671436,0.735763,0.761829,16.545213,32.696873,34.910938,0.890626,46.665011,
36,0.841030,0.861989,0.798479,0.834076,0.857033,5.856081,5.856081,0.260236,0.666001,0.730329,0.755705,16.319654,32.542388,34.741030,0.887782,46.313115,
37,0.844216,0.868311,0.797694,0.817366,0.875595,5.864244,5.864244,0.259164,0.662609,0.727027,0.751045,16.115463,32.416004,34.575266,0.883657,46.599294,
38,0.837753,0.865895,0.803501,0.827229,0.849691,5.873677,5.873677,0.258253,0.659850,0.723521,0.747500,15.928986,32.333529,34.413743,0.880054,45.129537,
39,0.842798,0.871297,0.796124,0.819062,0.869367,5.935496,5.935496,0.256467,0.656412,0.719899,0.742620,15.757162,32.261561,34.245595,0.876292,45.803791,
40,0.839542,0.869506,0.805217,0.835540,0.846480,5.979414,5.979414,0.254411,0.653172,0.716076,0.740192,15.602772,32.193209,34.068500,0.872947,45.049216,
41,0.836492,0.872807,0.797301,0.834130,0.842244,6.012300,6.014085,0.253225,0.651592,0.714248,0.736369,15.465125,32.143388,33.896120,0.870632,44.265484,
42,0.847074,0.872339,0.803780,0.845808,0.858861,5.985293,6.012300,0.251310,0.649650,0.711759,0.733638,15.340723,32.088561,33.721954,0.867984,46.028568,
43,0.833804,0.869584,0.812656,0.818750,0.840130,5.985293,5.985293,0.250399,0.649189,0.710639,0.731979,15.227070,32.050087,33.546252,0.865884,43.437822,
44,0.842478,0.869040,0.804198,0.832292,0.857390,6.075433,6.075433,0.246524,0.634251,0.693665,0.713180,15.129298,32.027523,33.397093,0.863203,43.862322,
45,0.828753,0.867622,0.800120,0.833300,0.822510,6.089149,6.129568,0.244602,0.629372,0.687801,0.703941,15.041565,31.967833,33.229635,0.857654,40.766368,
46,0.821835,0.868789,0.798201,0.823586,0.812371,6.053041,6.089149,0.243218,0.626319,0.684506,0.702553,14.954039,31.874033,33.038457,0.852373,39.372148,
47,0.815977,0.866294,0.793912,0.806333,0.812986,6.003829,6.053041,0.240690,0.622712,0.681336,0.697497,14.872013,31.770385,32.846553,0.850168,37.982130,
48,0.801213,0.863670,0.792910,0.804364,0.776581,5.963503,6.003829,0.239568,0.619955,0.678003,0.693800,14.794681,31.641205,32.641597,0.847347,35.063683,
49,0.801744,0.866625,0.769766,0.796182,0.794126,5.943320,5.963503,0.238582,0.616484,0.673358,0.689170,14.722804,31.508397,32.443902,0.846005,34.852727,
50,0.787853,0.864834,0.775414,0.785888,0.763230,5.900539,5.943320,0.237921,0.613528,0.670403,0.685547,14.655496,31.366700,32.240692,0.844628,32.145914,
51,0.786763,0.865655,0.775947,0.790348,0.757227,5.856894,5.900539,0.237515,0.610226,0.666601,0.679547,14.590736,31.209089,32.029410,0.842232,31.576667,
52,0.774566,0.865364,0.769538,0.778648,0.737910,5.794119,5.856894,0.237062,0.607067,0.662679,0.674245,14.528987,31.053640,31.827264,0.839957,29.088702,
53,0.763626,0.870321,0.767513,0.769791,0.715188,5.678178,5.794119,0.235588,0.604272,0.659214,0.668524,14.471274,30.878551,31.618475,0.837826,26.789571,
54,0.766347,0.870466,0.767821,0.764067,0.726284,5.539495,5.678178,0.232602,0.598478,0.651006,0.659249,14.416974,30.692518,31.407895,0.835631,26.635024,
55,0.762554,0.877867,0.782794,0.757355,0.712197,5.431683,5.539495,0.230385,0.593597,0.646089,0.654169,14.365442,30.516165,31.198569,0.833889,25.655638,
56,0.763824,0.881963,0.782269,0.753733,0.717601,5.354621,5.431683,0.229045,0.591375,0.643207,0.649885,14.316309,30.336711,31.000387,0.832118,25.590462,
57,0.749976,0.884192,0.777580,0.744239,0.689763,5.297015,5.354621,0.226533,0.588395,0.638375,0.644509,14.268172,30.164761,30.813094,0.830057,22.928646,
58,0.753986,0.882543,0.775865,0.742249,0.703377,5.200801,5.297015,0.224943,0.586292,0.635890,0.640748,14.221853,30.013160,30.635266,0.828450,23.345590,
59,0.746032,0.883313,0.774111,0.734345,0.689785,5.115454,5.200801,0.224839,0.587263,0.635600,0.639175,14.179653,29.859672,30.456461,0.827025,21.835482,
60,0.737379,0.882256,0.773767,0.726353,0.674079,5.053855,5.115454,0.224387,0.586484,0.633627,0.636206,14.137784,29.719180,30.286782,0.825724,20.187986,
61,0.735091,0.881508,0.771054,0.719683,0.673100,5.002162,5.053855,0.224373,0.586259,0.632381,0.632393,14.097885,29.579200,30.121071,0.824396,19.567378,
62,0.728852,0.881624,0.763004,0.724608,0.657658,4.942171,5.002162,0.223923,0.585219,0.630577,0.630411,14.060081,29.446031,29.961024,0.822903,18.393253,
