Frame,integer_adm2,integer_adm_scale0,integer_adm_scale1,integer_adm_scale2,integer_adm_scale3,integer_motion2,integer_motion,integer_vif_scale0,integer_vif_scale1,integer_vif_scale2,integer_vif_scale3,psnr_y,psnr_cb,psnr_cr,float_ssim,vmaf,
0,0.878927,0.831798,0.805608,0.880488,0.924071,0.000000,0.000000,0.365339,0.761896,0.836089,0.884648,29.022058,45.955717,47.020033,0.967639,57.857115,
1,0.873206,0.819029,0.788480,0.860510,0.933458,10.515234,10.515234,0.356651,0.751508,0.826525,0.873717,29.444297,45.876276,46.906024,0.967549,66.767699,
2,0.874400,0.812478,0.791559,0.862568,0.934411,10.249715,10.824859,0.351123,0.747697,0.822926,0.871128,29.740725,45.778688,46.719628,0.967184,66.474725,
3,0.865318,0.808958,0.786547,0.844953,0.927963,10.163273,10.249715,0.352400,0.744728,0.818776,0.869257,29.642647,45.790753,46.742039,0.966812,64.319233,
4,0.867494,0.818618,0.775346,0.863032,0.924189,10.060907,10.163273,0.353044,0.744057,0.817540,0.864840,29.683874,45.708234,46.662580,0.966687,64.303878,
5,0.868728,0.812662,0.777325,0.857551,0.928686,9.938043,10.060907,0.348527,0.737895,0.811871,0.859579,29.505340,45.616645,46.590344,0.966775,63.926478,
6,0.864356,0.816289,0.768888,0.868797,0.916062,9.893099,9.938043,0.345187,0.730891,0.804635,0.854546,29.325745,45.529957,46.502853,0.965672,62.487132,
7,0.861970,0.811135,0.765848,0.854796,0.920720,9.835224,9.893099,0.341553,0.727222,0.802097,0.854564,29.167362,45.432889,46.394586,0.963807,61.914099,
8,0.859277,0.811356,0.776740,0.861833,0.905931,9.779518,9.835224,0.341050,0.723571,0.798052,0.850056,28.859073,45.398468,46.334368,0.962087,60.917288,
9,0.864990,0.818983,0.773644,0.857067,0.919450,9.670720,9.779518,0.337782,0.719171,0.794142,0.845120,28.620686,45.270600,46.267768,0.960731,61.519794,
10,0.857108,0.813059,0.767320,0.857728,0.908128,9.577112,9.670720,0.332140,0.710453,0.787211,0.842691,28.296264,45.165740,46.228036,0.958689,59.581877,
11,0.855532,0.813381,0.768050,0.850455,0.907670,9.432905,9.577112,0.328389,0.704996,0.780819,0.836211,27.977737,45.112146,46.241491,0.957722,58.553993,
12,0.844962,0.805319,0.761856,0.855873,0.881397,9.412130,9.432905,0.323204,0.698018,0.773260,0.829446,27.602850,45.094883,46.223225,0.955691,55.873528,
13,0.847052,0.805457,0.738943,0.833669,0.912707,9.412130,9.412130,0.318832,0.689829,0.765157,0.819540,27.177641,45.045611,46.222701,0.953496,55.478297,
14,0.846196,0.809947,0.733806,0.832925,0.910009,9.424689,9.424689,0.308803,0.676668,0.752454,0.807572,26.571288,45.011969,46.192864,0.949809,54.347958,
15,0.832099,0.804938,0.759235,0.800747,0.890234,9.431490,9.431490,0.306064,0.668981,0.744161,0.799683,25.943567,44.968153,46.236200,0.946339,51.013138,
16,0.831790,0.804580,0.749874,0.791812,0.899308,9.439064,9.452819,0.300326,0.659747,0.733831,0.789515,25.324377,44.942994,46.272364,0.942405,50.166620,
17,0.815448,0.796387,0.722318,0.789475,0.877833,9.439064,9.439064,0.295733,0.647781,0.721125,0.776821,24.985638,44.959570,46.331578,0.938611,46.142004,
18,0.828390,0.802563,0.727978,0.797968,0.899472,9.436045,9.458765,0.291008,0.638025,0.711649,0.768033,24.759278,44.992837,46.420616,0.935620,47.928995,
19,0.814102,0.784917,0.707248,0.788077,0.888644,9.436045,9.436045,0.285849,0.628520,0.702457,0.759122,24.558623,45.018995,46.445946,0.932407,44.660430,
20,0.793109,0.796375,0.701319,0.781175,0.836983,9.391273,9.453248,0.282928,0.620182,0.692741,0.747799,24.512897,44.990621,46.440515,0.930214,40.013608,
21,0.794464,0.782679,0.699402,0.780159,0.849193,9.230507,9.391273,0.277759,0.612550,0.684867,0.740470,24.538667,44.953356,46.491549,0.927491,39.647464,
22,0.788888,0.785713,0.671129,0.787939,0.840822,8.970875,9.230507,0.275223,0.608376,0.680256,0.737528,24.525870,44.981628,46.489853,0.923429,38.205061,
23,0.788351,0.782989,0.680705,0.746239,0.864501,8.683346,8.970875,0.273124,0.605181,0.675709,0.729744,24.408596,45.038034,46.606100,0.918715,37.356873,
24,0.773712,0.786179,0.674879,0.750500,0.829236,8.461342,8.683346,0.271673,0.601198,0.669256,0.721362,24.149339,45.163118,46.676814,0.913165,34.012490,
25,0.748896,0.791244,0.677225,0.730351,0.779772,8.306449,8.461342,0.269358,0.594523,0.661766,0.712865,23.855883,45.199563,46.763131,0.909283,29.055377,
26,0.776185,0.785738,0.667716,0.750227,0.837930,8.182467,8.306449,0.265445,0.590583,0.656770,0.706479,23.594252,45.194036,46.814046,0.907199,33.340313,
27,0.741843,0.784836,0.672426,0.709230,0.782958,8.123688,8.182467,0.263043,0.588235,0.652789,0.702776,23.253655,45.243197,46.879794,0.903041,27.124276,
28,0.751834,0.777815,0.653893,0.717513,0.803843,4.642375,8.123688,0.260540,0.582629,0.646016,0.695279,22.905423,45.339079,47.022887,0.898912,25.201884,
29,0.750377,0.783191,0.657972,0.705398,0.807610,4.633735,4.642375,0.261685,0.584971,0.647739,0.698090,22.896169,45.392244,46.974075,0.900297,25.068308,
30,0.739792,0.787369,0.662639,0.688447,0.795504,4.609895,4.633735,0.261327,0.586186,0.649714,0.697896,22.898736,45.460776,47.011947,0.900734,23.257041,
31,0.743697,0.781452,0.646778,0.723195,0.791370,4.593926,4.609895,0.262102,0.588926,0.651685,0.701215,22.903076,45.530292,47.086127,0.901658,24.050455,
32,0.736838,0.782636,0.663639,0.685296,0.791355,4.582860,4.593926,0.261787,0.588844,0.650901,0.699311,22.910241,45.606032,47.089606,0.902912,22.771319,
33,0.742553,0.780381,0.648714,0.718345,0.787009,4.564991,4.582860,0.261707,0.590062,0.651835,0.699419,22.875376,45.634796,47.154888,0.902720,23.718459,
34,0.764834,0.788107,0.663757,0.690131,0.850497,4.523070,4.564991,0.262681,0.592426,0.653278,0.705317,22.892112,45.667834,47.179128,0.904787,27.775782,
35,0.752857,0.778132,0.672809,0.704295,0.806729,4.489879,4.523070,0.261676,0.594392,0.655408,0.702557,22.904406,45.753701,47.240446,0.905818,25.548211,
36,0.752498,0.788013,0.649791,0.723144,0.805857,4.450390,4.489879,0.262790,0.596856,0.658366,0.705260,22.889869,45.764537,47.332766,0.907126,25.593557,
37,0.736842,0.790822,0.664079,0.686061,0.791931,4.419241,4.450390,0.262944,0.599127,0.659833,0.708406,22.892913,45.816785,47.395487,0.908068,23.048649,
38,0.741647,0.791620,0.658843,0.712908,0.782074,4.388934,4.419241,0.263886,0.599954,0.659835,0.707460,22.887478,45.867386,47.485236,0.908249,23.761058,
39,0.760586,0.783437,0.655216,0.732530,0.815378,4.358437,4.388934,0.263032,0.602522,0.662271,0.710774,22.898839,45.848191,47.457557,0.907351,27.159625,
40,0.772230,0.788742,0.646720,0.710051,0.865069,4.326466,4.358437,0.263842,0.603250,0.662901,0.706860,22.873550,45.887973,47.523956,0.907646,28.931504,
41,0.755705,0.785680,0.666236,0.710146,0.814190,4.302430,4.326466,0.263452,0.606414,0.665454,0.712594,22.893548,45.839830,47.532878,0.908730,26.348900,
42,0.736236,0.785728,0.675043,0.719047,0.759264,4.286781,4.302430,0.264508,0.610060,0.670183,0.716817,22.901052,45.837718,47.503780,0.910173,23.245864,
43,0.755687,0.783631,0.669681,0.724130,0.807796,4.269366,4.286781,0.263597,0.610021,0.669231,0.713818,22.879647,45.831177,47.509004,0.910850,26.387344,
44,0.757723,0.787422,0.658665,0.717865,0.816866,4.236859,4.269366,0.264730,0.612400,0.671331,0.714885,22.924433,45.827441,47.456544,0.912904,26.755956,
45,0.774638,0.786111,0.679481,0.728772,0.839998,4.231414,4.236859,0.263777,0.612344,0.671387,0.717383,22.901788,45.846665,47.423270,0.913343,29.844331,
46,0.767425,0.786945,0.674531,0.748851,0.813367,4.204979,4.231414,0.263211,0.613823,0.672721,0.718126,22.891610,45.880890,47.426970,0.913891,28.602931,
47,0.760989,0.785586,0.678181,0.716903,0.818779,4.191442,4.204979,0.263017,0.612779,0.670540,0.715706,22.872912,45.909152,47.430323,0.913784,27.313376,
48,0.759052,0.786250,0.663844,0.739793,0.804713,4.190432,4.191442,0.262565,0.613534,0.671943,0.716327,22.870059,45.903287,47.409214,0.914471,27.028549,
49,0.745880,0.787358,0.666720,0.741311,0.771014,4.179590,4.190432,0.263174,0.615194,0.673305,0.716992,22.833728,45.941579,47.422633,0.914412,24.776052,
50,0.758943,0.781863,0.670793,0.713618,0.820987,4.171177,4.179590,0.264212,0.616948,0.674384,0.717690,22.829401,45.971694,47.413176,0.915479,27.040676,
51,0.768963,0.794255,0.686578,0.728012,0.825135,4.168355,4.171177,0.262306,0.617997,0.675344,0.718580,22.817903,45.965132,47.394638,0.915976,28.847276,
52,0.767642,0.789277,0.656066,0.745181,0.821830,4.137456,4.168355,0.263337,0.618302,0.674555,0.719038,22.807819,45.965427,47.409336,0.916684,28.582575,
53,0.771236,0.790450,0.668143,0.728335,0.837528,4.126958,4.137456,0.261061,0.619263,0.675799,0.715441,22.798213,45.990514,47.442746,0.917449,29.028258,
54,0.759255,0.789738,0.674090,0.726469,0.809528,4.093273,4.126958,0.261733,0.619116,0.674922,0.718585,22.748917,45.989396,47.467757,0.917194,27.060309,
55,0.766154,0.790462,0.672066,0.728353,0.825051,4.078825,4.093273,0.260849,0.621588,0.677589,0.721315,22.743401,46.028947,47.495146,0.918424,28.415782,
56,0.759143,0.794271,0.682797,0.712534,0.811940,4.051672,4.078825,0.260363,0.622493,0.677747,0.719408,22.722798,46.051567,47.514606,0.918850,27.054157,
57,0.765528,0.795836,0.669491,0.732810,0.820718,4.036273,4.051672,0.261155,0.623936,0.679894,0.720865,22.668878,46.099648,47.712355,0.918355,28.245383,
58,0.767797,0.800613,0.689451,0.735484,0.813543,3.994643,4.036273,0.262027,0.626218,0.681027,0.722345,22.645141,46.133443,47.797396,0.919082,28.661840,
59,0.763518,0.794196,0.668971,0.752064,0.802275,3.972604,3.994643,0.259578,0.626937,0.681881,0.720716,22.618304,46.151555,47.803951,0.919039,27.826183,
60,0.777464,0.798184,0.687595,0.710461,0.857474,3.948301,3.972604,0.260506,0.628174,0.682109,0.722253,22.616089,46.189247,47.841045,0.919876,30.312515,
