Frame,integer_adm2,integer_adm_scale0,integer_adm_scale1,integer_adm_scale2,integer_adm_scale3,integer_motion2,integer_motion,integer_vif_scale0,integer_vif_scale1,integer_vif_scale2,integer_vif_scale3,psnr_y,psnr_cb,psnr_cr,float_ssim,vmaf,
0,0.853839,0.848923,0.747640,0.829659,0.905568,0.000000,0.000000,0.326056,0.650309,0.735058,0.793360,28.638478,43.377007,45.190089,0.940932,45.113945,
1,0.850340,0.844886,0.766003,0.809298,0.907822,13.621345,13.621345,0.312421,0.634675,0.721749,0.784694,28.415047,43.251050,45.094894,0.937114,57.316363,
2,0.848009,0.850321,0.760053,0.817321,0.898142,13.777082,13.777082,0.304676,0.628539,0.717621,0.780418,28.243132,43.153544,45.034146,0.934089,56.733773,
3,0.843020,0.843235,0.765847,0.828217,0.881896,14.016441,14.016441,0.298789,0.623128,0.712640,0.773622,28.044626,43.041884,44.931591,0.931611,55.542446,
4,0.847431,0.838694,0.756855,0.827586,0.893772,14.205832,14.205832,0.293569,0.618278,0.708150,0.770522,27.908539,43.013380,44.858700,0.929340,56.315137,
5,0.844207,0.833870,0.759448,0.830100,0.888430,14.379150,14.379150,0.286437,0.610022,0.700949,0.764210,27.600756,42.822977,44.727399,0.924904,55.424997,
6,0.835362,0.834571,0.746126,0.818338,0.876397,14.798369,14.798369,0.278868,0.600283,0.691742,0.754408,27.332966,42.498360,44.601583,0.920939,53.490851,
7,0.833792,0.829321,0.736680,0.821907,0.876636,15.078629,15.078629,0.271110,0.588765,0.680331,0.744449,27.063695,42.238923,44.422962,0.915320,52.778415,
8,0.833080,0.823438,0.736193,0.810206,0.883732,15.431963,15.431963,0.264186,0.577847,0.668792,0.731026,26.772162,42.088342,44.314096,0.909079,52.100736,
9,0.825472,0.820150,0.736858,0.810647,0.868709,15.788383,15.788383,0.257142,0.568154,0.658839,0.721310,24.731203,42.040831,44.300682,0.900932,50.427936,
10,0.835699,0.811726,0.734643,0.813761,0.890841,16.168186,16.168186,0.250432,0.557744,0.647966,0.710446,23.156953,41.918893,44.170496,0.890804,51.958096,
11,0.835345,0.814146,0.742886,0.812732,0.887714,16.515997,16.515997,0.244519,0.549059,0.638708,0.701183,22.045005,41.737105,44.082317,0.881201,51.648839,
12,0.832948,0.813952,0.751446,0.823908,0.871780,16.685186,16.685186,0.235845,0.535137,0.625093,0.688732,21.491633,41.576694,43.966455,0.872649,50.678791,
13,0.832551,0.817693,0.744811,0.805011,0.883399,19.534319,20.591013,0.244801,0.546270,0.637171,0.699423,22.546230,41.605691,44.041511,0.884385,53.613450,
14,0.825100,0.821957,0.745185,0.803761,0.869499,18.482191,19.534319,0.253390,0.555057,0.647155,0.711111,24.485845,41.656602,44.165175,0.894409,52.089187,
15,0.825724,0.825564,0.749801,0.803721,0.868111,17.913986,18.482191,0.263928,0.562435,0.653699,0.716905,26.131688,41.667420,44.230447,0.903593,52.039997,
16,0.827717,0.835691,0.757616,0.811559,0.863245,17.650465,17.913986,0.272795,0.567828,0.659332,0.722494,26.364676,41.556868,44.291537,0.907739,52.508129,
17,0.822614,0.844888,0.768296,0.798990,0.852599,17.641796,17.650465,0.280605,0.568947,0.661696,0.726552,26.333880,41.399349,44.225868,0.910714,51.828031,
18,0.829175,0.846336,0.757905,0.801586,0.869650,17.516186,17.641796,0.289492,0.570086,0.660866,0.724398,26.251279,41.194397,44.067912,0.911404,52.737611,
19,0.827705,0.850971,0.762187,0.793884,0.867589,17.516186,17.516186,0.297726,0.568076,0.657040,0.721689,25.989706,40.929098,43.909346,0.911103,52.254559,
20,0.840535,0.857976,0.763605,0.815116,0.880768,17.654903,18.581238,0.311526,0.576104,0.662126,0.722411,26.017202,41.035193,44.061106,0.914272,54.728387,
21,0.843554,0.861148,0.783535,0.827907,0.871267,16.527020,17.654903,0.328800,0.590729,0.674750,0.732917,26.360505,41.182224,44.286966,0.919584,54.947074,
22,0.857902,0.875608,0.793904,0.831713,0.894495,15.401093,16.527020,0.346727,0.605370,0.685560,0.741316,26.750596,41.349967,44.383161,0.924225,57.137795,
23,0.856785,0.877943,0.796578,0.837370,0.888803,14.165730,15.401093,0.366573,0.624324,0.700696,0.752591,27.221582,41.877158,44.704245,0.931958,56.564337,
24,0.858815,0.878039,0.790982,0.835215,0.898251,13.046859,14.165730,0.389907,0.642528,0.714874,0.762294,27.406373,42.617047,44.940184,0.933455,56.592714,
25,0.846515,0.876382,0.793348,0.836419,0.866084,11.976043,13.046859,0.404346,0.649818,0.717807,0.760137,27.334779,43.077744,45.201392,0.933060,53.029463,
26,0.848629,0.877088,0.801775,0.844182,0.861105,11.275159,11.976043,0.419620,0.656398,0.720395,0.758980,26.950697,43.461256,45.712258,0.929230,52.629917,
27,0.836517,0.878055,0.801319,0.841858,0.832442,10.406661,11.275159,0.429939,0.655553,0.715197,0.752387,26.561221,43.754520,46.060296,0.928051,48.895647,
28,0.845570,0.878277,0.796555,0.846100,0.854390,9.507906,10.406661,0.445911,0.657882,0.711455,0.744640,25.934993,44.233055,46.205947,0.923250,49.075667,
29,0.854335,0.882340,0.802613,0.853992,0.866497,8.494072,9.507906,0.466207,0.667649,0.715924,0.740626,25.633515,45.084137,46.479384,0.921326,49.416813,
30,0.852933,0.885853,0.809489,0.862173,0.852856,7.616644,8.494072,0.492851,0.683394,0.727169,0.748877,25.100306,46.083237,46.401682,0.923358,48.786064,
31,0.836658,0.889051,0.799086,0.839651,0.830596,7.192627,7.616644,0.518182,0.695555,0.735385,0.753229,24.541820,46.458225,46.229181,0.923735,45.493398,
32,0.841921,0.887254,0.808773,0.843302,0.837912,5.949990,7.192627,0.539094,0.701873,0.736145,0.749418,23.894848,45.499878,45.721914,0.920754,44.835903,
33,0.843886,0.889348,0.814278,0.842020,0.840488,5.827229,5.949990,0.548260,0.701593,0.734212,0.747592,23.385169,43.895606,45.077487,0.919237,44.899234,
34,0.841582,0.891436,0.826262,0.853757,0.819917,5.688575,5.827229,0.552006,0.700546,0.732098,0.742845,22.919856,42.267374,44.050333,0.919551,43.959170,
35,0.857663,0.894887,0.830258,0.861341,0.852460,5.317771,5.688575,0.557713,0.701094,0.731239,0.741477,22.513112,41.098483,43.210240,0.920783,46.537821,
36,0.850847,0.890009,0.824525,0.841052,0.853238,4.811891,5.317771,0.573748,0.703725,0.730027,0.737571,22.177018,40.209979,42.605678,0.918837,44.324376,
37,0.842413,0.892184,0.822162,0.848411,0.827310,3.810877,4.811891,0.587508,0.707055,0.729982,0.735965,21.789418,39.502011,42.099987,0.919920,41.424271,
38,0.856394,0.894318,0.802012,0.853576,0.866984,3.810877,3.810877,0.581439,0.707388,0.732329,0.738245,21.984797,39.925977,42.374441,0.920909,44.335984,
39,0.851446,0.894131,0.817891,0.858052,0.843866,3.971891,3.971891,0.571965,0.705877,0.733491,0.740355,22.235668,40.389468,42.688973,0.921730,43.757042,
40,0.844954,0.895896,0.813695,0.868523,0.821775,4.204093,4.204093,0.558923,0.699922,0.730153,0.740935,22.422656,40.957811,43.027994,0.918495,42.806886,
41,0.868546,0.900373,0.825429,0.858350,0.882036,4.383716,4.383716,0.551515,0.700200,0.732031,0.745028,22.620400,41.584040,43.393916,0.919429,47.892898,
42,0.876202,0.896940,0.832980,0.873161,0.888940,4.463760,4.463760,0.547558,0.702559,0.736978,0.750335,22.856701,42.337988,43.874513,0.916852,49.931622,
43,0.854635,0.897961,0.828303,0.863353,0.842289,4.539036,4.539036,0.547044,0.705507,0.739265,0.753927,23.157063,43.353459,44.476998,0.918192,46.062737,
44,0.871793,0.898520,0.818072,0.868286,0.887354,4.618003,4.618003,0.546903,0.708941,0.744342,0.756905,23.448673,44.440750,44.891685,0.921858,49.793190,
45,0.876582,0.893616,0.828988,0.869965,0.895291,4.619652,4.619652,0.548589,0.716603,0.752574,0.766608,23.806231,45.335507,45.163522,0.920762,51.510589,
46,0.870582,0.897738,0.815277,0.874463,0.880771,4.639693,4.639693,0.546213,0.720054,0.758213,0.775012,24.209256,46.094245,45.517231,0.922467,51.025784,
47,0.882873,0.896054,0.822420,0.875649,0.909404,4.845369,4.845369,0.540736,0.722556,0.763918,0.785226,24.614639,46.199432,45.620593,0.927988,54.510385,
48,0.889469,0.897902,0.827279,0.869047,0.926553,4.908647,4.908647,0.534425,0.724093,0.767536,0.789315,24.933529,46.144939,45.565891,0.933710,56.273492,
49,0.884689,0.897029,0.822939,0.868191,0.915518,4.949769,4.949769,0.530520,0.727241,0.772878,0.797529,25.366766,46.276526,45.741818,0.933839,56.052719,
50,0.893649,0.893168,0.826067,0.879169,0.933063,4.958953,4.958953,0.526874,0.732269,0.780921,0.808110,25.890521,46.584423,45.831692,0.936010,58.780828,
51,0.886982,0.886921,0.819288,0.880192,0.923620,4.960609,4.960609,0.521339,0.733384,0.783398,0.812584,26.510058,46.113109,45.782947,0.939418,57.826816,
52,0.884553,0.885610,0.801594,0.897629,0.913780,5.140238,5.140238,0.513089,0.730476,0.784507,0.815889,26.847552,45.372572,45.635487,0.939876,57.839653,
53,0.886979,0.882181,0.808790,0.880795,0.929029,5.258230,5.258230,0.504470,0.728318,0.782995,0.814726,27.241332,45.065566,45.589085,0.941229,58.366998,
54,0.884703,0.884591,0.813870,0.854345,0.940885,5.463910,5.463910,0.495019,0.725898,0.781781,0.815764,27.592822,44.944247,45.727295,0.941436,58.210999,
55,0.877850,0.879441,0.805870,0.867822,0.916106,5.740550,5.740550,0.486458,0.725177,0.783696,0.818075,27.959983,44.804980,45.749779,0.945151,57.387528,
56,0.870917,0.878399,0.799843,0.841867,0.919321,6.003886,6.003886,0.475985,0.722798,0.782759,0.820876,28.251905,44.555253,45.516249,0.944253,56.498521,
57,0.874954,0.879205,0.796153,0.865467,0.916327,6.359017,6.359017,0.466456,0.719034,0.781648,0.822265,28.431498,44.227820,45.244979,0.943680,57.799286,
58,0.865755,0.877732,0.794008,0.834552,0.915905,6.576797,6.576797,0.458482,0.717726,0.782202,0.821648,28.765116,44.080101,45.144241,0.944675,56.214485,
59,0.854613,0.881554,0.773677,0.844963,0.888018,6.758695,6.758695,0.450328,0.717576,0.782863,0.822576,29.330703,43.976067,45.055994,0.945125,54.314006,
60,0.837852,0.879927,0.762191,0.812614,0.872587,6.965689,6.965689,0.444866,0.718460,0.784388,0.824591,29.540448,43.914610,44.912346,0.945708,51.436184,
61,0.855429,0.878660,0.764644,0.822068,0.906840,7.110309,7.110309,0.440773,0.718836,0.784709,0.825067,29.408748,43.825536,44.704350,0.945154,55.084794,
62,0.845419,0.878118,0.758819,0.815083,0.891683,7.140381,7.140381,0.437498,0.719387,0.786149,0.825361,29.308711,43.798422,44.648739,0.945640,53.217794,
63,0.831074,0.880738,0.771681,0.783982,0.869773,7.226778,7.226778,0.430425,0.717838,0.785635,0.827045,28.997629,43.695053,44.494532,0.944125,50.640577,
64,0.831677,0.878432,0.763618,0.793447,0.868642,7.671025,7.671025,0.419098,0.705966,0.774525,0.815765,28.107881,43.364403,44.332033,0.943197,50.289799,
65,0.836737,0.877012,0.762502,0.805191,0.875095,8.165885,8.165885,0.406042,0.691434,0.760054,0.801494,27.030831,43.202617,44.234989,0.939693,50.613894,
66,0.833324,0.878998,0.762687,0.787106,0.878199,8.678290,8.678290,0.393773,0.678184,0.747523,0.788133,26.012373,42.987780,44.157001,0.935802,49.452361,
67,0.831479,0.876798,0.773640,0.773903,0.880111,9.140536,9.140536,0.386303,0.671247,0.740476,0.782712,25.168115,42.892593,44.061168,0.931621,49.132230,
68,0.833537,0.870253,0.771248,0.762605,0.894642,9.518627,9.518627,0.378641,0.661514,0.731393,0.774065,24.823846,42.682423,43.942630,0.930340,49.256528,
69,0.820862,0.868021,0.741858,0.747031,0.886198,9.821736,9.821736,0.372733,0.653562,0.724193,0.765258,24.543902,42.642134,43.964899,0.927917,46.544502,
70,0.806940,0.860980,0.727667,0.771183,0.845366,10.165384,10.165384,0.366670,0.645832,0.716300,0.757369,24.264857,42.611064,43.884931,0.924850,43.722961,
71,0.804164,0.863174,0.729169,0.764774,0.840331,10.333010,10.333010,0.360828,0.639057,0.709099,0.750158,24.057558,42.625309,43.949354,0.921414,42.877672,
72,0.808003,0.859782,0.737954,0.766059,0.847310,10.411787,10.411787,0.355721,0.633374,0.702304,0.742225,23.849820,42.707359,44.072719,0.916985,43.128241,
73,0.801324,0.853083,0.741262,0.772229,0.828205,10.515625,10.515625,0.351144,0.628421,0.696697,0.735742,23.637286,42.769359,44.102029,0.914276,41.575614,
74,0.796996,0.851787,0.732251,0.759650,0.829276,10.609553,10.609553,0.345257,0.622398,0.691284,0.731006,23.442832,42.789621,44.238057,0.911189,40.588065,
75,0.797560,0.849676,0.729013,0.761558,0.832484,10.806586,10.806586,0.339278,0.616224,0.684823,0.724653,23.205182,42.866335,44.237347,0.909013,40.487890,
76,0.799607,0.849246,0.741282,0.761533,0.831368,10.979665,10.979665,0.332884,0.609206,0.677653,0.717861,23.058040,42.873341,44.185544,0.905056,40.615615,
77,0.807885,0.848468,0.740102,0.756928,0.854065,11.081810,11.081810,0.327503,0.604841,0.673882,0.714406,22.984734,42.943110,44.266877,0.903512,42.029083,
78,0.809072,0.848352,0.745224,0.777141,0.842772,11.244583,11.244583,0.320938,0.598366,0.668107,0.708173,22.820010,42.797896,44.132865,0.899921,42.053125,
79,0.810761,0.847188,0.745820,0.776537,0.846831,11.466838,11.466838,0.314826,0.591962,0.663091,0.705746,22.630243,42.604148,44.003152,0.895518,42.455770,
80,0.827635,0.847060,0.757550,0.787640,0.874746,11.723160,11.723160,0.306826,0.584780,0.656214,0.698081,22.421474,42.386420,43.935289,0.890594,45.340714,
81,0.831329,0.853574,0.751542,0.806371,0.871571,12.108798,12.108798,0.300250,0.578180,0.650050,0.690742,22.233826,42.182556,43.713580,0.886152,45.972021,
82,0.827704,0.850560,0.754670,0.809758,0.860520,12.518735,12.518735,0.294318,0.571062,0.642321,0.684463,22.030152,42.031294,43.501084,0.880069,45.332688,
83,0.841300,0.845272,0.751219,0.817864,0.887677,12.942688,12.942688,0.288438,0.562219,0.633763,0.677068,21.747418,41.813283,43.258180,0.875180,47.787514,
84,0.835474,0.851329,0.761512,0.814165,0.871088,13.264651,13.264651,0.283048,0.554742,0.626604,0.668978,21.280060,41.559600,43.021871,0.869809,46.601021,
85,0.832203,0.854147,0.763411,0.804332,0.867422,13.633914,13.633914,0.278434,0.548747,0.621399,0.664411,20.801575,41.377843,42.820954,0.865070,46.129947,
86,0.834021,0.854237,0.762242,0.815476,0.864935,13.914679,13.914679,0.272198,0.542611,0.614796,0.656575,20.287693,41.284043,42.696692,0.860177,46.307042,
87,0.829563,0.857802,0.756376,0.799287,0.866221,14.117309,14.117309,0.266997,0.535756,0.607797,0.648995,19.644927,41.150768,42.537041,0.854528,45.321359,
88,0.832657,0.856025,0.762565,0.807737,0.866164,14.374905,14.374905,0.261234,0.530605,0.602609,0.645104,19.010729,41.003563,42.409960,0.849214,45.925226,
89,0.824807,0.854081,0.761543,0.811473,0.847156,14.688068,14.688068,0.256577,0.524509,0.596660,0.639674,18.395261,40.903406,42.315174,0.843320,44.573343,
