synthesizer,camera_position,scene,pose_traces,QP,numGroup,psnr_mean,ssim_mean,vmaf_mean,TMIV_encoding_time,TMIV_decoding_time,x265_encoding_time,x265_decoding_time,bitrate
AdditiveSynthesizer,6x6,XoioBerlinFlat,pose0,44,1,50.22130768888889,0.9575319333333334,61.89487943333332,548.844,1066.503,2.847562074661255,2.0604734420776367,705016
AdditiveSynthesizer,6x6,XoioBerlinFlat,pose1,44,1,48.61107335555555,0.9137744555555555,46.650865177777774,548.844,1149.604,2.847562074661255,2.0604734420776367,705016
AdditiveSynthesizer,6x6,XoioBerlinFlat,pose2,44,1,50.904249211111114,0.9461990666666665,50.24011204444445,548.844,1057.62,2.847562074661255,2.0604734420776367,705016
AdditiveSynthesizer,6x6,XoioBerlinFlat,pose3,44,1,51.71847417777778,0.9745721777777777,65.17427571111111,548.844,1082.629,2.847562074661255,2.0604734420776367,705016
AdditiveSynthesizer,6x6,XoioBerlinFlat,pose4,44,1,48.96363336666668,0.9289164666666666,29.605045966666662,548.844,1089.272,2.847562074661255,2.0604734420776367,705016
AdditiveSynthesizer,6x6,XoioBerlinFlat,pose5,44,1,49.62330917777777,0.9666062666666668,66.34513723333333,548.844,1115.098,2.847562074661255,2.0604734420776367,705016
AdditiveSynthesizer,6x6,XoioBerlinFlat,pose6,44,1,50.066173,0.9686771111111112,60.585196711111124,548.844,1202.903,2.847562074661255,2.0604734420776367,705016
AdditiveSynthesizer,6x6,XoioBerlinFlat,pose7,44,1,50.50428622222223,0.9397015000000001,56.11671998888889,548.844,1161.109,2.847562074661255,2.0604734420776367,705016
AdditiveSynthesizer,6x6,XoioBerlinFlat,pose8,44,1,50.834283466666676,0.9688565888888888,62.62867842222222,548.844,975.916,2.847562074661255,2.0604734420776367,705016
AdditiveSynthesizer,6x6,XoioBerlinFlat,pose9,44,1,50.71011826666666,0.9674022777777778,56.87730337777779,548.844,1211.698,2.847562074661255,2.0604734420776367,705016
ViewWeightingSynthesizer,6x6,XoioBerlinFlat,pose0,44,1,50.12159835555556,0.9547974444444445,59.16810356666667,548.844,2349.02,2.847562074661255,2.0604734420776367,705016
ViewWeightingSynthesizer,6x6,XoioBerlinFlat,pose1,44,1,47.751157611111125,0.9076362333333334,39.552540344444445,548.844,2629.621,2.847562074661255,2.0604734420776367,705016
ViewWeightingSynthesizer,6x6,XoioBerlinFlat,pose2,44,1,50.44254406666667,0.9443097666666666,45.21914127777777,548.844,2494.516,2.847562074661255,2.0604734420776367,705016
ViewWeightingSynthesizer,6x6,XoioBerlinFlat,pose3,44,1,51.668949511111116,0.9723053666666668,61.91632942222221,548.844,2423.459,2.847562074661255,2.0604734420776367,705016
ViewWeightingSynthesizer,6x6,XoioBerlinFlat,pose4,44,1,48.673116966666655,0.9239773444444445,24.63264347777778,548.844,2498.155,2.847562074661255,2.0604734420776367,705016
ViewWeightingSynthesizer,6x6,XoioBerlinFlat,pose5,44,1,49.219566444444446,0.9620280777777779,63.23455741111112,548.844,2687.957,2.847562074661255,2.0604734420776367,705016
ViewWeightingSynthesizer,6x6,XoioBerlinFlat,pose6,44,1,49.674431577777774,0.9623393444444445,55.40375667777778,548.844,2837.466,2.847562074661255,2.0604734420776367,705016
ViewWeightingSynthesizer,6x6,XoioBerlinFlat,pose7,44,1,50.08939906666668,0.9342996222222224,52.150234277777784,548.844,2640.669,2.847562074661255,2.0604734420776367,705016
ViewWeightingSynthesizer,6x6,XoioBerlinFlat,pose8,44,1,50.50732429999999,0.9657802777777778,60.76435498888889,548.844,2248.101,2.847562074661255,2.0604734420776367,705016
ViewWeightingSynthesizer,6x6,XoioBerlinFlat,pose9,44,1,50.32041603333334,0.9631308666666668,51.718131388888885,548.844,2792.985,2.847562074661255,2.0604734420776367,705016
AdditiveSynthesizer,9x4,XoioBerlinFlat,pose0,44,1,50.12142529999999,0.9546627888888891,63.010638777777764,548.859,1035.862,3.2645716667175293,1.8826344013214111,709832
AdditiveSynthesizer,9x4,XoioBerlinFlat,pose1,44,1,48.70014194444445,0.9216640555555555,51.75009198888888,548.859,1084.985,3.2645716667175293,1.8826344013214111,709832
AdditiveSynthesizer,9x4,XoioBerlinFlat,pose2,44,1,50.22867472222222,0.9457283666666666,52.56917164444446,548.859,995.251,3.2645716667175293,1.8826344013214111,709832
AdditiveSynthesizer,9x4,XoioBerlinFlat,pose3,44,1,51.58420237777778,0.9704926444444444,66.25327484444445,548.859,1044.635,3.2645716667175293,1.8826344013214111,709832
AdditiveSynthesizer,9x4,XoioBerlinFlat,pose4,44,1,48.99222644444444,0.9289835777777778,33.58894455555556,548.859,1051.009,3.2645716667175293,1.8826344013214111,709832
AdditiveSynthesizer,9x4,XoioBerlinFlat,pose5,44,1,49.46688427777779,0.9663674444444443,67.75881867777778,548.859,1091.132,3.2645716667175293,1.8826344013214111,709832
AdditiveSynthesizer,9x4,XoioBerlinFlat,pose6,44,1,49.83419614444445,0.9675824555555556,63.25346734444444,548.859,1169.308,3.2645716667175293,1.8826344013214111,709832
AdditiveSynthesizer,9x4,XoioBerlinFlat,pose7,44,1,50.46571845555556,0.9399203666666667,59.538774933333336,548.859,1160.317,3.2645716667175293,1.8826344013214111,709832
AdditiveSynthesizer,9x4,XoioBerlinFlat,pose8,44,1,50.64130983333333,0.9678116888888888,63.103585188888886,548.859,961.741,3.2645716667175293,1.8826344013214111,709832
AdditiveSynthesizer,9x4,XoioBerlinFlat,pose9,44,1,50.62847345555555,0.9663397222222222,59.69462046666666,548.859,1165.603,3.2645716667175293,1.8826344013214111,709832
ViewWeightingSynthesizer,9x4,XoioBerlinFlat,pose0,44,1,50.00698402222222,0.9509424111111111,60.78171644444444,548.859,2315.95,3.2645716667175293,1.8826344013214111,709832
ViewWeightingSynthesizer,9x4,XoioBerlinFlat,pose1,44,1,48.0856444,0.9134817999999999,49.89719655555556,548.859,2520.008,3.2645716667175293,1.8826344013214111,709832
ViewWeightingSynthesizer,9x4,XoioBerlinFlat,pose2,44,1,49.87992965555555,0.9397850444444446,50.1490504888889,548.859,2418.122,3.2645716667175293,1.8826344013214111,709832
ViewWeightingSynthesizer,9x4,XoioBerlinFlat,pose3,44,1,51.45064312222223,0.9703801999999998,64.67959492222222,548.859,2362.905,3.2645716667175293,1.8826344013214111,709832
ViewWeightingSynthesizer,9x4,XoioBerlinFlat,pose4,44,1,48.761759255555546,0.9240094444444444,31.42470116666667,548.859,2461.932,3.2645716667175293,1.8826344013214111,709832
ViewWeightingSynthesizer,9x4,XoioBerlinFlat,pose5,44,1,49.037506311111116,0.9585586333333335,66.22193445555557,548.859,2634.501,3.2645716667175293,1.8826344013214111,709832
ViewWeightingSynthesizer,9x4,XoioBerlinFlat,pose6,44,1,49.67841285555556,0.9574770888888889,61.90672868888889,548.859,2824.268,3.2645716667175293,1.8826344013214111,709832
ViewWeightingSynthesizer,9x4,XoioBerlinFlat,pose7,44,1,50.187142699999995,0.9361904222222222,58.10903365555556,548.859,2640.427,3.2645716667175293,1.8826344013214111,709832
ViewWeightingSynthesizer,9x4,XoioBerlinFlat,pose8,44,1,50.26713007777777,0.961893411111111,62.70886955555556,548.859,2231.896,3.2645716667175293,1.8826344013214111,709832
ViewWeightingSynthesizer,9x4,XoioBerlinFlat,pose9,44,1,50.350516644444454,0.9634784111111112,58.31271387777777,548.859,2731.769,3.2645716667175293,1.8826344013214111,709832
AdditiveSynthesizer,12x3,XoioBerlinFlat,pose0,44,1,49.231115322222216,0.9575409333333333,62.94783004444446,582.777,1011.72,2.5966248512268066,1.958894968032837,691000
AdditiveSynthesizer,12x3,XoioBerlinFlat,pose1,44,1,48.01984991111112,0.8976386333333333,47.45502436666668,582.777,1070.567,2.5966248512268066,1.958894968032837,691000
AdditiveSynthesizer,12x3,XoioBerlinFlat,pose2,44,1,49.48637678888888,0.9357122666666667,49.94998888888889,582.777,971.9,2.5966248512268066,1.958894968032837,691000
