Frame,integer_adm2,integer_adm_scale0,integer_adm_scale1,integer_adm_scale2,integer_adm_scale3,integer_motion2,integer_motion,integer_vif_scale0,integer_vif_scale1,integer_vif_scale2,integer_vif_scale3,psnr_y,psnr_cb,psnr_cr,float_ssim,vmaf,
0,0.847818,0.815187,0.757954,0.841404,0.901395,0.000000,0.000000,0.311702,0.704026,0.787329,0.844938,28.839065,45.584485,45.468742,0.957123,48.282558,
1,0.842985,0.807333,0.746490,0.817146,0.909669,17.365385,17.389265,0.302303,0.693365,0.778733,0.839068,28.956930,45.622177,45.575363,0.955889,63.788116,
2,0.843986,0.806302,0.751110,0.832510,0.903934,17.334002,17.365385,0.299863,0.691409,0.779557,0.841411,29.026558,45.625055,45.631335,0.955363,64.153393,
3,0.850598,0.808560,0.751771,0.841057,0.911832,17.007339,17.334002,0.295097,0.690013,0.778513,0.839233,28.942716,45.577334,45.715624,0.952524,64.983998,
4,0.851440,0.803444,0.746083,0.834703,0.920317,16.841278,17.007339,0.293335,0.688758,0.778063,0.839052,28.602842,45.634796,45.900709,0.950350,64.989325,
5,0.851018,0.806554,0.752064,0.838377,0.913339,16.838009,16.841278,0.288616,0.683197,0.772072,0.830253,28.066898,45.581187,46.010733,0.947464,64.197505,
6,0.854670,0.804190,0.751842,0.839850,0.921797,16.838009,16.838009,0.283152,0.673693,0.762199,0.821841,27.275526,45.538416,46.140938,0.943179,64.151901,
7,0.847446,0.808901,0.747941,0.834705,0.908710,16.890001,16.890001,0.277920,0.663786,0.753592,0.813975,26.438864,45.477660,46.249973,0.936329,62.158931,
8,0.848565,0.806183,0.742242,0.834939,0.912425,16.827087,16.959505,0.271593,0.649606,0.737441,0.797529,25.996335,45.406113,46.334470,0.929361,60.973489,
9,0.843307,0.807038,0.736230,0.823584,0.910942,16.727118,16.827087,0.263590,0.639911,0.728086,0.787110,25.700881,45.322763,46.404864,0.920136,59.106630,
10,0.834440,0.800972,0.728062,0.822070,0.896584,16.454004,16.727118,0.257529,0.630560,0.718188,0.776985,25.461749,45.248768,46.471697,0.911436,56.443013,
11,0.829861,0.799938,0.721504,0.809671,0.897235,16.123734,16.454004,0.250939,0.622694,0.709851,0.768493,25.262115,45.199305,46.509382,0.907070,54.685568,
12,0.819853,0.796814,0.710218,0.797307,0.886028,16.087263,16.123734,0.244539,0.614299,0.701539,0.761393,25.049765,45.143606,46.522185,0.901969,52.300138,
13,0.819534,0.799099,0.696939,0.795009,0.891168,16.087263,16.087263,0.235713,0.603458,0.689824,0.749647,24.830966,45.083518,46.552512,0.896187,51.441726,
14,0.814989,0.801002,0.704909,0.787432,0.882309,16.117878,16.117878,0.225433,0.586749,0.671889,0.729632,24.496329,45.085536,46.554476,0.888720,49.356238,
15,0.806508,0.804245,0.713232,0.772513,0.868046,16.161894,16.161894,0.215959,0.570369,0.654951,0.713915,24.105203,45.037258,46.531600,0.880388,46.923329,
16,0.806545,0.801277,0.715564,0.780785,0.861670,16.172392,16.172392,0.207806,0.553237,0.636593,0.694381,23.721817,45.009122,46.510612,0.872399,45.830724,
17,0.798007,0.808186,0.699395,0.778003,0.850910,16.098232,16.238562,0.201084,0.539233,0.621484,0.677041,23.309782,44.972151,46.467602,0.864075,43.355791,
18,0.804982,0.810715,0.705437,0.778635,0.861529,15.406641,16.098232,0.195870,0.523067,0.602627,0.658138,22.887677,44.938332,46.383082,0.855212,43.007553,
19,0.811000,0.817546,0.710388,0.777861,0.874165,14.929871,15.406641,0.189113,0.509512,0.586414,0.638734,22.453357,44.876159,46.244109,0.847703,42.707833,
20,0.789040,0.820377,0.705626,0.752590,0.840748,14.398705,14.929871,0.183356,0.494007,0.568527,0.619727,22.026818,44.763939,46.141181,0.837107,37.700489,
21,0.787258,0.821086,0.704886,0.759100,0.832409,14.065373,14.398705,0.174977,0.477203,0.550136,0.599702,21.573413,44.620646,46.024835,0.827865,36.388811,
22,0.791295,0.819759,0.704888,0.755063,0.843925,13.842860,14.065373,0.168017,0.457414,0.527770,0.574451,21.058566,44.491513,45.885328,0.818507,36.016100,
23,0.772153,0.821675,0.697482,0.738118,0.812333,13.842860,13.842860,0.162841,0.440089,0.508114,0.553635,20.541735,44.325593,45.777570,0.807714,32.337022,
