Frame,integer_adm2,integer_adm_scale0,integer_adm_scale1,integer_adm_scale2,integer_adm_scale3,integer_motion2,integer_motion,integer_vif_scale0,integer_vif_scale1,integer_vif_scale2,integer_vif_scale3,psnr_y,psnr_cb,psnr_cr,float_ssim,vmaf,
0,0.872619,0.854426,0.747827,0.845086,0.936197,0.000000,0.000000,0.296849,0.625622,0.721643,0.787715,29.363955,42.550689,44.218044,0.934387,48.480312,
1,0.851960,0.850838,0.763378,0.817893,0.904985,15.238441,15.238441,0.283834,0.612494,0.710398,0.780215,28.940057,42.406039,44.058101,0.932554,58.849027,
2,0.853791,0.848112,0.734017,0.820730,0.920682,15.644707,15.644707,0.275055,0.600311,0.697930,0.767301,28.697476,42.311938,44.029868,0.927828,58.619369,
3,0.859948,0.838344,0.745492,0.848158,0.912749,15.932240,15.932240,0.265025,0.586082,0.684816,0.755840,28.384612,42.129228,43.894061,0.924497,59.221067,
4,0.847831,0.835690,0.759138,0.827920,0.894763,16.251001,16.251001,0.259057,0.576297,0.673490,0.743344,27.664585,41.958301,43.733181,0.915555,56.387709,
5,0.847829,0.835905,0.757151,0.830926,0.892075,16.743906,16.743906,0.249449,0.557184,0.652262,0.721250,26.241453,41.816984,43.626479,0.905773,55.372248,
6,0.832420,0.832353,0.748324,0.817981,0.870088,17.165060,17.165060,0.238569,0.537926,0.630831,0.701593,24.653535,41.530925,43.484459,0.891774,51.746424,
7,0.842151,0.831602,0.743994,0.814248,0.896040,17.589499,17.589499,0.227389,0.517112,0.609406,0.677205,23.704194,41.262576,43.340851,0.876963,52.515038,
8,0.816195,0.824723,0.726920,0.783910,0.866060,17.794371,17.794371,0.217071,0.498972,0.588803,0.656598,23.048833,41.007422,43.222619,0.860347,47.084217,
9,0.825478,0.820090,0.717870,0.796946,0.880811,17.934137,17.934137,0.207833,0.482096,0.569356,0.634927,22.527333,40.706376,43.008752,0.845376,47.792075,
10,0.802765,0.814205,0.689360,0.777151,0.857347,18.098921,18.098921,0.198865,0.466143,0.552086,0.614498,22.128677,40.189019,42.714845,0.831619,43.229998,
11,0.795505,0.801109,0.681943,0.774579,0.847185,18.155178,18.155178,0.190057,0.450373,0.534023,0.596572,21.693969,39.598637,42.210689,0.816663,41.424154,
12,0.776710,0.792690,0.676525,0.750558,0.826152,18.209816,18.209816,0.179492,0.431761,0.514534,0.576486,21.334794,39.041197,41.917167,0.802695,37.830835,
13,0.779885,0.785799,0.682801,0.748837,0.833354,18.499041,18.499041,0.171523,0.419357,0.500603,0.562653,21.147597,38.492856,41.724299,0.791842,38.221164,
14,0.789051,0.798425,0.687548,0.758589,0.842535,19.891151,20.461885,0.181554,0.439479,0.524659,0.589445,21.852280,39.126001,42.044553,0.811073,41.649968,
15,0.804009,0.811747,0.709955,0.773009,0.857869,19.660004,19.891151,0.192263,0.457925,0.545495,0.612288,22.775005,39.913861,42.802627,0.833557,44.728977,
16,0.808441,0.821366,0.726407,0.783583,0.851933,19.660004,19.660004,0.201929,0.476876,0.567875,0.638639,23.803972,40.450447,43.064566,0.852684,46.580242,
17,0.816572,0.833494,0.729827,0.793835,0.859674,19.820608,19.820608,0.211654,0.493683,0.586719,0.658092,25.058173,40.881200,43.265896,0.867308,48.978787,
18,0.820007,0.836366,0.723101,0.788038,0.871767,22.024481,22.321178,0.219032,0.509747,0.604000,0.674416,25.610717,41.037187,43.283549,0.879986,52.136714,
19,0.810122,0.832530,0.723414,0.781308,0.854153,21.613482,22.024481,0.224809,0.520542,0.615130,0.684403,25.826137,41.112313,43.245839,0.889977,50.611489,
20,0.825274,0.836386,0.734360,0.799749,0.872321,21.293928,21.613482,0.231233,0.536947,0.633407,0.702333,26.139559,41.218015,43.309020,0.900667,54.001940,
21,0.823003,0.833488,0.717728,0.787787,0.881881,20.981020,21.293928,0.235209,0.542282,0.638073,0.703950,25.976703,41.348718,43.340066,0.901097,53.437582,
22,0.819119,0.833727,0.730961,0.797225,0.860769,20.520983,20.981020,0.238874,0.544420,0.639122,0.703281,26.021679,41.347796,43.271211,0.903216,52.323829,
23,0.803083,0.837992,0.712083,0.764751,0.849880,20.018835,20.520983,0.243960,0.548330,0.642795,0.709437,26.139531,41.439464,43.247498,0.904752,49.417974,
24,0.813528,0.836915,0.716777,0.779766,0.866571,19.305897,20.018835,0.251430,0.556315,0.651163,0.717688,26.488341,41.626577,43.240082,0.911019,51.144232,
25,0.809224,0.835948,0.723552,0.777526,0.859728,18.570038,19.305897,0.252025,0.551341,0.643695,0.707823,26.546118,41.610458,43.134443,0.912511,49.149313,
26,0.803463,0.840392,0.712638,0.748834,0.869049,17.285425,18.570038,0.258295,0.552254,0.641893,0.704782,26.002365,41.604790,43.252794,0.908707,46.796515,
27,0.802900,0.851854,0.727133,0.757428,0.847845,16.097929,17.285425,0.265026,0.553162,0.638836,0.698451,25.480396,41.596193,43.122278,0.907409,45.221277,
28,0.808790,0.853185,0.739577,0.751641,0.857030,16.000156,16.097929,0.276375,0.559015,0.641585,0.697764,25.253918,41.667245,43.092835,0.905480,46.065003,
29,0.797660,0.853461,0.758884,0.773393,0.810752,16.000156,16.000156,0.290441,0.566562,0.645603,0.699507,24.837758,41.983194,43.478600,0.910091,44.094077,
30,0.845905,0.861771,0.770397,0.800821,0.905795,15.824110,16.416714,0.311976,0.583176,0.657549,0.706622,24.583077,42.027950,43.262202,0.915504,52.987632,
31,0.833915,0.857211,0.768514,0.802136,0.876715,13.203941,15.824110,0.333262,0.598064,0.666340,0.708294,24.477011,42.142711,43.385712,0.918931,48.388878,
32,0.835913,0.862636,0.765080,0.820661,0.868203,11.938784,13.203941,0.349591,0.601240,0.667533,0.707999,24.742593,42.366839,43.662018,0.918895,47.478899,
33,0.807283,0.861869,0.740722,0.778108,0.837132,10.758938,11.938784,0.362460,0.597981,0.661123,0.697227,24.500213,42.366780,43.749517,0.918120,40.367785,
34,0.825938,0.873963,0.759519,0.783594,0.871440,9.510890,10.758938,0.379031,0.600141,0.660116,0.695463,24.375436,42.569171,44.193501,0.918619,42.341898,
35,0.837809,0.879975,0.782289,0.811627,0.866448,7.877582,9.510890,0.403644,0.612655,0.668130,0.701964,24.434402,42.751843,44.532756,0.920889,43.164300,
36,0.870776,0.888908,0.775568,0.834312,0.933920,3.952825,7.877582,0.424955,0.620836,0.668923,0.695804,24.462525,43.481062,45.281826,0.924048,44.776056,
37,0.833398,0.888029,0.767826,0.792569,0.871233,3.891346,3.952825,0.430158,0.628912,0.680212,0.709148,24.584766,43.567189,45.449732,0.925774,38.594785,
38,0.843110,0.882261,0.773027,0.827624,0.873598,3.891346,3.891346,0.434229,0.634407,0.684726,0.711387,24.671725,43.688094,45.542788,0.926829,40.533493,
39,0.847551,0.879582,0.759146,0.819545,0.896346,3.910111,3.910111,0.435245,0.634008,0.685769,0.713544,24.780954,43.778854,45.614048,0.927774,41.535716,
40,0.851688,0.882472,0.771312,0.829444,0.895149,3.980312,3.980312,0.435414,0.635180,0.687977,0.718650,24.926929,43.781081,45.686830,0.929694,42.717416,
41,0.838200,0.876297,0.757717,0.821017,0.873061,4.033601,4.033601,0.431574,0.631635,0.685953,0.718617,25.058979,43.663278,45.754107,0.931152,40.264436,
42,0.852333,0.872468,0.746484,0.820231,0.920893,4.092258,4.092258,0.429476,0.630405,0.684507,0.715685,25.147822,43.550586,45.832953,0.931920,42.796049,
43,0.841346,0.873860,0.753262,0.795173,0.903922,4.150595,4.150595,0.428206,0.628698,0.683155,0.717749,25.319934,43.512149,45.899280,0.932587,40.916342,
44,0.840393,0.872966,0.739617,0.811975,0.898650,4.219129,4.219129,0.424869,0.625230,0.679959,0.711891,25.431208,43.402306,45.937078,0.932273,40.465807,
45,0.844049,0.866847,0.753998,0.775209,0.926860,4.327153,4.327153,0.420531,0.619464,0.673957,0.711435,25.566932,43.319008,45.996293,0.932147,41.202667,
46,0.824629,0.868856,0.732058,0.771307,0.889967,4.421065,4.421065,0.418909,0.617997,0.672944,0.707685,25.736772,43.160889,46.034147,0.932158,37.498305,
47,0.811199,0.863095,0.726916,0.772665,0.859819,4.477803,4.477803,0.415620,0.614747,0.670629,0.708005,25.896966,43.098569,46.036012,0.932506,35.134087,
48,0.818957,0.863169,0.754642,0.742406,0.890606,4.559319,4.559319,0.412439,0.610087,0.664995,0.700798,26.039878,42.981991,46.079290,0.931744,36.201271,
