Frame,integer_adm2,integer_adm_scale0,integer_adm_scale1,integer_adm_scale2,integer_adm_scale3,integer_motion2,integer_motion,integer_vif_scale0,integer_vif_scale1,integer_vif_scale2,integer_vif_scale3,psnr_y,psnr_cb,psnr_cr,float_ssim,vmaf,
0,0.906950,0.887643,0.843128,0.893721,0.953537,0.000000,0.000000,0.343388,0.855680,0.906834,0.929801,35.514973,44.287099,46.286355,0.977032,69.098930,
1,0.909198,0.883112,0.842717,0.904421,0.952462,3.717415,3.744369,0.341461,0.857027,0.905912,0.927676,35.568133,44.416159,46.301847,0.976854,73.492959,
2,0.906012,0.878851,0.849391,0.887415,0.952944,3.717415,3.717415,0.340361,0.856250,0.906187,0.927313,35.566423,44.510845,46.342618,0.976607,72.823950,
3,0.899044,0.885641,0.843454,0.881017,0.947818,3.721471,3.721471,0.341094,0.855551,0.905515,0.926779,35.577727,44.447177,46.311393,0.976803,71.324873,
4,0.900981,0.885009,0.844887,0.913135,0.928952,3.759858,3.759858,0.340464,0.854843,0.904604,0.925916,35.540167,44.431828,46.257748,0.976829,71.668566,
5,0.896030,0.877665,0.837660,0.878729,0.943174,3.775451,3.775451,0.334912,0.850646,0.901611,0.923170,35.350123,44.320954,46.147669,0.976684,70.375059,
6,0.907715,0.885314,0.843156,0.903367,0.951494,3.818757,3.818757,0.334801,0.850696,0.900931,0.922798,35.008679,44.251399,46.020304,0.976636,72.771470,
7,0.911798,0.885911,0.858443,0.908697,0.948138,3.830489,3.830489,0.336188,0.852012,0.902277,0.924010,34.656688,44.139944,45.891840,0.976137,73.762949,
8,0.904767,0.889167,0.855161,0.874930,0.954254,3.853715,3.853715,0.333357,0.847087,0.898039,0.919815,34.109261,43.875391,45.606976,0.975037,71.879622,
9,0.903666,0.886872,0.840111,0.907832,0.942001,3.906912,3.906912,0.328827,0.839793,0.890642,0.912021,33.205828,43.594136,45.485064,0.974165,70.878819,
10,0.902113,0.882333,0.839022,0.905925,0.940106,3.925933,3.925933,0.322998,0.833837,0.884318,0.905821,32.191746,43.201111,45.321704,0.973135,69.918878,
11,0.906238,0.883311,0.858500,0.892715,0.948858,3.948291,3.948291,0.321762,0.828263,0.878172,0.899333,31.242006,42.822968,45.187285,0.971604,70.098847,
12,0.907472,0.888238,0.852115,0.901373,0.946098,3.957926,3.957926,0.318609,0.825524,0.874520,0.894222,30.398659,42.386773,45.007422,0.970270,69.869220,
13,0.906043,0.884392,0.837997,0.902349,0.949623,3.976694,3.978125,0.316773,0.821028,0.870275,0.889955,29.655355,41.970573,44.830814,0.968302,69.149595,
