Frame,integer_adm2,integer_adm_scale0,integer_adm_scale1,integer_adm_scale2,integer_adm_scale3,integer_motion2,integer_motion,integer_vif_scale0,integer_vif_scale1,integer_vif_scale2,integer_vif_scale3,psnr_y,psnr_cb,psnr_cr,float_ssim,vmaf,
0,0.941576,0.884749,0.886234,0.940557,0.974303,0.000000,0.000000,0.410341,0.839597,0.898390,0.929787,33.340720,46.324790,45.590256,0.980486,75.657590,
1,0.934488,0.872550,0.883436,0.931809,0.966826,18.322779,18.322779,0.397697,0.826467,0.886321,0.918668,32.903873,46.139827,45.518578,0.979138,91.599888,
2,0.936674,0.875510,0.876661,0.936495,0.970185,18.699072,18.699072,0.387702,0.815408,0.879464,0.915417,32.550710,45.869206,45.187208,0.978264,91.853966,
3,0.936646,0.873569,0.874525,0.937673,0.971678,18.916441,18.916441,0.373900,0.796930,0.863317,0.901808,30.956001,45.253984,44.345316,0.973943,90.435326,
4,0.931575,0.874264,0.862398,0.932359,0.969603,18.961395,18.961395,0.358659,0.776632,0.846466,0.887620,28.928802,44.467546,43.458147,0.961317,87.828206,
5,0.927880,0.869686,0.870136,0.931552,0.959357,19.312950,19.312950,0.345680,0.755105,0.825655,0.866518,26.944462,43.403015,42.482455,0.947284,85.193724,
6,0.927260,0.868925,0.870321,0.926100,0.962643,19.475079,19.475079,0.333438,0.737511,0.806377,0.844233,24.184238,42.289881,41.461994,0.932111,83.060176,
7,0.924633,0.863828,0.865117,0.920229,0.963689,19.529713,19.529713,0.321233,0.721476,0.791114,0.829878,22.254323,41.253182,40.502537,0.918256,81.168912,
8,0.921184,0.860067,0.861145,0.915997,0.961957,19.476740,19.590984,0.307616,0.705821,0.776875,0.815984,20.864926,39.964551,39.433246,0.906769,79.136199,
9,0.917907,0.852601,0.848171,0.916598,0.960593,19.145420,19.476740,0.295048,0.686514,0.757910,0.797762,19.771389,38.353101,38.428032,0.895919,76.565870,
10,0.914980,0.852212,0.841013,0.910304,0.959785,19.045301,19.145420,0.284828,0.671400,0.742259,0.781118,18.827141,37.074100,37.647374,0.883069,74.488309,
11,0.908872,0.844743,0.830405,0.909751,0.952919,19.045301,19.045301,0.275633,0.655323,0.727128,0.767149,18.025488,35.976145,36.961222,0.870744,72.126254,
12,0.904551,0.838635,0.822808,0.899739,0.952849,18.891785,19.064157,0.264415,0.639917,0.712368,0.753917,17.345269,34.985272,36.319699,0.858622,70.091410,
13,0.902824,0.838728,0.826861,0.903099,0.947059,18.891785,18.891785,0.254772,0.624267,0.696822,0.737556,16.766622,34.170924,35.700771,0.847283,68.522413,
14,0.904343,0.840286,0.828962,0.902250,0.948611,22.887335,22.887335,0.265533,0.643136,0.715763,0.756936,17.843840,35.629552,36.618238,0.863951,73.391117,
15,0.908946,0.842672,0.835167,0.904143,0.954549,23.217617,23.217617,0.276353,0.661262,0.734754,0.777227,19.228441,37.390106,37.586421,0.882024,76.138132,
16,0.919485,0.848236,0.846895,0.912135,0.967421,23.325325,23.325325,0.288569,0.684718,0.759183,0.801590,21.019101,39.596964,38.888742,0.899168,80.339266,
17,0.917188,0.855248,0.850587,0.918830,0.954857,23.547190,23.547190,0.302091,0.702301,0.776927,0.820761,23.678351,41.258213,40.304018,0.916797,81.751385,
18,0.920772,0.858400,0.863869,0.922608,0.955471,25.133780,26.436655,0.315004,0.727159,0.802964,0.847788,26.706982,42.762382,41.738457,0.936710,86.051555,
19,0.924657,0.864668,0.863312,0.927648,0.959570,25.103003,25.133780,0.330946,0.757040,0.832410,0.876863,28.949715,44.056741,43.013003,0.954382,89.670593,
20,0.928085,0.869376,0.871243,0.926130,0.963197,25.103003,25.103003,0.346679,0.784452,0.859171,0.901280,30.764254,44.879472,44.106811,0.967603,92.955925,
21,0.932677,0.870964,0.875981,0.933430,0.966781,25.265905,25.265905,0.357356,0.801466,0.874848,0.915346,31.515370,45.367928,44.699800,0.971970,95.542999,
22,0.937170,0.875368,0.879573,0.939500,0.970469,24.952215,25.573072,0.363618,0.811038,0.882508,0.921425,31.554101,45.533839,44.811009,0.972717,96.970720,
23,0.938175,0.879099,0.880619,0.940565,0.969813,24.343767,24.952215,0.369501,0.816913,0.887249,0.924482,31.487191,45.670171,44.945625,0.974662,97.193732,
24,0.937976,0.880555,0.884422,0.935863,0.970007,24.343767,24.343767,0.375903,0.820822,0.889690,0.925060,31.303736,45.855671,45.091797,0.975075,97.309281,
25,0.938559,0.879783,0.880306,0.937592,0.972900,24.194521,24.390795,0.378846,0.818212,0.884828,0.920959,30.699458,45.754919,44.749103,0.973429,96.866650,
