Frame,integer_adm2,integer_adm_scale0,integer_adm_scale1,integer_adm_scale2,integer_adm_scale3,integer_motion2,integer_motion,integer_vif_scale0,integer_vif_scale1,integer_vif_scale2,integer_vif_scale3,psnr_y,psnr_cb,psnr_cr,float_ssim,vmaf,
0,0.899013,0.856756,0.814120,0.883772,0.946270,0.000000,0.000000,0.487378,0.864465,0.910643,0.936435,33.599654,51.753941,52.392602,0.985416,67.492046,
1,0.904917,0.866883,0.830432,0.884443,0.954153,7.181047,7.181047,0.469801,0.850422,0.899424,0.928392,33.054651,51.597847,52.630099,0.984368,75.888565,
2,0.901882,0.860790,0.819983,0.885116,0.957573,7.662993,7.662993,0.468505,0.839887,0.890796,0.922101,32.249389,51.377706,52.219327,0.983268,74.992191,
3,0.898101,0.869672,0.796936,0.885827,0.948942,8.088711,8.133783,0.472208,0.843349,0.895119,0.923932,31.840881,51.221869,52.136950,0.983646,74.956735,
4,0.898448,0.856827,0.822893,0.878262,0.950644,8.088711,8.088711,0.472616,0.834174,0.886178,0.917960,31.463055,51.043010,51.737099,0.981756,74.257578,
5,0.899492,0.863074,0.820852,0.890336,0.944146,8.100272,8.100272,0.469152,0.823529,0.874912,0.902690,30.853005,50.906167,51.632762,0.980141,72.955947,
6,0.896699,0.864879,0.810112,0.886573,0.939999,8.342228,8.342228,0.454829,0.798948,0.846219,0.873272,29.737011,50.634711,51.031059,0.969997,69.544046,
7,0.899997,0.856678,0.832025,0.881654,0.946916,8.493761,8.493761,0.433756,0.764200,0.811692,0.837652,29.076314,50.476473,51.126381,0.957923,66.863609,
8,0.902424,0.862966,0.818299,0.887307,0.956065,8.704618,8.704618,0.414084,0.735439,0.782444,0.807120,28.081397,50.280850,50.844058,0.947844,64.748600,
9,0.900031,0.859973,0.830840,0.885557,0.944716,10.146342,10.146342,0.399161,0.704827,0.748629,0.772680,22.167129,50.024601,50.704458,0.932541,62.702761,
10,0.897591,0.857562,0.823143,0.882090,0.945212,11.849405,11.849405,0.381478,0.675064,0.715407,0.734799,20.031924,48.487650,49.951140,0.918178,60.882934,
11,0.890304,0.863685,0.815699,0.881983,0.931431,13.157662,13.179166,0.364248,0.653141,0.696460,0.717274,20.263992,48.456532,49.739453,0.905078,59.423854,
12,0.876103,0.855555,0.826075,0.864186,0.906845,12.917137,13.157662,0.357851,0.648512,0.691448,0.713202,20.335392,48.083193,49.376797,0.896298,56.160041,
13,0.863429,0.848530,0.799045,0.851137,0.898914,12.917137,12.917137,0.354416,0.644707,0.688701,0.711224,20.512878,47.728914,49.023663,0.892342,53.614853,
14,0.836310,0.835210,0.784832,0.831037,0.859768,14.607062,14.607062,0.340551,0.631864,0.676362,0.698285,20.749353,47.425189,48.608658,0.887917,49.277243,
15,0.825907,0.832289,0.785644,0.826419,0.839037,14.815222,14.863239,0.335973,0.630510,0.678053,0.703682,20.865510,47.408732,48.537023,0.880837,47.921287,
16,0.816166,0.838314,0.777162,0.815977,0.825978,13.889277,14.815222,0.334095,0.632709,0.683519,0.713258,20.935070,47.388205,48.316523,0.880032,45.905610,
17,0.827867,0.834476,0.783522,0.819063,0.850508,13.170157,13.889277,0.333748,0.633705,0.683757,0.712398,21.024782,47.438680,49.332784,0.877892,47.329440,
18,0.819149,0.832350,0.773010,0.813778,0.837493,12.741203,13.170157,0.333085,0.631331,0.682375,0.709531,21.171553,47.482567,49.481088,0.876577,45.153188,
19,0.827367,0.840385,0.770717,0.819152,0.852257,12.620173,12.741203,0.331722,0.630142,0.681107,0.708706,21.307038,47.514277,49.607866,0.874791,46.499552,
20,0.822883,0.834555,0.781161,0.814213,0.841951,12.534658,12.620173,0.330849,0.628954,0.680993,0.709439,21.436410,47.584846,49.724800,0.876293,45.649600,
21,0.817981,0.829963,0.774801,0.815958,0.833185,12.534658,12.534658,0.330269,0.625306,0.677376,0.710772,21.522437,47.763592,49.863865,0.886265,44.796599,
22,0.803078,0.834221,0.765131,0.813387,0.803522,13.035595,13.035595,0.312540,0.587726,0.633505,0.658995,21.295637,47.691617,49.889921,0.877616,39.507005,
23,0.821840,0.832422,0.776996,0.804285,0.849405,12.727530,13.313090,0.332215,0.627422,0.679403,0.710700,21.512362,47.726813,49.840204,0.882818,45.695004,
24,0.819486,0.831048,0.776516,0.802930,0.845093,12.685959,12.727530,0.334954,0.632538,0.685263,0.718535,21.422063,47.584902,49.715267,0.877606,45.723639,
25,0.820103,0.832934,0.782682,0.813270,0.836292,12.653769,12.685959,0.341064,0.645032,0.699054,0.729059,21.335393,47.468441,49.601098,0.884769,46.553836,
26,0.821689,0.831625,0.779093,0.827190,0.832275,12.653769,12.653769,0.345510,0.652589,0.705889,0.733701,21.302912,47.440362,49.469975,0.889005,47.175431,
27,0.825129,0.833952,0.769988,0.819485,0.847960,13.013533,13.013533,0.343738,0.652487,0.705734,0.732026,21.229612,47.438349,49.351379,0.890233,48.063763,
28,0.828319,0.832795,0.769218,0.819547,0.856736,13.587388,13.587388,0.343862,0.653567,0.705782,0.732294,21.177715,47.420580,49.297547,0.889622,49.207493,
29,0.818147,0.832205,0.766230,0.815757,0.835720,14.178395,14.178395,0.344369,0.652193,0.701034,0.722382,21.101933,47.376384,48.351280,0.890274,47.188711,
30,0.822950,0.829361,0.757539,0.819485,0.848018,14.760934,14.760934,0.349539,0.653352,0.697753,0.716866,20.746974,47.384069,48.459279,0.886558,48.201802,
31,0.816674,0.834396,0.761968,0.802751,0.841326,14.666306,14.872139,0.360525,0.661884,0.703503,0.722978,20.481640,47.423150,48.695728,0.893442,47.311108,
32,0.834787,0.836321,0.779212,0.831744,0.856673,14.596939,14.666306,0.372178,0.670306,0.709941,0.728956,20.442269,47.692604,49.118957,0.900238,51.023290,
33,0.858979,0.845821,0.794857,0.861247,0.884233,14.382223,14.596939,0.383641,0.678437,0.715061,0.732336,20.428416,47.979695,49.481013,0.909267,55.643639,
34,0.887895,0.854725,0.801522,0.885265,0.931428,13.869533,14.382223,0.399361,0.692699,0.727509,0.742225,20.240377,48.220077,49.910584,0.920048,61.536347,
35,0.902120,0.856226,0.808968,0.883112,0.962180,12.897484,13.869533,0.422597,0.719993,0.752774,0.765478,20.056740,48.307471,50.102865,0.931201,65.352391,
36,0.893557,0.856939,0.807878,0.880588,0.944630,10.516979,12.897484,0.449773,0.753471,0.785699,0.797801,20.724630,48.797187,50.560448,0.947950,64.127037,
37,0.894857,0.855598,0.814266,0.872730,0.950134,8.540070,10.516979,0.482928,0.798209,0.834011,0.849821,26.000963,50.025534,51.393461,0.963657,67.234659,
38,0.889476,0.856461,0.812510,0.872921,0.936412,7.923631,8.540070,0.505629,0.830769,0.868283,0.885358,30.940798,50.124320,51.656206,0.974219,69.105363,
39,0.882525,0.858874,0.806124,0.874300,0.922443,7.773696,7.923631,0.525914,0.858407,0.895017,0.910182,31.584206,50.350222,51.882600,0.982435,70.255537,
40,0.887183,0.857629,0.809247,0.871996,0.933657,7.629252,7.773696,0.539874,0.880880,0.918022,0.935829,32.259588,50.581576,52.187426,0.988171,73.860269,
41,0.894300,0.858409,0.814821,0.876106,0.944555,7.629252,7.629252,0.543872,0.888198,0.925798,0.942791,32.559810,50.784031,52.530309,0.989384,76.188650,
42,0.888992,0.857715,0.804424,0.869272,0.941405,7.639269,7.639269,0.541247,0.884777,0.923648,0.942412,32.649313,50.952373,52.854815,0.989173,74.974870,
43,0.885002,0.858858,0.797002,0.877640,0.928711,8.192445,8.192445,0.535058,0.884131,0.923011,0.942091,32.899541,51.142147,53.101876,0.988792,74.702457,
44,0.883136,0.859672,0.801332,0.873795,0.924340,8.210319,8.237123,0.531289,0.882647,0.921087,0.940199,33.055699,51.319567,53.314157,0.989096,74.113794,
45,0.885376,0.865128,0.807384,0.866445,0.930849,8.210319,8.210319,0.532043,0.881129,0.922015,0.941511,33.222866,51.474096,53.392214,0.989231,74.720327,
46,0.878334,0.864324,0.802932,0.871370,0.915740,8.744878,8.744878,0.528909,0.878799,0.919055,0.936974,33.255735,51.613564,53.395374,0.988873,73.372097,
47,0.882267,0.856699,0.803279,0.866065,0.926906,8.892172,8.892172,0.521900,0.872208,0.912689,0.931748,33.177576,51.749994,53.410101,0.987741,73.712103,
48,0.884796,0.852403,0.790965,0.874259,0.935592,9.044621,9.044621,0.516030,0.865495,0.905979,0.924908,33.103784,51.860346,53.466435,0.985620,73.633461,
49,0.883509,0.852313,0.796804,0.870752,0.931964,9.128442,9.128442,0.508791,0.860282,0.900926,0.920700,32.932245,51.969764,53.538471,0.983963,72.954383,
50,0.886098,0.850020,0.798287,0.873407,0.937100,9.189116,9.189116,0.499865,0.853005,0.893358,0.913730,32.606534,52.123766,53.589796,0.981976,72.760618,
51,0.884449,0.847693,0.789209,0.875442,0.934713,9.249082,9.249082,0.487788,0.844885,0.886799,0.906977,32.123675,52.159345,53.660376,0.979733,71.755654,
52,0.882626,0.847831,0.786093,0.864246,0.941468,9.327225,9.327225,0.480237,0.836401,0.877930,0.897310,31.612452,52.445752,53.952064,0.977273,70.440909,
53,0.877358,0.843568,0.790450,0.857564,0.933230,9.337805,9.361423,0.473722,0.832165,0.873707,0.894017,31.106777,52.642102,54.350256,0.975461,68.987436,
54,0.878245,0.843117,0.778114,0.860713,0.936238,9.295368,9.337805,0.468692,0.831558,0.873002,0.891534,30.777911,52.604639,54.472553,0.975213,68.923357,
55,0.874789,0.835950,0.775600,0.856185,0.934553,9.288033,9.295368,0.463229,0.829026,0.870705,0.889713,30.370208,52.497339,54.501767,0.975056,68.003075,
56,0.872627,0.834343,0.775123,0.851879,0.933228,9.288033,9.288033,0.456593,0.827880,0.869453,0.887568,29.933286,52.395227,54.422749,0.974368,67.369335,
57,0.870898,0.831091,0.765207,0.851300,0.934524,9.314192,9.314192,0.451340,0.826776,0.869072,0.887605,29.560924,52.276442,54.290227,0.974452,67.042413,
58,0.869048,0.831818,0.757427,0.848976,0.935835,9.429698,9.429698,0.445067,0.826521,0.869855,0.891056,29.200843,52.090766,54.154755,0.974625,67.075003,
59,0.866990,0.832599,0.761477,0.840514,0.931073,9.042515,9.600616,0.437159,0.824337,0.868097,0.888157,28.822720,51.927173,53.938117,0.974294,65.994615,
60,0.867035,0.837502,0.758959,0.850749,0.925326,9.042515,9.042515,0.434917,0.820626,0.865409,0.887001,28.502302,51.765142,53.684425,0.974876,65.840307,
61,0.870116,0.840161,0.770225,0.846947,0.928100,9.182577,9.182577,0.430455,0.815697,0.860489,0.881171,28.228668,51.657108,53.433276,0.973822,66.039299,
62,0.871277,0.840264,0.765093,0.845216,0.932679,9.213193,9.213193,0.423284,0.814451,0.859786,0.880262,27.967264,51.560485,53.153523,0.972781,66.232473,
63,0.875780,0.841763,0.770814,0.845074,0.940400,9.233976,9.233976,0.414331,0.807907,0.854051,0.875043,27.726228,51.476438,52.915198,0.972243,66.630133,
64,0.876812,0.849868,0.789865,0.847776,0.929535,9.178382,9.255098,0.410524,0.800912,0.844767,0.864837,27.588675,51.351449,52.696073,0.968613,65.759370,
65,0.887631,0.859848,0.795237,0.866444,0.938860,9.135918,9.178382,0.407501,0.803085,0.847518,0.865006,27.512279,51.244875,52.503336,0.967128,68.019771,
66,0.893551,0.861808,0.820683,0.882880,0.933826,9.014261,9.135918,0.404287,0.807606,0.853255,0.868605,27.423815,51.178899,52.327307,0.967388,69.551683,
67,0.913911,0.862233,0.831722,0.912372,0.961087,8.850435,9.014261,0.403889,0.812318,0.859232,0.875735,27.314048,51.059758,52.152321,0.968383,74.283372,
68,0.919595,0.865361,0.829101,0.910537,0.979756,8.309133,8.850435,0.400140,0.816206,0.864318,0.881411,27.317967,51.061961,51.945314,0.966780,75.488608,
69,0.921786,0.860535,0.820369,0.914369,0.987613,7.601897,8.309133,0.404003,0.823772,0.871905,0.889100,27.330976,51.053353,51.819645,0.967124,76.017522,
70,0.916259,0.857024,0.812243,0.901682,0.990612,7.060615,7.601897,0.402066,0.825895,0.875965,0.893385,27.247942,51.025805,51.714616,0.965004,74.762288,
71,0.915223,0.863144,0.811332,0.904944,0.986275,6.692175,7.060615,0.404722,0.827107,0.878723,0.895005,27.285602,51.078962,51.583872,0.965652,74.369049,
72,0.909173,0.862224,0.803779,0.897215,0.979248,6.399353,6.692175,0.406081,0.831146,0.881675,0.897517,27.247896,51.214878,51.426633,0.964350,73.084211,
73,0.916905,0.866802,0.807454,0.901405,0.991207,6.134411,6.399353,0.406734,0.822812,0.877406,0.897420,27.104583,51.307727,51.290720,0.962945,74.256366,
74,0.923865,0.874675,0.827898,0.917900,0.989693,5.867095,6.134411,0.409559,0.822713,0.877907,0.895553,27.036796,51.428174,51.252234,0.960935,75.285648,
75,0.930516,0.882108,0.847564,0.934327,0.982782,5.211871,5.867095,0.416420,0.821576,0.875352,0.894190,27.079307,51.539296,51.098488,0.957346,75.742406,
76,0.922972,0.874002,0.821666,0.927882,0.982306,5.211871,5.211871,0.402968,0.821988,0.874733,0.892250,26.974525,51.429798,50.993840,0.952781,74.038196,
77,0.916330,0.863490,0.803157,0.897362,0.997928,5.392148,5.392148,0.395824,0.819764,0.869693,0.887626,26.862574,51.356788,50.960475,0.952118,72.354449,
78,0.913303,0.860396,0.801679,0.909367,0.984304,5.534546,5.534546,0.392084,0.818986,0.869254,0.888063,26.966947,51.259055,50.801792,0.954419,71.911973,
79,0.916355,0.859334,0.808978,0.895892,0.995381,5.715174,5.715174,0.391676,0.820762,0.870974,0.890475,27.080698,51.251670,50.765237,0.960178,72.973987,
80,0.921513,0.862474,0.799469,0.925874,0.991196,5.911432,5.911432,0.390124,0.816043,0.865739,0.884441,26.934055,51.235287,50.717412,0.955679,73.633063,
81,0.918155,0.860440,0.805412,0.916499,0.988031,6.586823,6.586823,0.392186,0.803346,0.856921,0.879614,26.993951,51.179979,50.770548,0.959329,73.029727,
82,0.917306,0.860200,0.810215,0.917895,0.982524,7.501035,7.501035,0.389678,0.786438,0.841504,0.864014,26.850019,51.167973,50.911652,0.957780,72.216142,
83,0.916425,0.864059,0.816940,0.915117,0.979460,7.786453,7.786453,0.388154,0.774224,0.830687,0.855791,26.865564,51.190969,51.007627,0.956317,71.428370,
84,0.907795,0.859091,0.841009,0.905322,0.946628,7.866113,7.919066,0.390153,0.763939,0.820335,0.847715,26.986558,51.215989,51.165809,0.955864,68.873029,
85,0.904932,0.855580,0.814232,0.890926,0.956576,7.866113,7.866113,0.391255,0.760848,0.813175,0.840185,27.120928,51.221526,51.161959,0.957174,67.534474,
86,0.879060,0.846861,0.789013,0.864679,0.927640,7.905943,7.905943,0.392114,0.767635,0.818952,0.846135,27.309083,51.252165,51.243740,0.959544,62.913375,
87,0.869463,0.844477,0.776710,0.842325,0.933531,8.116893,8.116893,0.390104,0.761175,0.814381,0.842973,27.308779,51.282080,51.496666,0.960187,60.883620,
88,0.873767,0.841031,0.753963,0.854657,0.936871,8.531968,8.531968,0.390441,0.765285,0.820682,0.849445,27.501148,51.208043,51.659456,0.961440,62.807747,
89,0.868193,0.836399,0.762419,0.844649,0.932444,8.591792,8.591792,0.395447,0.775989,0.828892,0.855765,27.769340,51.242592,51.705567,0.962007,62.390943,
