Frame,integer_adm2,integer_adm_scale0,integer_adm_scale1,integer_adm_scale2,integer_adm_scale3,integer_motion2,integer_motion,integer_vif_scale0,integer_vif_scale1,integer_vif_scale2,integer_vif_scale3,psnr_y,psnr_cb,psnr_cr,float_ssim,vmaf,
0,0.899187,0.833645,0.801899,0.885538,0.956024,0.000000,0.000000,0.285336,0.655346,0.762168,0.833793,30.940500,42.845959,41.892993,0.940992,57.394358,
1,0.901506,0.836962,0.809178,0.904554,0.948703,6.983675,7.045128,0.285811,0.648636,0.753772,0.828639,30.817792,42.788749,41.933043,0.940394,64.527984,
2,0.894313,0.842045,0.794058,0.888776,0.945839,6.983675,6.983675,0.286535,0.646639,0.751222,0.825037,30.768444,42.756798,41.885543,0.939551,62.818846,
3,0.896205,0.827202,0.789296,0.896485,0.949207,6.991966,7.009639,0.286560,0.645614,0.750132,0.823003,30.751643,42.715216,41.846573,0.939725,63.041857,
4,0.887091,0.829780,0.789184,0.891888,0.933850,6.928384,6.991966,0.284740,0.641608,0.746289,0.816844,30.646273,42.658466,41.816223,0.938892,60.730766,
5,0.891120,0.833999,0.804563,0.879653,0.939834,6.912791,6.928384,0.286767,0.640074,0.744115,0.817068,30.710267,42.624745,41.752411,0.938955,61.461514,
6,0.894791,0.832584,0.809467,0.876724,0.948701,6.879338,6.912791,0.285904,0.636466,0.740776,0.814630,30.623363,42.590815,41.714451,0.938046,61.932530,
7,0.893723,0.831929,0.789824,0.898759,0.943896,6.870182,6.879338,0.286462,0.635261,0.738999,0.811339,30.560539,42.483650,41.633171,0.937392,61.460101,
8,0.886606,0.840085,0.782703,0.877672,0.940134,6.766628,6.870182,0.285706,0.631436,0.735558,0.810288,30.488431,42.389931,41.548629,0.937063,59.853877,
9,0.888307,0.830682,0.795339,0.891645,0.935547,6.687890,6.766628,0.285069,0.627816,0.731609,0.806651,30.364548,42.295548,41.433727,0.935788,59.804155,
10,0.889519,0.839450,0.804886,0.893360,0.930498,6.659928,6.687890,0.284990,0.627516,0.731048,0.805959,30.320658,42.223280,41.338436,0.934945,59.954604,
11,0.896629,0.837486,0.799740,0.885654,0.947805,6.600376,6.659928,0.285036,0.625002,0.728526,0.803753,30.259818,42.116850,41.222650,0.933946,61.092722,
12,0.896782,0.840413,0.796519,0.885232,0.949508,6.561606,6.600376,0.284442,0.621993,0.724716,0.798662,30.153395,42.065535,41.134391,0.933041,60.687498,
13,0.895828,0.845015,0.807199,0.896469,0.940632,6.548626,6.561606,0.286402,0.623292,0.725471,0.799212,30.129841,41.974878,40.996390,0.932678,60.521533,
14,0.885300,0.845235,0.796580,0.876397,0.933833,6.494048,6.548626,0.286384,0.620871,0.722456,0.795743,30.006236,41.918727,40.952173,0.932061,58.153463,
15,0.891778,0.846236,0.803240,0.892935,0.934027,6.409793,6.494048,0.286246,0.618784,0.719793,0.792784,29.912589,41.851848,40.842560,0.931700,59.085834,
16,0.891852,0.844023,0.812536,0.884738,0.935144,6.377264,6.409793,0.286296,0.617329,0.717797,0.792869,29.796301,41.762083,40.780482,0.930744,59.036632,
17,0.896157,0.839589,0.809344,0.885153,0.943008,6.347176,6.377264,0.287808,0.618464,0.718750,0.789917,29.732531,41.709199,40.701630,0.930417,59.656486,
18,0.894408,0.841924,0.793349,0.891380,0.944602,6.330017,6.347176,0.289809,0.619082,0.718901,0.790901,29.696522,41.681108,40.658366,0.930613,59.351290,
19,0.896600,0.848433,0.803766,0.896922,0.943506,6.315942,6.330017,0.290884,0.618241,0.716392,0.788300,29.638272,41.681653,40.650730,0.930757,59.532745,
20,0.891311,0.837259,0.811819,0.885979,0.937732,6.252995,6.315942,0.292062,0.618884,0.717376,0.788626,29.558870,41.699158,40.655723,0.931156,58.481546,
21,0.894391,0.843875,0.807482,0.893252,0.938703,6.205267,6.252995,0.294539,0.621123,0.718986,0.789425,29.520690,41.709682,40.655245,0.931582,59.085342,
22,0.889879,0.840145,0.803318,0.890559,0.931948,6.183049,6.205267,0.296384,0.622534,0.720158,0.791118,29.443823,41.754499,40.663802,0.931773,58.304271,
23,0.895887,0.841142,0.798033,0.881420,0.949357,6.156707,6.183049,0.298877,0.624598,0.721278,0.790734,29.374280,41.787353,40.687687,0.932571,59.411143,
24,0.896484,0.842467,0.797632,0.893630,0.946146,6.055274,6.156707,0.300285,0.625876,0.721873,0.790892,29.319890,41.863206,40.767056,0.933291,59.429737,
25,0.884944,0.835334,0.807584,0.881128,0.927230,5.990698,6.055274,0.303007,0.628968,0.724389,0.794037,29.282555,41.939051,40.799758,0.934380,57.349828,
26,0.886160,0.837613,0.795036,0.881953,0.934580,5.941489,5.990698,0.305709,0.631884,0.727160,0.795391,29.246295,42.070560,40.874443,0.935919,57.651041,
27,0.885966,0.839545,0.796345,0.870893,0.940537,5.912837,5.941489,0.308341,0.636090,0.730389,0.797204,29.203559,42.160185,40.937353,0.937017,57.727882,
28,0.889698,0.831148,0.794843,0.883370,0.941673,5.840379,5.912837,0.310400,0.637580,0.731448,0.798472,29.106953,42.290941,41.050514,0.937886,58.463577,
29,0.883842,0.836274,0.790423,0.871582,0.939081,5.795706,5.840379,0.313331,0.641757,0.734580,0.800534,29.070847,42.389243,41.116834,0.939016,57.439686,
