Frame,integer_adm2,integer_adm_scale0,integer_adm_scale1,integer_adm_scale2,integer_adm_scale3,integer_motion2,integer_motion,integer_vif_scale0,integer_vif_scale1,integer_vif_scale2,integer_vif_scale3,psnr_y,psnr_cb,psnr_cr,float_ssim,vmaf,
0,0.893953,0.851548,0.825848,0.900461,0.932954,0.000000,0.000000,0.426057,0.764694,0.816316,0.853209,21.476007,44.791446,50.203964,0.920205,57.637809,
1,0.906487,0.844650,0.829167,0.880861,0.975706,16.644472,18.781822,0.403801,0.746555,0.795190,0.831847,24.000373,45.062440,50.107216,0.935005,75.312711,
2,0.903220,0.848840,0.815855,0.890924,0.965597,16.644472,16.644472,0.398931,0.744824,0.792996,0.829097,24.964080,45.310752,49.957515,0.940786,74.402325,
3,0.871276,0.842766,0.823330,0.869758,0.900444,15.747611,16.962509,0.388514,0.741045,0.790894,0.827140,25.385621,45.223322,49.692478,0.942537,67.036064,
4,0.886837,0.848387,0.817381,0.861416,0.944177,14.549488,15.747611,0.383716,0.741009,0.791953,0.829099,25.264968,45.200233,49.564673,0.940478,69.182897,
5,0.874479,0.844725,0.807646,0.876631,0.909513,14.270246,14.549488,0.372972,0.733635,0.784929,0.820733,25.185757,45.115776,49.394714,0.939059,65.728888,
6,0.891706,0.849754,0.808647,0.866503,0.955427,13.939935,14.270246,0.364898,0.731043,0.782978,0.821702,25.108402,45.098104,49.250891,0.938638,68.869028,
7,0.879754,0.850025,0.810266,0.875677,0.920096,13.684564,13.939935,0.360198,0.728034,0.778429,0.813267,25.002724,45.141470,49.188258,0.937081,65.567184,
8,0.881628,0.849385,0.802908,0.872941,0.929458,13.684564,13.684564,0.355775,0.723248,0.772809,0.807903,24.900220,45.298303,49.220166,0.935139,65.447101,
9,0.889805,0.848640,0.808181,0.870413,0.948922,13.754660,13.754660,0.342623,0.695922,0.740447,0.767497,24.330453,45.335682,49.292507,0.928306,63.771455,
10,0.872274,0.853427,0.799147,0.853909,0.920893,14.511208,14.511208,0.325711,0.667985,0.713878,0.742805,23.069263,45.188883,49.451308,0.913654,59.098121,
11,0.878231,0.851503,0.800520,0.858429,0.930600,15.386705,15.386705,0.311918,0.642291,0.689291,0.719595,22.927955,45.217405,49.392316,0.899006,59.316979,
12,0.890962,0.854349,0.799995,0.866197,0.956987,15.221231,15.469768,0.316227,0.643331,0.690031,0.718708,22.926431,45.076224,49.090128,0.897251,61.547056,
13,0.878656,0.853827,0.800576,0.852761,0.937006,14.933263,15.221231,0.319326,0.644255,0.689843,0.716301,22.809863,44.926411,48.793918,0.899071,58.772893,
14,0.879182,0.859891,0.795285,0.840169,0.946798,11.663841,14.933263,0.320653,0.644362,0.689274,0.714243,22.558393,44.762659,48.545286,0.900301,55.682143,
15,0.875424,0.857117,0.780572,0.836168,0.947329,11.468030,11.663841,0.318189,0.642987,0.688523,0.714630,22.397733,44.762342,48.507661,0.898555,54.806129,
16,0.864687,0.855230,0.766530,0.829972,0.934512,11.084643,11.468030,0.317124,0.642927,0.688299,0.713956,22.285105,44.806327,48.459741,0.898585,52.356745,
17,0.848004,0.853391,0.747709,0.823982,0.906777,10.573631,11.084643,0.314666,0.644610,0.689812,0.714404,22.188216,44.881031,48.551279,0.899790,48.765140,
18,0.856687,0.853666,0.742420,0.826132,0.931363,10.136271,10.573631,0.311424,0.645633,0.690306,0.714351,22.164876,45.138552,48.865253,0.899885,49.982876,
19,0.858419,0.850216,0.753001,0.822614,0.934333,9.579744,10.136271,0.308316,0.647996,0.692118,0.716075,22.188827,45.184661,48.884882,0.901260,49.894833,
20,0.837452,0.851562,0.741835,0.832101,0.878906,8.854220,9.579744,0.305948,0.651605,0.694942,0.716912,22.062068,45.199081,48.880985,0.900418,45.325562,
21,0.847205,0.854698,0.758670,0.811917,0.908080,8.331323,8.854220,0.307933,0.657957,0.699709,0.720836,22.077654,45.198424,48.870511,0.900212,46.894564,
22,0.829778,0.851423,0.762886,0.814716,0.862109,8.036711,8.331323,0.311656,0.666361,0.706684,0.725244,22.125880,45.248772,48.905473,0.898061,43.639264,
23,0.847435,0.847457,0.762264,0.807305,0.912691,7.884668,8.036711,0.313265,0.669201,0.708839,0.727687,22.095185,45.239567,48.892812,0.898558,46.962424,
24,0.844892,0.848540,0.754363,0.825822,0.895099,7.683153,7.884668,0.310946,0.668531,0.707440,0.725408,22.062597,45.234911,48.910429,0.897576,46.129693,
25,0.834266,0.849035,0.765443,0.803786,0.880854,7.590203,7.683153,0.310492,0.668676,0.706484,0.724951,22.004380,45.225941,48.907862,0.897733,43.989503,
26,0.848975,0.848353,0.756728,0.790719,0.928783,7.573607,7.590203,0.309522,0.666601,0.704592,0.723898,21.963569,45.200805,48.903109,0.897068,46.661565,
27,0.852462,0.848963,0.769063,0.799838,0.926293,7.573607,7.573607,0.309163,0.667699,0.704548,0.722942,21.895549,45.201639,48.892881,0.896133,47.248939,
28,0.827285,0.848954,0.776530,0.794440,0.863813,7.675706,7.675706,0.307366,0.664173,0.700392,0.718970,21.894260,45.202527,48.871399,0.894338,42.343998,
29,0.854054,0.853991,0.780125,0.799281,0.925045,11.768366,11.768366,0.307089,0.672017,0.707529,0.725083,21.979927,45.254079,48.966003,0.897004,51.784496,
30,0.859030,0.855423,0.784273,0.809129,0.926975,10.980021,11.836138,0.303919,0.681382,0.717326,0.735375,22.009882,45.336904,49.044190,0.900692,52.749733,
31,0.861743,0.860896,0.782787,0.789943,0.941284,10.872346,10.980021,0.302729,0.688187,0.724081,0.742736,21.957353,45.415313,49.137883,0.903189,53.720927,
32,0.850669,0.854754,0.769398,0.795191,0.923017,10.872346,10.872346,0.302839,0.687692,0.725019,0.743160,21.792963,45.502321,49.195089,0.903591,51.659464,
33,0.838633,0.849409,0.789761,0.764490,0.910523,10.966010,10.966010,0.300356,0.681361,0.720844,0.742123,21.593365,45.567011,49.251302,0.903742,49.373277,
34,0.838701,0.850660,0.765489,0.800435,0.894165,11.453913,11.453913,0.296705,0.676349,0.718036,0.741495,21.326965,45.517446,49.290269,0.901358,49.815598,
35,0.883464,0.877484,0.789897,0.815380,0.973991,12.001097,12.001097,0.294947,0.667441,0.710413,0.735303,21.156764,45.407847,49.335299,0.902528,58.413130,
36,0.872936,0.887818,0.812097,0.818096,0.930074,12.248260,12.248260,0.294827,0.661732,0.704098,0.727740,21.018420,45.331977,49.418496,0.902584,56.066899,
37,0.889214,0.892602,0.834517,0.829610,0.952536,12.574220,12.574220,0.297314,0.660278,0.703590,0.728217,20.926408,45.055635,49.063121,0.904190,59.525527,
38,0.885746,0.893218,0.820663,0.847117,0.936928,12.160013,12.660725,0.303698,0.676259,0.721307,0.746665,21.131272,45.062540,48.835722,0.911628,59.883363,
39,0.877104,0.901072,0.845275,0.863930,0.891571,11.293105,12.160013,0.314328,0.698804,0.744863,0.769336,21.535579,45.070413,48.788082,0.921062,59.208196,
