Frame,integer_adm2,integer_adm_scale0,integer_adm_scale1,integer_adm_scale2,integer_adm_scale3,integer_motion2,integer_motion,integer_vif_scale0,integer_vif_scale1,integer_vif_scale2,integer_vif_scale3,psnr_y,psnr_cb,psnr_cr,float_ssim,vmaf,
0,0.881865,0.855477,0.785824,0.873747,0.942838,0.000000,0.000000,0.253001,0.769924,0.851970,0.891751,34.587378,42.441496,44.132007,0.962164,60.104896,
1,0.880752,0.853110,0.808256,0.873276,0.935932,11.469797,11.469797,0.248982,0.767979,0.851221,0.889760,34.212736,42.119280,43.733734,0.960606,71.317953,
2,0.877344,0.847692,0.778074,0.881621,0.933726,11.565458,11.565458,0.253235,0.765971,0.850183,0.890420,33.313556,41.756656,43.278543,0.959981,70.737397,
3,0.884821,0.854603,0.802717,0.880981,0.940278,11.519714,11.667803,0.257190,0.767566,0.849781,0.888466,32.045587,41.230357,42.735768,0.957846,72.023323,
4,0.890196,0.865651,0.817766,0.885857,0.936858,11.519714,11.519714,0.261675,0.765558,0.845882,0.882413,30.064184,40.328728,41.540280,0.952954,72.535208,
5,0.896671,0.876662,0.827963,0.888799,0.942113,11.739398,11.739398,0.259522,0.739623,0.815104,0.845810,27.066869,39.083114,40.146132,0.946229,70.566466,
6,0.898896,0.880382,0.823869,0.895693,0.943583,12.718752,12.718752,0.264958,0.726156,0.798509,0.827599,23.057440,37.768292,38.829703,0.930193,70.205664,
7,0.894790,0.876524,0.830351,0.886817,0.937170,12.649295,12.724153,0.272023,0.723754,0.793728,0.822271,20.844601,36.623583,37.637466,0.925676,68.814741,
8,0.890108,0.874824,0.825859,0.880182,0.932196,12.124348,12.649295,0.280157,0.728158,0.796851,0.822606,19.335534,35.643011,36.624531,0.923051,67.470282,
9,0.884828,0.875230,0.808937,0.877583,0.929304,11.788056,12.124348,0.288460,0.731648,0.799445,0.824022,18.269563,35.022618,35.843438,0.918142,66.241896,
10,0.874345,0.873320,0.804626,0.870416,0.910345,11.493567,11.788056,0.294725,0.729818,0.796945,0.821200,17.461741,34.387865,35.117566,0.913251,63.615928,
11,0.871601,0.870571,0.811547,0.864523,0.904893,11.315510,11.493567,0.299499,0.724643,0.790061,0.812873,16.818760,33.769108,34.390459,0.908635,62.158829,
12,0.871015,0.870630,0.795394,0.865918,0.910105,11.301323,11.315510,0.302934,0.722012,0.785576,0.807302,16.269239,33.250917,33.827422,0.903320,61.532317,
13,0.862036,0.870426,0.797336,0.844289,0.903190,11.301323,11.301323,0.305097,0.713429,0.776596,0.797757,15.805636,32.899721,33.521263,0.897483,58.938813,
14,0.855891,0.867031,0.781409,0.847041,0.894073,11.501680,13.535098,0.287833,0.665269,0.720493,0.733762,15.621369,32.486662,32.914134,0.882115,52.883498,
15,0.853043,0.863928,0.782874,0.841487,0.891784,11.117663,11.501680,0.281607,0.658925,0.714377,0.728401,15.510917,32.123200,32.391144,0.870579,51.595333,
16,0.850982,0.862289,0.776833,0.842265,0.888217,10.792099,11.117663,0.274082,0.653159,0.710573,0.724885,15.427385,31.800009,31.912853,0.864977,50.689938,
17,0.843882,0.859086,0.770993,0.825300,0.887825,10.525521,10.792099,0.265050,0.644286,0.702995,0.717345,15.359385,31.499345,31.490860,0.860246,48.620868,
18,0.831518,0.853545,0.775170,0.821610,0.856199,10.286111,10.525521,0.258751,0.639993,0.699399,0.714326,15.302696,31.190371,31.081688,0.856723,45.914430,
19,0.763062,0.845364,0.737122,0.755064,0.749259,10.038769,10.286111,0.253132,0.636552,0.695666,0.710237,15.262024,30.877099,30.668657,0.854052,33.053856,
20,0.728414,0.834699,0.693314,0.719659,0.711594,9.847069,10.038769,0.247818,0.628036,0.689810,0.703749,15.226890,30.560187,30.279022,0.850681,26.558056,
21,0.701673,0.824392,0.683484,0.684861,0.677607,9.753583,9.847069,0.243281,0.621293,0.684753,0.699660,15.208601,30.237230,29.891342,0.847549,21.800612,
22,0.700840,0.822525,0.674956,0.674958,0.686593,9.593568,9.753583,0.237302,0.614056,0.679412,0.696376,15.193071,29.946854,29.558770,0.845034,21.420699,
23,0.707369,0.824514,0.671785,0.674047,0.704294,9.355551,9.593568,0.231204,0.610398,0.679049,0.696779,15.179329,29.666134,29.252194,0.842378,22.413287,
24,0.701893,0.822982,0.668169,0.667840,0.696976,9.096144,9.355551,0.225521,0.606483,0.675846,0.693203,15.171068,29.388340,28.967052,0.840392,21.139774,
25,0.709111,0.825892,0.674574,0.662118,0.715143,8.876072,9.096144,0.221226,0.604478,0.672984,0.690522,15.164520,29.117925,28.700027,0.838772,22.011404,
26,0.704849,0.829810,0.679511,0.668946,0.694605,8.712365,8.876072,0.217314,0.604278,0.671518,0.688646,15.162532,28.862538,28.447774,0.837364,21.066082,
27,0.698946,0.838026,0.686986,0.670705,0.670729,8.604728,8.712365,0.215200,0.606982,0.673511,0.691700,15.161656,28.633852,28.218491,0.836615,20.151667,
28,0.709133,0.841100,0.690717,0.664384,0.696519,8.604728,8.604728,0.212101,0.607017,0.674060,0.690702,15.158062,28.429801,28.012364,0.835725,21.813103,
29,0.720686,0.839623,0.690397,0.681241,0.715522,13.968057,13.968057,0.216737,0.606095,0.673332,0.689509,15.190460,28.584516,28.491693,0.837682,28.524816,
30,0.714313,0.825213,0.685283,0.672889,0.715093,13.081969,14.483805,0.221964,0.606985,0.675333,0.692937,15.207858,28.727698,28.996456,0.839168,26.826625,
31,0.708744,0.819785,0.665685,0.674658,0.711923,13.081969,13.081969,0.224422,0.608088,0.677416,0.696540,15.195424,28.827680,29.401106,0.839600,26.090632,
32,0.722175,0.811371,0.658295,0.690595,0.741052,13.414577,13.414577,0.227973,0.608976,0.677748,0.697302,15.170796,28.933109,29.858214,0.840036,28.656395,
33,0.748811,0.840483,0.743263,0.748249,0.718343,13.750027,13.750027,0.229480,0.611972,0.679909,0.698467,15.124101,29.051602,30.409735,0.840595,33.552373,
34,0.815316,0.844407,0.737983,0.793803,0.858244,14.059949,14.059949,0.232259,0.618010,0.685488,0.703226,15.084865,29.255993,31.026330,0.841498,45.891627,
35,0.819205,0.847105,0.756488,0.788670,0.860505,14.067313,14.169801,0.235520,0.621456,0.688228,0.705098,15.078546,29.449535,31.655232,0.842532,46.710403,
36,0.828924,0.851708,0.763121,0.801180,0.872268,12.853742,14.067313,0.238713,0.628261,0.696989,0.715831,15.152910,29.655363,32.276550,0.847075,48.099157,
37,0.834740,0.854824,0.769170,0.803061,0.883139,12.023012,12.853742,0.237454,0.637547,0.707871,0.729058,15.443537,30.001116,32.724263,0.850592,49.323301,
38,0.843712,0.859290,0.764661,0.826075,0.889128,11.646611,12.023012,0.234023,0.645386,0.715856,0.734953,15.883881,30.438567,33.039449,0.855035,51.106711,
39,0.850943,0.863175,0.775522,0.830654,0.898153,11.248913,11.646611,0.229869,0.650718,0.721274,0.738940,16.450971,30.943107,33.319326,0.856683,52.421586,
40,0.859364,0.869544,0.782767,0.850527,0.899428,10.732636,11.248913,0.222889,0.656931,0.724805,0.741111,17.113687,31.489077,33.531433,0.857329,53.703114,
41,0.869739,0.870876,0.803840,0.851965,0.912177,10.534133,10.732636,0.214493,0.662216,0.727824,0.742461,17.832534,32.022209,33.693522,0.860353,55.618713,
42,0.877610,0.874931,0.811413,0.869580,0.916686,10.428687,10.534133,0.206456,0.667310,0.731577,0.745842,18.554309,32.455538,33.760852,0.861416,57.303340,
43,0.886846,0.888095,0.830669,0.879757,0.917540,10.428687,10.428687,0.200008,0.673379,0.737555,0.750730,19.177438,32.775146,33.743801,0.860957,59.501148,
44,0.893314,0.895336,0.841432,0.891880,0.918585,10.448083,10.798387,0.192223,0.680900,0.746966,0.759334,19.681233,33.004457,33.774116,0.861319,61.522964,
45,0.901972,0.896888,0.848169,0.889787,0.939361,10.212593,10.448083,0.183936,0.683636,0.752023,0.766485,19.983930,33.113247,33.862630,0.860955,63.590490,
46,0.899738,0.897804,0.846889,0.886797,0.935535,10.021400,10.212593,0.176385,0.685667,0.754742,0.772604,20.267784,33.261989,33.971397,0.863810,63.456816,
47,0.909400,0.890288,0.846824,0.898018,0.955434,9.585751,10.021400,0.166475,0.684978,0.757009,0.773475,22.318659,31.045016,31.835669,0.894740,65.105034,
48,0.905276,0.903129,0.873501,0.887278,0.934806,9.198596,9.585751,0.167231,0.692196,0.765039,0.786550,21.552385,29.906827,30.420525,0.887298,64.955085,
49,0.915488,0.907440,0.876103,0.911903,0.940161,8.954895,9.198596,0.163761,0.694365,0.768432,0.792192,21.849450,30.766404,31.596540,0.887098,67.198389,
50,0.916102,0.914153,0.878654,0.905150,0.942647,8.792714,8.954895,0.162428,0.694350,0.770507,0.792963,22.033507,31.887875,33.010397,0.887820,67.287576,
