Frame,integer_adm2,integer_adm_scale0,integer_adm_scale1,integer_adm_scale2,integer_adm_scale3,integer_motion2,integer_motion,integer_vif_scale0,integer_vif_scale1,integer_vif_scale2,integer_vif_scale3,psnr_y,psnr_cb,psnr_cr,float_ssim,vmaf,
0,0.865653,0.815931,0.733079,0.824345,0.945448,0.000000,0.000000,0.348342,0.683837,0.762563,0.817980,31.135771,48.114979,49.457255,0.959696,49.165149,
1,0.849320,0.810642,0.752761,0.834784,0.911510,10.262321,10.323194,0.341608,0.672793,0.750712,0.808136,31.112874,48.211215,49.648740,0.956422,55.700264,
2,0.842361,0.812241,0.745643,0.817038,0.911688,10.172993,10.262321,0.333479,0.663565,0.742136,0.800035,30.986463,48.267062,49.772904,0.953982,53.636633,
3,0.846796,0.810784,0.745288,0.801842,0.926276,10.126863,10.172993,0.329617,0.660400,0.742292,0.800330,31.006946,48.271643,49.797631,0.951412,54.515293,
4,0.847594,0.809460,0.736002,0.834372,0.911498,10.079580,10.126863,0.324251,0.654790,0.738037,0.797688,30.889759,48.193724,49.788635,0.948522,54.417209,
5,0.841211,0.803404,0.733000,0.797393,0.924306,9.967955,10.079580,0.320513,0.647807,0.730205,0.788651,30.612803,48.149998,49.992841,0.946723,52.398259,
6,0.853963,0.811175,0.730228,0.842261,0.920099,9.930346,9.967955,0.315163,0.638726,0.718691,0.773519,30.260904,48.162411,50.134864,0.943804,53.666388,
7,0.848347,0.818772,0.730562,0.811643,0.925660,9.930346,9.930346,0.313723,0.634269,0.713109,0.763701,29.700405,48.122252,50.137347,0.937896,51.907460,
8,0.839882,0.809343,0.731803,0.821042,0.903223,9.959841,9.959841,0.312129,0.633327,0.710601,0.760059,29.329783,48.201063,50.192035,0.934083,50.066012,
9,0.843386,0.811250,0.718274,0.830250,0.911679,9.855509,9.971362,0.314798,0.636747,0.713151,0.762072,29.446544,48.245161,50.260271,0.932979,50.759188,
10,0.852787,0.808913,0.729374,0.821776,0.927785,9.737879,9.855509,0.316992,0.639249,0.715449,0.764863,29.237398,48.322320,50.249281,0.933342,52.619048,
11,0.848105,0.799592,0.737573,0.817304,0.924890,9.628266,9.737879,0.319028,0.643066,0.716897,0.765835,28.796133,48.834519,50.836870,0.928663,51.662722,
12,0.849844,0.808728,0.723211,0.841816,0.921563,9.596933,9.628266,0.323127,0.646331,0.721194,0.769413,28.454992,49.153314,51.278624,0.927822,52.242817,
13,0.850105,0.806885,0.734550,0.823040,0.923311,9.568433,9.596933,0.321179,0.645184,0.719773,0.766661,28.191456,49.399774,51.457446,0.929078,52.077306,
14,0.845563,0.803587,0.713381,0.829568,0.919931,9.355659,9.568433,0.322678,0.646016,0.719160,0.768794,27.731424,49.539716,51.616194,0.929266,51.105257,
15,0.832765,0.803882,0.702260,0.817893,0.907889,9.161138,9.355659,0.320480,0.640924,0.712882,0.760533,27.054935,49.715623,51.796585,0.924752,47.901413,
16,0.828232,0.796786,0.697590,0.799706,0.902559,9.101974,9.161138,0.315781,0.635120,0.707961,0.754468,26.485461,49.851162,51.875995,0.922470,46.600708,
17,0.814880,0.800184,0.695570,0.774561,0.893750,8.870515,9.101974,0.312047,0.628187,0.698722,0.745666,26.015711,50.007245,51.937789,0.920726,43.257351,
18,0.809578,0.800724,0.692435,0.777732,0.880521,8.549994,8.870515,0.309597,0.623779,0.693202,0.735463,25.581639,50.238688,52.050125,0.920191,41.318036,
19,0.812624,0.802460,0.674747,0.761750,0.905497,7.942203,8.549994,0.308201,0.624958,0.691009,0.728581,25.197040,50.417202,52.089152,0.920153,40.822301,
20,0.804238,0.805882,0.676250,0.748183,0.896571,7.123657,7.942203,0.309115,0.624757,0.689251,0.725800,24.961152,50.516274,52.118291,0.920097,38.290490,
21,0.826067,0.817312,0.704583,0.803533,0.892160,6.568326,7.123657,0.308961,0.624362,0.686695,0.720915,24.675027,50.507702,52.132159,0.916283,41.412574,
22,0.865906,0.830555,0.732883,0.852950,0.935071,6.048191,6.568326,0.311928,0.626844,0.685417,0.716202,24.537535,50.580538,52.294282,0.918301,47.968413,
23,0.876459,0.825800,0.753992,0.821821,0.972835,5.341796,6.048191,0.319586,0.636875,0.696470,0.728956,24.532319,50.682653,52.366831,0.920621,50.110582,
24,0.826139,0.819963,0.707264,0.799164,0.898155,4.673735,5.341796,0.328301,0.650511,0.709143,0.738081,24.543158,50.787828,52.436005,0.921215,40.594167,
25,0.783605,0.818774,0.656321,0.721051,0.879486,4.143101,4.673735,0.339777,0.663585,0.720538,0.744336,24.441990,50.952694,52.255386,0.921004,32.647901,
26,0.754851,0.816527,0.629117,0.702913,0.830596,3.677362,4.143101,0.346633,0.669602,0.723138,0.741493,24.277795,50.966114,52.311294,0.920938,26.795090,
27,0.712854,0.806333,0.592363,0.624519,0.805153,3.229282,3.677362,0.354097,0.669363,0.720278,0.738835,24.145489,50.987089,52.465008,0.921906,18.786864,
28,0.618322,0.806530,0.554609,0.509170,0.610378,2.890675,3.229282,0.361700,0.669208,0.714405,0.731560,23.957247,51.207751,52.520274,0.921285,2.523161,
29,0.622675,0.809405,0.552852,0.506545,0.627594,2.303087,2.890675,0.371033,0.670872,0.713791,0.729286,23.774644,51.532645,52.541138,0.922124,2.424085,
30,0.607319,0.801633,0.546939,0.477610,0.615989,2.211679,2.303087,0.371309,0.664576,0.706947,0.723290,23.585705,51.785841,52.503592,0.920095,0.000000,
31,0.583734,0.797135,0.529180,0.480448,0.548594,2.211679,2.211679,0.372727,0.660088,0.701865,0.714519,23.376535,52.257331,52.485703,0.918335,0.000000,
