synthesizer,camera_position,scene,pose_traces,QP,numGroup,psnr_mean,ssim_mean,vmaf_mean,TMIV_encoding_time,TMIV_decoding_time,x265_encoding_time,x265_decoding_time,bitrate
AdditiveSynthesizer,6x6,XoioBerlinFlat,pose0,20,1,54.22270341111111,0.9681895,72.96307698888887,0,0,0,0,0
AdditiveSynthesizer,6x6,XoioBerlinFlat,pose1,20,1,53.576706577777784,0.9296495222222223,63.01205692222222,0,0,0,0,0
AdditiveSynthesizer,6x6,XoioBerlinFlat,pose2,20,1,55.23865501111111,0.9586122444444444,64.20149892222223,0,0,0,0,0
AdditiveSynthesizer,6x6,XoioBerlinFlat,pose3,20,1,56.10352270000001,0.9860964111111111,78.18596574444446,0,0,0,0,0
AdditiveSynthesizer,6x6,XoioBerlinFlat,pose4,20,1,53.31764724444446,0.9411273555555555,40.7204964,0,0,0,0,0
AdditiveSynthesizer,6x6,XoioBerlinFlat,pose5,20,1,54.39620204444444,0.9767528888888889,77.66674485555555,0,0,0,0,0
AdditiveSynthesizer,6x6,XoioBerlinFlat,pose6,20,1,57.93030630000001,0.9817086777777776,75.68411944444445,0,0,0,0,0
AdditiveSynthesizer,6x6,XoioBerlinFlat,pose7,20,1,55.42247534444445,0.9503994777777779,68.6127213,0,0,0,0,0
AdditiveSynthesizer,6x6,XoioBerlinFlat,pose8,20,1,53.07823601111112,0.9762814444444444,72.64522206666666,0,0,0,0,0
AdditiveSynthesizer,6x6,XoioBerlinFlat,pose9,20,1,55.00961802222223,0.977581,71.14539964444445,0,0,0,0,0
ViewWeightingSynthesizer,6x6,XoioBerlinFlat,pose0,20,1,53.79859918888889,0.9671589222222221,71.58928033333333,0,0,0,0,0
ViewWeightingSynthesizer,6x6,XoioBerlinFlat,pose1,20,1,51.80534877777778,0.9278073222222223,59.39347142222223,0,0,0,0,0
ViewWeightingSynthesizer,6x6,XoioBerlinFlat,pose2,20,1,54.7559426,0.9585356555555555,60.846751288888896,0,0,0,0,0
ViewWeightingSynthesizer,6x6,XoioBerlinFlat,pose3,20,1,55.86786961111112,0.9852379111111111,75.7733531111111,0,0,0,0,0
ViewWeightingSynthesizer,6x6,XoioBerlinFlat,pose4,20,1,52.528421611111106,0.9391420999999999,37.34305583333334,0,0,0,0,0
ViewWeightingSynthesizer,6x6,XoioBerlinFlat,pose5,20,1,53.4428484,0.9747456777777779,75.84859457777777,0,0,0,0,0
ViewWeightingSynthesizer,6x6,XoioBerlinFlat,pose6,20,1,56.785394677777774,0.9787130777777779,72.6255517111111,0,0,0,0,0
ViewWeightingSynthesizer,6x6,XoioBerlinFlat,pose7,20,1,54.79257442222222,0.9477469888888889,66.03973266666668,0,0,0,0,0
ViewWeightingSynthesizer,6x6,XoioBerlinFlat,pose8,20,1,52.666789144444444,0.9745514888888889,71.05685991111112,0,0,0,0,0
ViewWeightingSynthesizer,6x6,XoioBerlinFlat,pose9,20,1,54.383442277777775,0.975913488888889,68.00377426666667,0,0,0,0,0
AdditiveSynthesizer,9x4,XoioBerlinFlat,pose0,20,1,53.300636511111115,0.9670968000000001,71.68223042222222,0,0,0,0,0
AdditiveSynthesizer,9x4,XoioBerlinFlat,pose1,20,1,53.50164348888889,0.930069111111111,61.86105896666666,0,0,0,0,0
AdditiveSynthesizer,9x4,XoioBerlinFlat,pose2,20,1,54.61241623333334,0.9552923888888889,62.37766553333333,0,0,0,0,0
AdditiveSynthesizer,9x4,XoioBerlinFlat,pose3,20,1,54.74218663333333,0.9833716888888888,76.14136344444445,0,0,0,0,0
AdditiveSynthesizer,9x4,XoioBerlinFlat,pose4,20,1,53.10649858888889,0.9405752222222222,40.69090326666666,0,0,0,0,0
AdditiveSynthesizer,9x4,XoioBerlinFlat,pose5,20,1,53.60863502222222,0.9762380777777777,76.53812534444445,0,0,0,0,0
AdditiveSynthesizer,9x4,XoioBerlinFlat,pose6,20,1,56.26215434444444,0.9803789333333331,74.38374094444444,0,0,0,0,0
AdditiveSynthesizer,9x4,XoioBerlinFlat,pose7,20,1,55.04107843333333,0.9506876444444444,68.08798502222223,0,0,0,0,0
AdditiveSynthesizer,9x4,XoioBerlinFlat,pose8,20,1,52.22859001111111,0.974743511111111,70.99270428888889,0,0,0,0,0
