synthesizer,camera_position,scene,pose_traces,QP,numGroup,psnr_mean,ssim_mean,vmaf_mean,TMIV_encoding_time,TMIV_decoding_time,x265_encoding_time,x265_decoding_time,bitrate
AdditiveSynthesizer,6x6,office,pose0,20,1,49.93179842222222,0.911471488888889,63.81411222222222,0,0,0,0,0
AdditiveSynthesizer,6x6,office,pose1,20,1,51.15332028888889,0.9319534555555555,54.09060286666667,0,0,0,0,0
AdditiveSynthesizer,6x6,office,pose2,20,1,50.893927811111105,0.9096861222222222,60.39456011111112,0,0,0,0,0
AdditiveSynthesizer,6x6,office,pose3,20,1,51.39968571111111,0.9281562444444447,65.59571477777779,0,0,0,0,0
AdditiveSynthesizer,6x6,office,pose4,20,1,48.92710225555555,0.9209775444444444,54.07834850000001,0,0,0,0,0
AdditiveSynthesizer,6x6,office,pose5,20,1,50.77067806666667,0.9334542888888889,69.1492711,0,0,0,0,0
AdditiveSynthesizer,6x6,office,pose6,20,1,49.914310444444446,0.9381019222222221,68.34710688888889,0,0,0,0,0
AdditiveSynthesizer,6x6,office,pose7,20,1,49.10103565555556,0.8996345444444444,62.75760655555554,0,0,0,0,0
AdditiveSynthesizer,6x6,office,pose8,20,1,49.07558924444445,0.861136966666667,54.825321511111106,0,0,0,0,0
AdditiveSynthesizer,6x6,office,pose9,20,1,51.39486766666668,0.9327351333333335,66.70254817777779,0,0,0,0,0
ViewWeightingSynthesizer,6x6,office,pose0,20,1,49.73487314444444,0.9100431333333331,57.714153822222215,0,0,0,0,0
ViewWeightingSynthesizer,6x6,office,pose1,20,1,50.74796166666667,0.9349079777777779,46.50419247777778,0,0,0,0,0
ViewWeightingSynthesizer,6x6,office,pose2,20,1,50.22089093333334,0.9127626222222224,51.81086740000001,0,0,0,0,0
ViewWeightingSynthesizer,6x6,office,pose3,20,1,51.132053555555565,0.9262905555555556,58.71531832222222,0,0,0,0,0
ViewWeightingSynthesizer,6x6,office,pose4,20,1,48.68880838888887,0.9193745888888889,48.201001911111106,0,0,0,0,0
ViewWeightingSynthesizer,6x6,office,pose5,20,1,50.31903943333334,0.9310783222222224,62.24921675555556,0,0,0,0,0
ViewWeightingSynthesizer,6x6,office,pose6,20,1,49.60055901111111,0.9362782999999998,61.11259073333334,0,0,0,0,0
ViewWeightingSynthesizer,6x6,office,pose7,20,1,48.72102045555555,0.8941568555555557,55.84516794444444,0,0,0,0,0
ViewWeightingSynthesizer,6x6,office,pose8,20,1,48.70027293333332,0.8582334,50.48236322222223,0,0,0,0,0
ViewWeightingSynthesizer,6x6,office,pose9,20,1,50.91049816666667,0.9272266666666666,58.900231477777766,0,0,0,0,0
AdditiveSynthesizer,9x4,office,pose0,20,1,51.720136366666665,0.9307027,64.55162294444446,0,0,0,0,0
AdditiveSynthesizer,9x4,office,pose1,20,1,53.50847023333335,0.9596435888888889,62.73975604444444,0,0,0,0,0
AdditiveSynthesizer,9x4,office,pose2,20,1,53.19613700000001,0.9337006333333333,69.35914648888888,0,0,0,0,0
AdditiveSynthesizer,9x4,office,pose3,20,1,54.594304699999995,0.9501780999999999,66.06686786666667,0,0,0,0,0
AdditiveSynthesizer,9x4,office,pose4,20,1,50.58303611111111,0.9452535000000001,51.45310553333332,0,0,0,0,0
AdditiveSynthesizer,9x4,office,pose5,20,1,53.502097866666674,0.9568464222222223,70.0708542,0,0,0,0,0
AdditiveSynthesizer,9x4,office,pose6,20,1,52.07395182222222,0.9690724111111112,74.29101625555556,0,0,0,0,0
AdditiveSynthesizer,9x4,office,pose7,20,1,50.43493846666667,0.9204038,71.11502941111111,0,0,0,0,0
AdditiveSynthesizer,9x4,office,pose8,20,1,51.24242086666666,0.8683050444444445,52.95844002222221,0,0,0,0,0
AdditiveSynthesizer,9x4,office,pose9,20,1,55.17428208888889,0.9638255111111111,74.74548184444444,0,0,0,0,0
ViewWeightingSynthesizer,9x4,office,pose0,20,1,51.50277487777779,0.9287329666666666,59.67191602222221,0,0,0,0,0
ViewWeightingSynthesizer,9x4,office,pose1,20,1,53.09757732222222,0.9579433333333331,58.353845966666654,0,0,0,0,0
ViewWeightingSynthesizer,9x4,office,pose2,20,1,52.59499367777777,0.9277334333333334,62.380140266666665,0,0,0,0,0
ViewWeightingSynthesizer,9x4,office,pose3,20,1,54.381254455555556,0.9484482333333334,61.78204246666667,0,0,0,0,0
ViewWeightingSynthesizer,9x4,office,pose4,20,1,50.30695001111111,0.9439532444444445,48.24475566666667,0,0,0,0,0
ViewWeightingSynthesizer,9x4,office,pose5,20,1,53.011605466666666,0.9548998666666667,65.6099149888889,0,0,0,0,0
ViewWeightingSynthesizer,9x4,office,pose6,20,1,51.66824726666666,0.9660785222222221,67.4511252,0,0,0,0,0
ViewWeightingSynthesizer,9x4,office,pose7,20,1,50.118143211111104,0.9155401222222223,65.6857213888889,0,0,0,0,0
ViewWeightingSynthesizer,9x4,office,pose8,20,1,50.858547477777776,0.8655773222222223,48.90461761111111,0,0,0,0,0
ViewWeightingSynthesizer,9x4,office,pose9,20,1,54.582958000000005,0.9617011111111111,68.80810182222223,0,0,0,0,0
AdditiveSynthesizer,12x3,office,pose0,20,1,50.90706184444444,0.9246647888888889,63.27560966666667,0,0,0,0,0
AdditiveSynthesizer,12x3,office,pose1,20,1,53.06965776666668,0.9426904999999999,55.72438599999999,0,0,0,0,0
AdditiveSynthesizer,12x3,office,pose2,20,1,51.99585991111111,0.9172106222222223,62.86904181111112,0,0,0,0,0
AdditiveSynthesizer,12x3,office,pose3,20,1,52.938918900000004,0.941644788888889,63.524622988888886,0,0,0,0,0
AdditiveSynthesizer,12x3,office,pose4,20,1,49.99698943333335,0.9363146444444443,47.092366033333334,0,0,0,0,0
AdditiveSynthesizer,12x3,office,pose5,20,1,52.41848537777778,0.9493975222222223,68.59926534444445,0,0,0,0,0
AdditiveSynthesizer,12x3,office,pose6,20,1,51.27625364444444,0.9572879444444445,70.87099193333333,0,0,0,0,0
AdditiveSynthesizer,12x3,office,pose7,20,1,49.77044653333333,0.9094141555555557,66.80557007777779,0,0,0,0,0
AdditiveSynthesizer,12x3,office,pose8,20,1,50.766244444444446,0.8576335444444445,48.69233580000001,0,0,0,0,0
AdditiveSynthesizer,12x3,office,pose9,20,1,54.732196288888886,0.9587001666666666,73.8819351222222,0,0,0,0,0
ViewWeightingSynthesizer,12x3,office,pose0,20,1,50.717233166666674,0.9230383777777778,59.78998955555556,0,0,0,0,0
ViewWeightingSynthesizer,12x3,office,pose1,20,1,52.61073404444445,0.9396190333333332,51.16983205555555,0,0,0,0,0
ViewWeightingSynthesizer,12x3,office,pose2,20,1,51.50233596666667,0.9132380777777779,58.643419,0,0,0,0,0
ViewWeightingSynthesizer,12x3,office,pose3,20,1,52.75073655555556,0.9399876888888888,60.6729680111111,0,0,0,0,0
ViewWeightingSynthesizer,12x3,office,pose4,20,1,49.726955288888895,0.9343196111111112,43.83688446666667,0,0,0,0,0
ViewWeightingSynthesizer,12x3,office,pose5,20,1,52.08943206666666,0.9482832222222222,65.62136851111113,0,0,0,0,0
ViewWeightingSynthesizer,12x3,office,pose6,20,1,50.91736341111111,0.9543710555555557,64.90607615555555,0,0,0,0,0
ViewWeightingSynthesizer,12x3,office,pose7,20,1,49.517136155555555,0.9067346555555554,63.4992398888889,0,0,0,0,0
ViewWeightingSynthesizer,12x3,office,pose8,20,1,50.44424190000001,0.8547727555555555,45.06572982222222,0,0,0,0,0
ViewWeightingSynthesizer,12x3,office,pose9,20,1,54.241522377777784,0.9565642222222224,69.06515672222221,0,0,0,0,0
AdditiveSynthesizer,18x2,office,pose0,20,1,50.82037422222222,0.9248282666666666,63.99825673333333,0,0,0,0,0
AdditiveSynthesizer,18x2,office,pose1,20,1,53.11351634444445,0.9433835111111111,56.63389923333334,0,0,0,0,0
AdditiveSynthesizer,18x2,office,pose2,20,1,52.04158368888889,0.9177360999999998,63.55430242222222,0,0,0,0,0
AdditiveSynthesizer,18x2,office,pose3,20,1,52.74616316666667,0.9415722,63.94091404444445,0,0,0,0,0
AdditiveSynthesizer,18x2,office,pose4,20,1,49.95627294444445,0.9364201111111111,47.81370209999999,0,0,0,0,0
AdditiveSynthesizer,18x2,office,pose5,20,1,52.29568243333332,0.9492136333333333,68.29469547777778,0,0,0,0,0
AdditiveSynthesizer,18x2,office,pose6,20,1,51.246603388888886,0.9568623444444445,70.71351315555556,0,0,0,0,0
AdditiveSynthesizer,18x2,office,pose7,20,1,49.84513555555555,0.9096929555555555,67.30400415555556,0,0,0,0,0
AdditiveSynthesizer,18x2,office,pose8,20,1,50.81196196666667,0.8571679666666666,48.62167619999999,0,0,0,0,0
AdditiveSynthesizer,18x2,office,pose9,20,1,54.714409422222225,0.9585656666666666,74.32239088888889,0,0,0,0,0
ViewWeightingSynthesizer,18x2,office,pose0,20,1,50.623420322222216,0.9231936222222225,60.205236477777774,0,0,0,0,0
ViewWeightingSynthesizer,18x2,office,pose1,20,1,52.618725188888895,0.9399524777777779,51.699447455555564,0,0,0,0,0
ViewWeightingSynthesizer,18x2,office,pose2,20,1,51.54796674444444,0.9140694444444446,59.16331471111111,0,0,0,0,0
ViewWeightingSynthesizer,18x2,office,pose3,20,1,52.57342905555554,0.939790688888889,60.578311533333334,0,0,0,0,0
ViewWeightingSynthesizer,18x2,office,pose4,20,1,49.66016203333333,0.9344277999999999,44.61060814444444,0,0,0,0,0
ViewWeightingSynthesizer,18x2,office,pose5,20,1,51.93519194444444,0.9473278777777778,64.19809926666666,0,0,0,0,0
ViewWeightingSynthesizer,18x2,office,pose6,20,1,50.861696733333325,0.9539183222222222,64.38996231111112,0,0,0,0,0
ViewWeightingSynthesizer,18x2,office,pose7,20,1,49.55925049999999,0.9067842333333332,63.74416732222222,0,0,0,0,0
ViewWeightingSynthesizer,18x2,office,pose8,20,1,50.50214242222223,0.8542163222222222,44.60297295555556,0,0,0,0,0
ViewWeightingSynthesizer,18x2,office,pose9,20,1,54.09643355555556,0.956369688888889,69.3190916888889,0,0,0,0,0
