Frame,integer_adm2,integer_adm_scale0,integer_adm_scale1,integer_adm_scale2,integer_adm_scale3,integer_motion2,integer_motion,integer_vif_scale0,integer_vif_scale1,integer_vif_scale2,integer_vif_scale3,psnr_y,psnr_cb,psnr_cr,float_ssim,vmaf,
0,0.877326,0.853374,0.766977,0.854033,0.934869,0.000000,0.000000,0.344010,0.683354,0.770437,0.829112,30.193988,43.704945,45.820141,0.950087,52.419395,
1,0.879619,0.846491,0.784738,0.854137,0.938385,13.621345,13.621345,0.329783,0.670920,0.759781,0.822127,29.990368,43.677921,45.869542,0.947946,66.040774,
2,0.874123,0.849699,0.785028,0.848974,0.928141,13.777082,13.777082,0.322072,0.662099,0.752221,0.814451,29.722974,43.508056,45.801839,0.945748,64.478443,
3,0.866272,0.847804,0.787929,0.844182,0.915841,14.016441,14.016441,0.312967,0.648030,0.737510,0.799169,29.350025,43.182004,45.649422,0.939432,61.926228,
4,0.867147,0.847940,0.775354,0.849730,0.915099,14.205832,14.205832,0.303691,0.632544,0.721345,0.783374,28.876166,42.796883,45.377585,0.929724,61.010547,
5,0.854009,0.838264,0.770964,0.843372,0.896724,14.379150,14.379150,0.292727,0.613421,0.701760,0.764001,28.283917,42.191907,44.839906,0.918121,57.216487,
6,0.854968,0.836010,0.760016,0.845524,0.897872,14.798369,14.798369,0.281921,0.595376,0.684173,0.746342,27.758462,41.600206,44.263888,0.907615,56.543357,
7,0.851715,0.832964,0.751472,0.836456,0.901452,15.078629,15.078629,0.272210,0.577619,0.666165,0.730232,27.005531,41.119666,43.831134,0.897828,55.097561,
8,0.844798,0.828505,0.751395,0.832328,0.889509,15.431963,15.431963,0.261486,0.559794,0.647514,0.709336,26.213177,40.585804,43.368273,0.887092,52.838793,
9,0.845768,0.821786,0.754431,0.830276,0.895377,15.788383,15.788383,0.252732,0.546272,0.633959,0.695709,25.480225,40.630197,43.425574,0.878651,52.533828,
10,0.847963,0.816184,0.750449,0.828932,0.902070,16.168186,16.168186,0.244571,0.533661,0.621623,0.682815,24.886048,40.550711,43.397281,0.868411,52.548520,
11,0.848934,0.816066,0.751076,0.831571,0.902964,16.515997,16.515997,0.237447,0.522122,0.609414,0.671407,24.441408,40.410681,43.272236,0.858696,52.400246,
12,0.836053,0.813616,0.752335,0.818398,0.881751,16.685186,16.685186,0.227308,0.504702,0.591428,0.654171,23.826310,40.279199,43.128024,0.846292,49.395165,
13,0.844424,0.821151,0.753137,0.827495,0.892392,19.534319,20.591013,0.236694,0.517079,0.604894,0.667627,23.344405,40.071121,43.036342,0.859905,53.925504,
14,0.836921,0.821498,0.753084,0.816396,0.885695,18.482191,19.534319,0.247873,0.531345,0.620495,0.683987,24.788959,40.216461,43.147503,0.872533,52.609764,
15,0.828147,0.829071,0.748733,0.808621,0.869913,17.913986,18.482191,0.259979,0.542338,0.630244,0.693601,24.977433,40.468882,43.471890,0.884236,51.058597,
16,0.822195,0.835068,0.757604,0.804162,0.855445,17.650465,17.913986,0.270175,0.551087,0.638618,0.701261,26.493685,40.591553,43.621571,0.893711,50.183366,
17,0.811502,0.845674,0.758432,0.786691,0.838288,17.641796,17.650465,0.279897,0.557148,0.645818,0.710302,26.601268,40.648619,43.674569,0.901236,48.786069,
18,0.817058,0.846845,0.758099,0.798911,0.842833,17.516186,17.641796,0.290703,0.562079,0.648848,0.710640,26.530966,40.685260,43.738991,0.906459,49.650762,
19,0.814054,0.847526,0.752994,0.781408,0.848494,17.516186,17.516186,0.301355,0.567241,0.652638,0.714464,26.177887,40.719985,43.987216,0.911380,49.299828,
20,0.834591,0.856346,0.759955,0.800136,0.878502,17.654903,18.581238,0.314255,0.575920,0.659403,0.718048,26.276995,40.835099,44.288025,0.916816,53.332917,
21,0.833730,0.864941,0.785422,0.804192,0.861803,16.527020,17.654903,0.329899,0.587596,0.669962,0.725635,26.418022,41.128118,44.638919,0.921356,52.647855,
22,0.852046,0.876844,0.794728,0.813329,0.891946,15.401093,16.527020,0.346156,0.600703,0.680581,0.735686,26.639247,41.340032,45.099716,0.927207,55.649781,
23,0.848405,0.878723,0.791471,0.815285,0.885392,14.165730,15.401093,0.362969,0.614242,0.692156,0.745155,27.026921,41.826329,45.383121,0.933629,54.456685,
24,0.855154,0.874645,0.785826,0.829563,0.896572,13.046859,14.165730,0.382700,0.626144,0.699984,0.748695,27.193055,42.551885,45.537438,0.936622,54.893720,
25,0.831808,0.877049,0.781832,0.819254,0.845908,11.976043,13.046859,0.393465,0.626983,0.696972,0.742705,27.185829,43.022100,45.870284,0.936007,48.980667,
26,0.835154,0.876856,0.778277,0.828157,0.848745,11.275159,11.976043,0.407299,0.631594,0.698356,0.739508,26.958469,43.345524,46.215740,0.936044,48.671342,
27,0.835430,0.876960,0.779317,0.819565,0.855797,10.406661,11.275159,0.418209,0.630714,0.692302,0.732544,26.560037,43.758069,46.589175,0.936427,47.285127,
28,0.834602,0.873413,0.780453,0.807446,0.862305,9.507906,10.406661,0.434883,0.637671,0.694218,0.728396,26.132161,44.660671,47.573993,0.937410,45.887510,
29,0.833912,0.875464,0.784423,0.816150,0.851673,8.494072,9.507906,0.455500,0.645786,0.696316,0.723381,25.883590,45.706658,48.118660,0.937973,44.311570,
30,0.833082,0.878601,0.769145,0.810998,0.858418,7.616644,8.494072,0.480909,0.657905,0.703471,0.728224,25.642263,47.287272,48.414071,0.941109,43.474596,
