Frame,integer_adm2,integer_adm_scale0,integer_adm_scale1,integer_adm_scale2,integer_adm_scale3,integer_motion2,integer_motion,integer_vif_scale0,integer_vif_scale1,integer_vif_scale2,integer_vif_scale3,psnr_y,psnr_cb,psnr_cr,float_ssim,vmaf,
0,0.900034,0.839139,0.823396,0.901970,0.939158,0.000000,0.000000,0.304619,0.709497,0.803119,0.858207,30.636219,44.381971,43.393799,0.953945,59.834229,
1,0.896474,0.837609,0.827568,0.886661,0.942035,6.983675,7.045128,0.304681,0.707072,0.798930,0.855300,30.561231,44.402175,43.481210,0.954769,66.138637,
2,0.897792,0.840623,0.812665,0.889809,0.946594,6.983675,6.983675,0.307761,0.707597,0.799992,0.859567,30.652896,44.449054,43.530389,0.954944,66.718662,
3,0.903142,0.835329,0.807572,0.899539,0.954253,6.991966,7.009639,0.306908,0.705141,0.797579,0.854982,30.561340,44.464219,43.542461,0.955268,67.422061,
4,0.890171,0.837618,0.803894,0.882270,0.939661,6.928384,6.991966,0.308625,0.708452,0.800886,0.856223,30.618396,44.466026,43.540982,0.956446,64.928773,
5,0.892000,0.828295,0.826378,0.887973,0.930982,6.912791,6.928384,0.310310,0.708366,0.800486,0.858081,30.706074,44.519323,43.563496,0.957340,65.388230,
6,0.890623,0.840772,0.812981,0.889907,0.929196,6.879338,6.912791,0.310693,0.708416,0.800855,0.858458,30.676029,44.582769,43.578197,0.956871,65.116308,
7,0.890994,0.833361,0.790376,0.883686,0.947082,6.870182,6.879338,0.313530,0.709705,0.801743,0.858052,30.718973,44.564054,43.581634,0.957634,65.161262,
8,0.895496,0.839658,0.803632,0.892957,0.943254,6.766628,6.870182,0.314202,0.708613,0.800936,0.858651,30.719467,44.569729,43.614905,0.958108,65.976094,
9,0.891886,0.837043,0.802778,0.885032,0.943729,6.687890,6.766628,0.314757,0.710354,0.802036,0.861044,30.649972,44.597182,43.586019,0.957835,65.361349,
10,0.887888,0.835134,0.800574,0.887256,0.933280,6.659928,6.687890,0.315989,0.712672,0.804098,0.859048,30.698273,44.642165,43.648213,0.958111,64.440830,
11,0.891488,0.833899,0.803683,0.891042,0.933368,6.600376,6.659928,0.317083,0.713337,0.804624,0.862853,30.683722,44.651830,43.617599,0.958282,65.371268,
12,0.890478,0.835492,0.803183,0.883092,0.936156,6.561606,6.600376,0.318111,0.714042,0.804670,0.861353,30.608739,44.696633,43.647817,0.958336,65.017453,
13,0.889727,0.844667,0.798071,0.880216,0.940794,6.548626,6.561606,0.320919,0.715885,0.805979,0.860025,30.606296,44.711553,43.611010,0.958990,64.780096,
14,0.889044,0.834537,0.799863,0.890164,0.935268,6.494048,6.548626,0.322061,0.717187,0.807505,0.863452,30.632233,44.734397,43.660089,0.959362,64.862790,
15,0.889041,0.839577,0.804757,0.881092,0.936688,6.409793,6.494048,0.323889,0.720052,0.808839,0.862391,30.611810,44.763183,43.653683,0.959803,64.716290,
16,0.890411,0.833876,0.803829,0.881791,0.939225,6.377264,6.409793,0.325407,0.720697,0.809373,0.862009,30.569616,44.730846,43.679764,0.959901,64.937089,
