Frame,integer_adm2,integer_adm_scale0,integer_adm_scale1,integer_adm_scale2,integer_adm_scale3,integer_motion2,integer_motion,integer_vif_scale0,integer_vif_scale1,integer_vif_scale2,integer_vif_scale3,psnr_y,psnr_cb,psnr_cr,float_ssim,vmaf,
0,0.851279,0.822815,0.783652,0.851401,0.880838,0.000000,0.000000,0.275228,0.653681,0.742569,0.797533,26.782165,43.687777,41.935969,0.930826,45.407341,
1,0.859286,0.833342,0.768484,0.855227,0.896796,17.579599,17.776031,0.280643,0.656354,0.744716,0.799691,27.070570,43.776857,42.066864,0.933245,63.921958,
2,0.865677,0.830651,0.784636,0.852740,0.910131,17.132774,17.579599,0.287873,0.661913,0.750572,0.804195,27.270536,43.915772,42.248881,0.936766,65.157244,
3,0.864772,0.827166,0.783981,0.856702,0.908531,16.839584,17.132774,0.295247,0.669484,0.757444,0.812702,27.516696,44.001711,42.453060,0.940823,65.398319,
4,0.865743,0.834354,0.794922,0.858390,0.903469,16.268742,16.839584,0.304335,0.681264,0.768727,0.822838,27.738850,44.102545,42.653483,0.943650,65.966256,
5,0.871414,0.837741,0.794234,0.866879,0.911045,15.676968,16.268742,0.310379,0.688853,0.775493,0.829149,27.916849,44.207157,42.809068,0.945286,67.097129,
6,0.879047,0.838698,0.788892,0.869349,0.926654,15.344481,15.676968,0.315816,0.694287,0.780469,0.834696,28.015450,44.307858,42.878509,0.947060,68.770767,
7,0.873248,0.842006,0.781853,0.874694,0.914253,14.924734,15.344481,0.322436,0.700448,0.785039,0.838048,28.071584,44.332943,42.944345,0.948834,67.563796,
8,0.871620,0.841140,0.792776,0.864838,0.913996,14.206812,14.924734,0.329652,0.707238,0.789983,0.841435,28.222686,44.390954,42.933386,0.950352,66.908856,
9,0.870900,0.843926,0.789413,0.875265,0.905323,13.437942,14.206812,0.335665,0.713719,0.795833,0.844279,28.398642,44.515474,43.243737,0.951613,66.372822,
10,0.877958,0.844264,0.787823,0.872895,0.922406,13.036014,13.437942,0.339773,0.715710,0.797177,0.846385,28.426823,44.651039,43.456804,0.951817,67.559847,
11,0.877484,0.842658,0.786524,0.857356,0.931237,12.571184,13.036014,0.344943,0.718670,0.797244,0.843503,28.391676,44.777595,43.658892,0.952240,66.799838,
12,0.871799,0.841912,0.795463,0.862782,0.913765,12.212756,12.571184,0.349767,0.720963,0.797683,0.842988,28.383873,44.955074,43.957626,0.952687,65.281873,
13,0.871559,0.845559,0.783951,0.860032,0.918183,11.836246,12.212756,0.356158,0.726432,0.801062,0.844311,28.436818,45.043822,44.126683,0.952853,65.017797,
14,0.865752,0.848138,0.775686,0.861470,0.906942,11.606119,11.836246,0.360568,0.727938,0.801640,0.843823,28.393806,45.148710,44.269222,0.952987,63.607744,
15,0.873934,0.849025,0.788725,0.849221,0.929367,11.314479,11.606119,0.366346,0.729049,0.800870,0.841417,28.366520,45.299814,44.482384,0.953235,64.740037,
16,0.870037,0.852571,0.784931,0.849970,0.920696,10.895975,11.314479,0.373017,0.731871,0.801721,0.841360,28.349316,45.396299,44.790491,0.953736,63.542420,
17,0.867084,0.851701,0.783877,0.845102,0.917716,10.573417,10.895975,0.379764,0.734439,0.803548,0.843285,28.358402,45.505846,44.934275,0.953541,62.794297,
18,0.872024,0.854166,0.788135,0.851217,0.922234,10.164821,10.573417,0.385543,0.737465,0.805965,0.845533,28.388047,45.593648,45.131609,0.953614,63.569760,
19,0.860902,0.855742,0.781691,0.844715,0.905407,9.725014,10.164821,0.390200,0.738259,0.806593,0.846202,28.403889,45.646627,45.367047,0.953254,60.963122,
20,0.869733,0.853244,0.784288,0.848302,0.921716,9.475751,9.725014,0.393974,0.738259,0.805872,0.845062,28.407206,45.668759,45.542364,0.952797,62.358043,
21,0.862911,0.858089,0.776908,0.846470,0.912400,9.154897,9.475751,0.398055,0.736840,0.804102,0.841599,28.397478,45.639769,45.671570,0.952150,60.379139,
