Frame,integer_adm2,integer_adm_scale0,integer_adm_scale1,integer_adm_scale2,integer_adm_scale3,integer_motion2,integer_motion,integer_vif_scale0,integer_vif_scale1,integer_vif_scale2,integer_vif_scale3,psnr_y,psnr_cb,psnr_cr,float_ssim,vmaf,
0,0.896631,0.847967,0.830323,0.894783,0.931695,0.000000,0.000000,0.307056,0.695252,0.792507,0.852416,30.659818,43.702850,42.621379,0.951391,58.541045,
1,0.907189,0.841817,0.816293,0.900917,0.957258,11.098662,11.436752,0.297563,0.686212,0.785155,0.848092,30.366427,43.753146,42.635992,0.949688,71.581329,
2,0.888844,0.836066,0.800288,0.878238,0.937577,11.098662,11.098662,0.291577,0.678016,0.777958,0.844009,30.180798,43.792849,42.674981,0.947116,67.513894,
3,0.893606,0.832735,0.803116,0.890928,0.942871,11.143615,11.143615,0.290493,0.679568,0.780048,0.843669,30.151348,43.815320,42.713565,0.945791,68.529894,
4,0.886355,0.839063,0.797971,0.877244,0.934601,11.227853,11.227853,0.286817,0.677021,0.778756,0.844127,30.015485,43.792496,42.622621,0.943679,67.198192,
5,0.894449,0.831776,0.788835,0.881457,0.954446,11.367588,11.367588,0.279627,0.670000,0.773433,0.838951,29.723647,43.779140,42.607399,0.941058,68.492848,
6,0.891986,0.833235,0.800012,0.882941,0.943385,11.492462,11.492462,0.273707,0.662015,0.766169,0.832712,29.435224,43.740444,42.564077,0.939904,67.570653,
7,0.890054,0.831660,0.806757,0.869540,0.943439,11.589597,11.589597,0.269958,0.662396,0.768179,0.836790,29.252619,43.694996,42.565217,0.937620,67.621738,
8,0.883510,0.826894,0.804344,0.884171,0.926709,11.762314,11.762314,0.266088,0.658015,0.763624,0.830050,28.943495,43.637583,42.464838,0.934731,65.962454,
9,0.885795,0.821019,0.809445,0.873810,0.931544,11.918632,11.918632,0.262674,0.653110,0.761317,0.831421,28.734346,43.579723,42.454074,0.932850,66.634657,
10,0.888874,0.824898,0.798544,0.871644,0.945593,12.136311,12.136311,0.258510,0.648168,0.756539,0.824745,28.448660,43.503500,42.407169,0.929009,66.911568,
11,0.878466,0.820948,0.784413,0.881191,0.921260,12.465443,12.465443,0.253090,0.638962,0.748762,0.821736,28.203221,43.441491,42.336302,0.926208,64.871687,
12,0.872249,0.819857,0.776018,0.857780,0.930082,12.646077,12.646077,0.248974,0.634748,0.745324,0.816785,28.049251,43.373630,42.281548,0.923641,63.468762,
13,0.875862,0.813333,0.770460,0.875680,0.926113,12.760552,12.760552,0.245431,0.629662,0.741590,0.814078,27.955941,43.344969,42.174786,0.921499,64.054299,
14,0.874187,0.812788,0.771380,0.856636,0.937970,12.880497,12.880497,0.241482,0.624714,0.737423,0.811095,27.785930,43.267345,42.019898,0.918740,63.596063,
15,0.869978,0.811085,0.768257,0.859875,0.924227,12.988145,12.988145,0.237937,0.618137,0.732424,0.809417,27.663785,43.195010,41.957558,0.916053,62.724973,
16,0.869335,0.805290,0.774090,0.850266,0.931516,13.108006,13.108006,0.233554,0.610701,0.725579,0.802153,27.440018,42.999999,41.765980,0.911511,62.159961,
17,0.858797,0.803600,0.761409,0.845741,0.915839,13.262268,13.262268,0.230247,0.605236,0.720534,0.798136,27.291491,42.764326,41.604561,0.909627,59.982572,
18,0.863959,0.802468,0.761570,0.843364,0.928216,13.344915,13.344915,0.227494,0.600312,0.715305,0.793672,27.050175,42.539837,41.453427,0.906686,60.686415,
19,0.858918,0.801905,0.753483,0.843808,0.919280,13.516194,13.516194,0.225363,0.596960,0.711518,0.791113,26.843021,42.336493,41.308663,0.904642,59.675919,
20,0.862667,0.801068,0.745374,0.851276,0.926597,13.576320,13.576320,0.222734,0.592438,0.707691,0.787664,26.702763,42.131702,41.179750,0.901989,60.190853,
21,0.855959,0.797192,0.754209,0.838261,0.918552,13.594873,13.594873,0.220244,0.588190,0.704399,0.785399,26.590817,41.939836,41.058459,0.899388,58.785235,
22,0.857819,0.793231,0.760278,0.847485,0.914197,13.613407,13.613407,0.217235,0.582894,0.699862,0.780671,26.466880,41.722320,40.932059,0.897252,58.827476,
23,0.857210,0.793385,0.755573,0.841653,0.922398,13.652572,13.652572,0.214112,0.578439,0.696331,0.778942,26.368512,41.500334,40.800846,0.894195,58.625753,
24,0.858046,0.793858,0.754696,0.845166,0.917461,13.661140,13.661140,0.211762,0.573588,0.691994,0.773235,26.288185,41.314294,40.653064,0.892428,58.411431,
25,0.862073,0.797663,0.754162,0.852144,0.923462,13.671771,13.671771,0.211270,0.571351,0.689937,0.775200,26.248931,41.133820,40.512173,0.890144,59.275561,
26,0.855966,0.801538,0.748617,0.840605,0.917747,13.700239,13.700239,0.209159,0.566303,0.685313,0.771080,26.183681,40.919736,40.336797,0.888327,57.878874,
27,0.854891,0.800788,0.737700,0.849084,0.917830,13.768204,13.768204,0.206715,0.561458,0.681311,0.765303,26.128578,40.687751,40.209887,0.886355,57.376101,
28,0.854350,0.803020,0.736904,0.840973,0.921051,8.372052,13.898257,0.204990,0.555509,0.675127,0.762649,25.760587,40.298326,40.052559,0.884439,52.199058,
29,0.854063,0.794455,0.754406,0.848052,0.912780,8.372052,8.372052,0.204481,0.554482,0.674294,0.760620,25.540553,40.107383,40.026928,0.883691,52.025350,
30,0.854305,0.798926,0.746001,0.845675,0.913776,8.379357,8.387784,0.204075,0.554543,0.674676,0.761441,25.364559,39.914682,40.019284,0.882218,52.135787,
31,0.853425,0.799659,0.759338,0.836492,0.912379,8.379357,8.379357,0.204311,0.554110,0.674237,0.759835,25.129472,39.684723,39.973154,0.881698,51.873286,
32,0.853233,0.794469,0.746341,0.848986,0.911712,8.385888,8.385888,0.203684,0.552573,0.672849,0.756267,24.879494,39.474417,39.913175,0.879914,51.629140,
33,0.845502,0.797167,0.732024,0.831835,0.913558,8.392142,8.394989,0.202446,0.551292,0.671678,0.758645,24.622026,39.257790,39.875818,0.879768,50.352453,
34,0.851101,0.792289,0.738233,0.836016,0.917696,8.392142,8.392142,0.202297,0.549695,0.669939,0.755925,24.374534,39.036292,39.794591,0.878823,51.209990,
35,0.853558,0.794401,0.735556,0.854232,0.908311,8.406673,8.406673,0.201174,0.548827,0.669271,0.754480,24.115159,38.837085,39.738837,0.877910,51.596282,
36,0.847897,0.794254,0.732012,0.824126,0.916535,8.421167,8.423119,0.200425,0.546459,0.666427,0.750016,23.830144,38.641873,39.703904,0.876637,50.285969,
