Frame,integer_adm2,integer_adm_scale0,integer_adm_scale1,integer_adm_scale2,integer_adm_scale3,integer_motion2,integer_motion,integer_vif_scale0,integer_vif_scale1,integer_vif_scale2,integer_vif_scale3,psnr_y,psnr_cb,psnr_cr,float_ssim,vmaf,
0,0.832213,0.816226,0.768920,0.831316,0.858004,0.000000,0.000000,0.281493,0.636702,0.726149,0.782976,26.606533,43.686772,41.414130,0.930866,40.702535,
1,0.853350,0.816272,0.761677,0.823963,0.910927,11.098662,11.436752,0.275055,0.629518,0.718691,0.777186,26.437837,43.663504,41.355172,0.928868,55.145090,
2,0.834615,0.805069,0.757306,0.813522,0.880710,11.098662,11.098662,0.269378,0.621401,0.710275,0.767801,26.251920,43.642012,41.306914,0.926305,50.945245,
3,0.845588,0.813445,0.751635,0.811004,0.910203,11.143615,11.143615,0.264878,0.618221,0.708158,0.765834,26.059582,43.551025,41.235397,0.923805,52.932466,
4,0.836899,0.804746,0.762353,0.819901,0.881925,11.227853,11.227853,0.262507,0.614361,0.704032,0.765120,25.922736,43.467217,41.122325,0.921727,51.297155,
5,0.844479,0.811043,0.736307,0.815063,0.908764,11.367588,11.367588,0.257449,0.608207,0.698378,0.758657,25.757405,43.386314,41.047332,0.918523,52.418526,
6,0.852436,0.816666,0.746817,0.838580,0.906161,11.492462,11.492462,0.251557,0.601799,0.692604,0.752098,25.614771,43.312510,40.991167,0.915508,53.599496,
7,0.836785,0.810890,0.755485,0.818858,0.880632,11.589597,11.589597,0.246195,0.596929,0.687545,0.749306,25.458449,43.147451,40.901999,0.912931,50.575410,
8,0.843130,0.807647,0.759151,0.838855,0.885920,11.762314,11.762314,0.241677,0.591441,0.682986,0.745907,25.300152,43.015210,40.790259,0.910088,51.700606,
9,0.828334,0.799870,0.766249,0.828306,0.854802,11.918632,11.918632,0.237298,0.583507,0.675761,0.738446,25.165766,42.915347,40.791927,0.907401,48.651957,
10,0.853167,0.806735,0.755372,0.839167,0.906514,12.136311,12.136311,0.232525,0.576995,0.669161,0.730350,24.983204,42.827154,40.727885,0.902962,52.922937,
11,0.822679,0.796348,0.747219,0.841325,0.843321,12.465443,12.465443,0.229176,0.571758,0.665562,0.732064,24.904688,42.720655,40.679300,0.899350,47.745083,
