Frame,integer_adm2,integer_adm_scale0,integer_adm_scale1,integer_adm_scale2,integer_adm_scale3,integer_motion2,integer_motion,integer_vif_scale0,integer_vif_scale1,integer_vif_scale2,integer_vif_scale3,psnr_y,psnr_cb,psnr_cr,float_ssim,vmaf,
0,0.863966,0.807696,0.766630,0.837882,0.926157,0.000000,0.000000,0.261340,0.634395,0.738461,0.808559,29.209109,42.720394,41.044245,0.933649,48.744925,
1,0.862276,0.804781,0.746935,0.849513,0.923904,11.233764,11.586428,0.254070,0.626210,0.731594,0.803865,29.044860,42.723024,40.982377,0.933181,59.119004,
2,0.858958,0.801617,0.727645,0.836289,0.930409,11.233764,11.233764,0.250551,0.621083,0.726934,0.797960,28.984501,42.631163,40.853468,0.930761,58.057955,
3,0.860087,0.803284,0.743991,0.843956,0.925521,11.335423,11.335423,0.247171,0.621835,0.728107,0.798937,28.894718,42.837323,40.859174,0.928991,58.462929,
4,0.849453,0.805581,0.752039,0.828268,0.908398,11.481227,11.481227,0.243492,0.613826,0.721701,0.796433,28.805856,42.564395,41.038946,0.926067,56.364583,
5,0.853676,0.801499,0.738681,0.834944,0.919776,11.538013,11.538013,0.237608,0.606144,0.716297,0.793661,28.602529,42.670299,40.961246,0.923418,57.021874,
6,0.857639,0.797021,0.747447,0.828624,0.928895,11.609962,11.609962,0.233878,0.602999,0.712361,0.785923,28.391409,42.566670,40.822893,0.921833,57.305599,
7,0.860167,0.801386,0.749476,0.817577,0.934756,11.702549,11.702549,0.228616,0.600622,0.712321,0.788091,28.295096,42.467348,40.790649,0.919009,58.052903,
8,0.847226,0.797748,0.753180,0.828901,0.907337,11.861131,11.861131,0.224281,0.595590,0.707645,0.784614,28.063243,42.479019,40.766073,0.916021,55.509566,
9,0.856682,0.794109,0.750589,0.830756,0.919780,12.070985,12.070985,0.219332,0.587803,0.700738,0.780486,27.885244,42.356914,40.636868,0.912128,57.171600,
10,0.855036,0.802596,0.743215,0.827126,0.924250,12.281108,12.281108,0.215669,0.582276,0.695102,0.773053,27.689228,42.146269,40.602436,0.907777,56.548487,
11,0.851874,0.791564,0.728006,0.842483,0.911414,12.598494,12.598494,0.210905,0.576934,0.691740,0.774917,27.408219,42.274458,40.598777,0.904940,56.367703,
12,0.849778,0.794710,0.728238,0.832489,0.919352,12.792534,12.792534,0.208797,0.574967,0.689969,0.770998,27.276790,42.182034,40.539542,0.902325,55.906131,
13,0.850871,0.790916,0.735918,0.836913,0.912263,12.887734,12.887734,0.204626,0.567362,0.684068,0.766393,27.159100,42.002052,40.514736,0.899751,55.903463,
14,0.843036,0.785162,0.731453,0.824098,0.911891,13.030536,13.030536,0.199328,0.565667,0.683015,0.765964,27.010936,42.002377,40.309824,0.897567,54.574660,
15,0.846823,0.787212,0.727198,0.830404,0.911922,13.109823,13.109823,0.198397,0.560235,0.677680,0.761316,26.844874,41.968536,40.141858,0.894550,55.028653,
16,0.849343,0.788698,0.723713,0.827651,0.923216,13.300842,13.300842,0.195570,0.557549,0.677287,0.761390,26.734000,41.650514,40.122677,0.891617,55.709084,
17,0.837632,0.784873,0.718452,0.815641,0.907890,13.339074,13.397558,0.194028,0.556301,0.674148,0.757482,26.598374,41.609512,40.045594,0.889999,53.311306,
18,0.840172,0.784701,0.718296,0.817543,0.910879,13.339074,13.339074,0.193047,0.555245,0.674126,0.758092,26.499373,41.352886,39.938426,0.889136,53.832831,
19,0.829643,0.781420,0.713815,0.802957,0.901287,13.625353,13.625353,0.189471,0.548733,0.667512,0.753207,26.342710,41.259273,39.992610,0.886144,51.846327,
20,0.841420,0.777188,0.714103,0.814244,0.919789,13.680522,13.680522,0.188467,0.546166,0.664258,0.750974,26.262865,41.166440,39.826267,0.883772,53.881793,
21,0.829695,0.775495,0.709934,0.787876,0.912675,13.685933,13.685933,0.185177,0.543303,0.663933,0.750559,26.277530,40.888856,39.551797,0.882651,51.783938,
22,0.837141,0.777347,0.709715,0.819779,0.907113,13.593615,13.788018,0.183801,0.541005,0.661584,0.748017,26.181505,40.847992,39.631576,0.880648,52.900086,
23,0.828238,0.777394,0.705715,0.802526,0.905625,13.591917,13.593615,0.180952,0.537573,0.658015,0.744286,26.137052,40.575259,39.476616,0.877205,51.063647,
24,0.828995,0.781257,0.704799,0.805500,0.900915,13.591748,13.591917,0.178515,0.532422,0.653066,0.740340,26.096890,40.579591,39.395376,0.875720,50.968214,
25,0.831139,0.778690,0.699541,0.814380,0.903718,13.591748,13.591748,0.176712,0.526440,0.645832,0.732695,26.028795,40.298601,39.188921,0.873193,50.881753,
26,0.820202,0.780607,0.681627,0.783809,0.900945,13.617872,13.617872,0.174701,0.523830,0.643973,0.731539,25.982721,40.244132,39.222886,0.871728,48.899291,
27,0.819277,0.776712,0.681217,0.788117,0.903079,13.997208,13.997208,0.171827,0.519788,0.640377,0.727988,25.894208,40.108205,39.202349,0.869121,48.877042,
28,0.808816,0.771767,0.683091,0.782063,0.883242,8.497496,14.113274,0.169195,0.511551,0.631931,0.721571,25.477754,39.818626,38.904791,0.865773,41.845908,
29,0.801474,0.767398,0.674594,0.777431,0.878799,8.423355,8.497496,0.168732,0.508975,0.628787,0.716692,25.244640,39.591493,39.131583,0.864618,40.225794,
30,0.809978,0.769970,0.677074,0.796724,0.880068,8.405054,8.423355,0.168706,0.508880,0.628253,0.717483,25.034774,39.391649,38.805443,0.862628,41.732329,
31,0.809732,0.769302,0.681500,0.767379,0.892563,8.391931,8.405054,0.166816,0.508074,0.629473,0.717171,24.777437,39.308793,39.109727,0.862665,41.713047,
32,0.816264,0.768290,0.682849,0.782881,0.899929,8.368879,8.391931,0.166714,0.505817,0.628359,0.717722,24.505663,39.067110,39.067522,0.860837,42.896472,
33,0.803676,0.766336,0.662068,0.774143,0.890610,8.359140,8.368879,0.166790,0.507858,0.627928,0.713285,24.218778,38.811592,38.800438,0.859600,40.389405,
34,0.804627,0.764124,0.671991,0.781433,0.881011,8.337190,8.359140,0.164930,0.505188,0.625240,0.711927,23.979928,38.346391,38.686298,0.858511,40.481056,
35,0.812251,0.769094,0.674175,0.796940,0.882627,8.337190,8.337190,0.165297,0.504113,0.624562,0.713301,23.738453,38.229378,38.711071,0.858811,41.895696,
36,0.801344,0.769606,0.666331,0.762270,0.879744,8.347182,8.347182,0.164365,0.502726,0.622572,0.710525,23.546005,38.150787,38.916000,0.856539,39.849892,
37,0.802835,0.764498,0.682147,0.776517,0.878642,8.357347,8.357347,0.162623,0.500813,0.622220,0.709156,23.278934,37.946991,38.823031,0.855019,40.091349,
38,0.805746,0.768301,0.676986,0.781054,0.884687,8.363488,8.369388,0.162373,0.499396,0.620887,0.710788,23.071674,37.804786,38.710349,0.855939,40.697738,
39,0.810678,0.768859,0.668162,0.786364,0.895578,8.337092,8.363488,0.162029,0.498536,0.618411,0.705161,22.807299,37.582630,38.653296,0.853282,41.209268,
40,0.803481,0.767953,0.671127,0.774028,0.882526,8.292213,8.337092,0.160678,0.495847,0.617189,0.704343,22.553370,37.383923,38.519783,0.851670,39.918597,
41,0.815248,0.770213,0.672248,0.790659,0.897559,8.247067,8.292213,0.158639,0.493969,0.614002,0.700276,22.240492,37.127710,38.341927,0.849417,41.707548,
42,0.809575,0.771890,0.668456,0.782950,0.889950,8.247067,8.247067,0.157499,0.492992,0.612363,0.698579,21.966294,36.899185,38.238456,0.848691,40.629416,
43,0.801632,0.767426,0.683233,0.763864,0.876529,8.153824,8.295951,0.155932,0.493127,0.612261,0.697509,21.688750,36.581648,37.986723,0.847235,39.121008,
44,0.809106,0.773291,0.679083,0.777692,0.884369,8.137247,8.153824,0.155231,0.492824,0.612225,0.697903,21.432249,36.389878,38.007252,0.844538,40.431765,
45,0.796342,0.777669,0.671370,0.773326,0.863370,8.137247,8.137247,0.153246,0.487085,0.606123,0.691919,21.130357,36.215728,37.906027,0.840516,37.953215,
46,0.801880,0.770801,0.679093,0.769297,0.880103,7.989041,8.159499,0.151276,0.482350,0.600396,0.685696,20.835365,35.905055,37.455171,0.838150,38.477323,
47,0.808275,0.770511,0.662037,0.783908,0.889830,7.986964,7.989041,0.150240,0.481074,0.599958,0.686091,20.533247,35.847001,37.570090,0.834932,39.623713,
48,0.810468,0.773615,0.675024,0.792644,0.883730,7.986964,7.986964,0.148129,0.478428,0.597230,0.682791,20.244138,35.370776,37.374971,0.831341,39.860972,
49,0.795671,0.773247,0.678629,0.748777,0.878037,8.003929,8.003929,0.146056,0.476058,0.594740,0.679323,19.924928,35.282392,37.033371,0.829606,37.195366,
50,0.802802,0.775315,0.678989,0.790498,0.865652,8.132432,8.132432,0.146875,0.478178,0.596164,0.679861,19.685119,35.105118,36.762544,0.827206,38.520366,
51,0.797119,0.772184,0.664841,0.767620,0.870520,8.193630,8.266850,0.145038,0.472527,0.589611,0.672966,19.393285,34.800313,36.570278,0.824591,37.296476,
52,0.797823,0.773111,0.674007,0.763741,0.869410,8.031252,8.193630,0.144176,0.471802,0.588873,0.673170,19.032638,34.573528,36.281595,0.820784,37.296177,
53,0.792663,0.774530,0.663982,0.761851,0.863070,8.031252,8.031252,0.142152,0.468613,0.586184,0.671608,18.788441,34.402368,36.161573,0.818278,36.392772,
54,0.805288,0.779666,0.678203,0.780470,0.875648,8.151279,8.151279,0.142643,0.467243,0.583924,0.667788,18.534403,34.237375,36.058347,0.815486,38.443091,
55,0.798897,0.783075,0.677873,0.762721,0.875276,8.022930,8.355767,0.142062,0.465893,0.582473,0.668730,18.247988,33.978138,35.809609,0.812359,37.305931,
56,0.797831,0.776515,0.675805,0.773001,0.867606,8.022930,8.022930,0.141266,0.468899,0.586945,0.670849,17.991608,33.773787,35.693784,0.811703,37.234136,
57,0.795620,0.777259,0.666178,0.760225,0.873152,8.045247,8.165129,0.138747,0.462859,0.581022,0.666922,17.748172,33.671217,35.547998,0.807788,36.756758,
58,0.800243,0.776116,0.675118,0.759853,0.882838,8.045247,8.045247,0.138250,0.463082,0.580478,0.667303,17.547291,33.437645,35.539033,0.805104,37.547255,
59,0.795224,0.770292,0.668241,0.776333,0.861328,8.166265,8.166265,0.138634,0.464186,0.582185,0.668596,17.290237,33.239928,35.271019,0.804000,36.864139,
60,0.789303,0.782718,0.660994,0.763942,0.852562,8.396729,8.396729,0.137221,0.462119,0.579558,0.663991,17.023244,32.929584,35.108402,0.800668,35.861936,
61,0.790775,0.776416,0.679688,0.747245,0.861497,8.415208,8.415208,0.136824,0.460053,0.576644,0.661181,16.900000,32.896664,34.993718,0.799108,35.998251,
62,0.796043,0.774406,0.673240,0.761728,0.868689,8.124972,8.520184,0.136016,0.460949,0.578050,0.664213,16.954468,32.899147,34.754751,0.797340,36.785974,
63,0.798611,0.779611,0.658829,0.783896,0.869829,8.104566,8.124972,0.137024,0.460315,0.576498,0.661103,16.996713,32.925415,34.857314,0.793376,37.034035,
64,0.789579,0.777015,0.679785,0.746973,0.864641,8.056318,8.104566,0.134583,0.458526,0.573616,0.654074,17.028091,32.928245,34.226803,0.789208,35.155614,
65,0.796333,0.776418,0.682551,0.767850,0.866974,7.698199,8.056318,0.133805,0.456680,0.572141,0.657133,17.086322,32.745926,34.305718,0.786375,36.154855,
66,0.789467,0.783116,0.660657,0.762383,0.862395,7.698199,7.698199,0.131394,0.451954,0.567187,0.651618,17.222075,33.152725,34.269355,0.783277,34.807647,
67,0.799981,0.779197,0.667898,0.765625,0.875688,7.944245,8.080883,0.130973,0.450598,0.564867,0.647897,17.198591,32.940060,33.868200,0.780152,36.603602,
68,0.794198,0.774027,0.665576,0.761611,0.866251,7.944245,7.944245,0.129545,0.449638,0.564327,0.647320,17.186988,32.855479,34.121225,0.778220,35.636288,
69,0.797235,0.779966,0.660699,0.772828,0.866320,8.326350,8.380671,0.128571,0.446212,0.560275,0.642248,17.208013,33.002356,34.219586,0.777531,36.268782,
70,0.789332,0.782891,0.685288,0.737279,0.861380,7.911356,8.326350,0.126451,0.441742,0.555092,0.638065,17.211115,32.734253,33.888789,0.773938,34.466040,
71,0.790103,0.779517,0.669518,0.773543,0.849499,7.911356,7.911356,0.124087,0.435404,0.547118,0.628473,17.203233,32.653715,33.931995,0.770679,34.233397,
72,0.793455,0.784840,0.669382,0.759466,0.864667,7.600540,7.954960,0.122378,0.430996,0.541771,0.622899,17.132635,32.812377,33.690866,0.767950,34.330962,
73,0.801299,0.783529,0.679163,0.753127,0.881405,7.410786,7.600540,0.120383,0.429990,0.541122,0.620563,17.102781,32.626482,33.740723,0.765092,35.391013,
74,0.792918,0.782316,0.661594,0.767712,0.859891,7.360264,7.410786,0.118392,0.426405,0.537369,0.619589,17.069646,32.833042,33.459263,0.762727,33.991162,
75,0.796983,0.781001,0.683152,0.756010,0.870046,7.246164,7.360264,0.117511,0.424508,0.535244,0.616126,17.030495,32.680113,33.629547,0.761341,34.438970,
76,0.791293,0.782440,0.661151,0.761277,0.861400,7.221472,7.246164,0.116299,0.423395,0.535185,0.615886,16.957238,32.734165,33.481214,0.760887,33.515346,
77,0.796504,0.786261,0.659214,0.756426,0.873156,7.125032,7.221472,0.114860,0.415520,0.526246,0.607277,16.889392,32.628474,33.469195,0.756608,34.028647,
78,0.798892,0.788184,0.679431,0.779125,0.856660,7.029962,7.125032,0.114830,0.418941,0.528576,0.609277,16.764059,32.844820,33.510813,0.755950,34.359944,
