Frame,integer_adm2,integer_adm_scale0,integer_adm_scale1,integer_adm_scale2,integer_adm_scale3,integer_motion2,integer_motion,integer_vif_scale0,integer_vif_scale1,integer_vif_scale2,integer_vif_scale3,psnr_y,psnr_cb,psnr_cr,float_ssim,vmaf,
0,0.935272,0.900918,0.861294,0.927895,0.973704,0.000000,0.000000,0.460520,0.817657,0.872506,0.905004,32.581132,46.256272,48.187686,0.976656,71.370153,
1,0.927477,0.892996,0.860891,0.923522,0.962990,15.433567,15.646033,0.446628,0.807214,0.864514,0.898059,32.161924,46.310475,48.109456,0.976324,85.418566,
2,0.928369,0.897016,0.863283,0.926494,0.962215,15.334433,15.433567,0.446853,0.803655,0.860246,0.892432,31.551171,46.249540,47.904390,0.975709,84.952317,
3,0.927989,0.904185,0.874596,0.916451,0.961263,14.954021,15.334433,0.449930,0.803557,0.859761,0.893134,30.782183,46.263128,47.715393,0.972714,84.558586,
4,0.926490,0.910366,0.881221,0.914151,0.954900,14.927073,14.954021,0.441559,0.786087,0.840533,0.870447,29.463959,45.935080,47.357217,0.969309,81.927892,
5,0.929012,0.910160,0.884806,0.914897,0.960325,14.735015,14.927073,0.435895,0.770780,0.824650,0.853885,27.831042,45.622788,46.757418,0.959905,80.580725,
6,0.936727,0.916845,0.887102,0.927851,0.968708,14.535433,14.735015,0.431164,0.758724,0.810901,0.838286,26.749521,45.404385,46.408349,0.953316,80.453733,
7,0.931282,0.913859,0.885552,0.926296,0.956398,14.201461,14.535433,0.427853,0.743958,0.793108,0.818916,25.407271,45.123775,46.191494,0.947403,77.159916,
8,0.932079,0.913192,0.888356,0.915354,0.966724,13.735695,14.201461,0.428295,0.736616,0.783915,0.808467,24.260774,45.005037,46.187515,0.940161,75.906599,
9,0.924227,0.913662,0.888700,0.918809,0.944088,13.253346,13.735695,0.431151,0.735126,0.780199,0.802586,23.614804,44.778724,45.948136,0.936518,73.339341,
10,0.922473,0.917267,0.882685,0.911275,0.947111,12.895632,13.253346,0.422384,0.715780,0.758869,0.779767,23.179085,44.580226,45.797207,0.929347,70.579582,
11,0.909814,0.911167,0.883578,0.905893,0.922308,12.621340,12.895632,0.422234,0.707691,0.749028,0.768451,22.871203,44.525811,45.726542,0.922338,66.803320,
12,0.896429,0.910922,0.883113,0.895904,0.897505,12.471054,12.621340,0.419566,0.695068,0.735107,0.753204,22.759365,44.469115,45.627359,0.917767,62.730676,
13,0.916181,0.915756,0.870329,0.894530,0.949445,12.471054,12.471054,0.414065,0.679321,0.717406,0.733591,22.589736,44.429647,45.527378,0.913855,65.052946,
14,0.893151,0.911939,0.876896,0.888617,0.896508,10.042665,12.510823,0.402956,0.660857,0.699823,0.716996,22.774561,44.192976,45.455535,0.904646,56.852027,
15,0.895376,0.905880,0.855702,0.889689,0.911167,9.726198,10.042665,0.398238,0.652777,0.691980,0.710510,22.803960,44.294707,45.400047,0.898741,56.479619,
16,0.880295,0.903161,0.852782,0.862872,0.894876,9.441872,9.726198,0.398972,0.651612,0.691097,0.708214,22.844516,44.373424,45.334335,0.899822,53.136624,
17,0.872949,0.902827,0.849082,0.854600,0.885331,9.165725,9.441872,0.401831,0.652019,0.690504,0.707780,22.914291,44.438371,45.321966,0.901761,51.395786,
18,0.879245,0.901183,0.843201,0.875623,0.889225,8.829427,9.165725,0.404686,0.655187,0.695261,0.712981,22.904697,44.524572,45.322243,0.903878,52.645857,
19,0.873096,0.896982,0.847886,0.862249,0.882724,8.707049,8.829427,0.402769,0.652909,0.693117,0.709676,22.888641,44.562406,45.316638,0.905554,51.124102,
20,0.873322,0.901764,0.849925,0.862248,0.880189,8.200540,8.707049,0.400834,0.647294,0.687195,0.702804,22.813398,44.505697,45.252712,0.904666,50.180880,
