Frame,integer_adm2,integer_adm_scale0,integer_adm_scale1,integer_adm_scale2,integer_adm_scale3,integer_motion2,integer_motion,integer_vif_scale0,integer_vif_scale1,integer_vif_scale2,integer_vif_scale3,psnr_y,psnr_cb,psnr_cr,float_ssim,vmaf,
0,0.906391,0.884276,0.837800,0.898431,0.952733,0.000000,0.000000,0.345450,0.856668,0.907224,0.932961,35.840599,44.470824,46.485487,0.977492,69.226557,
1,0.905535,0.884678,0.837172,0.896876,0.953623,10.218666,10.339854,0.342262,0.860594,0.909091,0.930697,35.314129,44.333226,46.179736,0.976549,79.873811,
2,0.904441,0.873703,0.833455,0.890544,0.955411,10.058198,10.218666,0.343939,0.859954,0.908584,0.930163,33.789322,43.801087,45.318317,0.975535,79.425960,
3,0.904704,0.891164,0.826355,0.906175,0.946357,9.795135,10.058198,0.343223,0.856711,0.904825,0.926424,31.761419,42.900898,44.224326,0.972814,78.793416,
4,0.917066,0.895875,0.869018,0.899888,0.964645,9.795135,9.795135,0.345030,0.854241,0.901523,0.920455,29.293876,40.959713,41.693356,0.969044,80.783022,
5,0.920520,0.895621,0.869668,0.913168,0.957689,10.773538,10.773538,0.342116,0.819553,0.861746,0.874503,24.006820,39.519899,40.081475,0.953518,77.637468,
6,0.921312,0.899341,0.867639,0.913415,0.961601,10.677052,10.783137,0.348350,0.811069,0.851885,0.866535,21.414056,38.301882,38.747467,0.948411,76.789551,
7,0.914664,0.894836,0.866113,0.898718,0.954350,10.600509,10.677052,0.360491,0.812180,0.851930,0.863325,19.745461,37.232835,37.649454,0.944175,75.099006,
8,0.904019,0.890875,0.862576,0.899249,0.931974,10.484029,10.600509,0.371190,0.814532,0.852559,0.861350,18.486389,36.276098,36.735300,0.941260,72.656846,
9,0.895636,0.896406,0.854666,0.886729,0.919977,10.093765,10.484029,0.380652,0.813052,0.850105,0.858668,17.516274,35.546108,35.901891,0.935640,70.262090,
10,0.894583,0.893683,0.854622,0.885686,0.918338,10.038765,10.093765,0.386777,0.807568,0.844823,0.851853,16.698684,34.816594,35.124999,0.928997,69.333002,
11,0.888722,0.890874,0.842587,0.874490,0.917904,10.038765,10.038765,0.393090,0.800408,0.836451,0.841093,15.998770,34.186899,34.426225,0.922275,67.109736,
12,0.875189,0.890071,0.835377,0.857975,0.898571,11.408581,11.408581,0.378809,0.755606,0.785883,0.787285,15.586602,33.662434,33.750412,0.909677,60.719386,
13,0.871980,0.890653,0.832465,0.856617,0.893561,13.350235,13.350235,0.369398,0.744439,0.777373,0.779635,15.460594,33.216457,32.958898,0.897949,61.312104,
14,0.861177,0.888656,0.818463,0.847675,0.880211,14.830864,14.872858,0.360816,0.734669,0.771240,0.774903,15.369766,32.797867,32.204823,0.891806,60.194152,
15,0.757890,0.881764,0.794359,0.767731,0.699659,12.653960,14.830864,0.352771,0.726755,0.763283,0.767194,15.289066,32.469163,31.550649,0.886035,37.922287,
16,0.735151,0.843833,0.735053,0.706753,0.718638,11.779376,12.653960,0.335432,0.708836,0.749198,0.753763,15.228547,32.009842,30.905584,0.879330,32.067954,
17,0.727299,0.841644,0.719859,0.701458,0.709642,11.779376,11.779376,0.323177,0.697504,0.741586,0.748536,15.160456,31.541835,30.380402,0.873912,30.381278,
18,0.724212,0.838717,0.710724,0.712830,0.699037,11.744544,11.784285,0.311854,0.689048,0.734554,0.741124,15.093430,31.119786,29.955595,0.866857,29.373311,
19,0.722172,0.839778,0.709585,0.703674,0.700557,11.744544,11.744544,0.300982,0.680942,0.725231,0.731629,15.029975,30.711234,29.585192,0.860699,28.422645,
