Frame,integer_adm2,integer_adm_scale0,integer_adm_scale1,integer_adm_scale2,integer_adm_scale3,integer_motion2,integer_motion,integer_vif_scale0,integer_vif_scale1,integer_vif_scale2,integer_vif_scale3,psnr_y,psnr_cb,psnr_cr,float_ssim,vmaf,
0,0.923837,0.861624,0.853666,0.921202,0.963845,0.000000,0.000000,0.331377,0.746034,0.837312,0.891150,31.899340,44.643656,43.903932,0.961899,67.644621,
1,0.923140,0.864039,0.831247,0.918547,0.966739,17.767073,17.767073,0.320317,0.740510,0.833166,0.888859,31.759093,44.695562,43.968565,0.961780,84.847406,
2,0.922056,0.860162,0.845526,0.927979,0.957951,18.132105,18.132105,0.319395,0.735767,0.828460,0.882425,31.304759,44.591513,43.759820,0.960720,84.330473,
3,0.921449,0.861631,0.867486,0.923486,0.952161,19.083544,19.083544,0.319506,0.733609,0.825809,0.879455,30.799767,44.554260,43.745862,0.957815,84.685279,
4,0.923906,0.853348,0.859841,0.923962,0.965800,19.407797,19.407797,0.320376,0.729015,0.819128,0.873667,30.379450,44.497218,43.713571,0.957406,84.825736,
5,0.929474,0.861240,0.867688,0.924763,0.969289,19.655264,19.655264,0.322151,0.727823,0.817899,0.872023,29.870489,44.197499,43.559272,0.956456,85.989427,
6,0.919652,0.865083,0.865501,0.913677,0.955588,19.817047,19.817047,0.315213,0.709823,0.796973,0.846327,26.702657,43.960987,43.439831,0.950332,81.776808,
7,0.924787,0.861625,0.851349,0.928802,0.962210,19.994362,19.994362,0.305108,0.691541,0.776684,0.828537,24.816752,43.814405,43.323679,0.939534,81.185758,
8,0.923797,0.861557,0.863567,0.920281,0.960234,20.005671,20.005671,0.298600,0.675607,0.758867,0.807242,23.487619,43.696319,43.157872,0.929396,79.147015,
9,0.920811,0.865954,0.861626,0.914903,0.955921,20.615128,20.615128,0.289747,0.658602,0.740140,0.788348,22.149559,43.344894,42.924741,0.916829,77.384335,
10,0.901087,0.866547,0.859726,0.914084,0.914885,20.808907,21.020157,0.282643,0.644747,0.725320,0.773903,21.488151,43.047554,42.736003,0.904890,72.514206,
11,0.904017,0.864218,0.861250,0.897172,0.931478,20.490524,20.808907,0.275710,0.641906,0.721765,0.768840,21.185144,42.866663,42.667057,0.898427,72.433864,
12,0.896105,0.862561,0.848087,0.890097,0.924271,20.240160,20.490524,0.269686,0.640097,0.719947,0.766057,20.635249,42.711136,42.592005,0.892254,70.514568,
13,0.880797,0.863233,0.839311,0.878691,0.899266,20.240160,20.240160,0.263113,0.639612,0.718899,0.765038,20.025876,42.563332,42.541550,0.888402,67.512883,
14,0.875338,0.860098,0.831462,0.882921,0.889329,24.033741,24.480221,0.256462,0.635325,0.713954,0.759603,19.232427,42.365403,42.400645,0.879166,68.966738,
15,0.881485,0.858759,0.827510,0.869967,0.910704,23.418993,24.033741,0.247578,0.622757,0.701329,0.748609,18.472638,42.256896,42.394279,0.869766,68.799768,
16,0.867768,0.855971,0.827436,0.871379,0.882143,22.964094,23.418993,0.242521,0.615345,0.691733,0.738031,17.773354,42.196015,42.369035,0.860710,65.137287,
17,0.869297,0.858536,0.821968,0.855339,0.895627,22.471289,22.964094,0.234625,0.604273,0.678120,0.724217,17.161470,41.994608,42.247676,0.850960,64.045466,
18,0.877918,0.855472,0.827740,0.871265,0.903234,22.461437,22.471289,0.226434,0.592643,0.666057,0.709747,16.640851,41.474042,41.859107,0.840811,64.656793,
19,0.860167,0.856979,0.820091,0.875707,0.864923,22.425610,22.461437,0.218793,0.579964,0.651274,0.692255,16.203719,40.612531,41.268829,0.831020,60.266749,
20,0.865713,0.853347,0.813984,0.846558,0.896540,22.266943,22.425610,0.210413,0.561580,0.631257,0.672116,15.754728,39.398818,40.567082,0.819496,59.902293,
21,0.862733,0.856923,0.819206,0.840769,0.892201,22.266943,22.266943,0.204863,0.550279,0.617376,0.654646,15.354687,38.136767,39.699459,0.808272,58.350485,
22,0.851231,0.851148,0.801662,0.845581,0.872880,22.327993,22.327993,0.198681,0.532864,0.598658,0.637521,15.031151,36.999964,38.852274,0.797165,55.439519,
23,0.865651,0.855633,0.811979,0.854762,0.892059,22.623861,22.880522,0.208058,0.555966,0.624421,0.664729,15.381620,38.658895,40.102649,0.812233,59.718708,
