Frame,integer_adm2,integer_adm_scale0,integer_adm_scale1,integer_adm_scale2,integer_adm_scale3,integer_motion2,integer_motion,integer_vif_scale0,integer_vif_scale1,integer_vif_scale2,integer_vif_scale3,psnr_y,psnr_cb,psnr_cr,float_ssim,vmaf,
0,0.931613,0.894847,0.870653,0.914385,0.970575,0.000000,0.000000,0.551215,0.898133,0.933804,0.953547,35.581049,59.532814,57.552245,0.989189,76.299155,
1,0.915974,0.886189,0.865534,0.912276,0.951532,4.610817,4.610817,0.530465,0.876883,0.916078,0.940408,35.274538,59.639921,58.105156,0.988216,76.784646,
2,0.917863,0.892449,0.870160,0.921800,0.943671,4.623422,4.708992,0.526974,0.871314,0.910684,0.935307,34.969835,59.450367,57.088257,0.987881,76.599328,
3,0.922110,0.890974,0.877070,0.902827,0.959015,4.623422,4.623422,0.524634,0.871736,0.911866,0.936168,34.943584,59.416379,57.099225,0.987516,77.609549,
4,0.928152,0.888444,0.868566,0.926140,0.960981,4.639425,4.639425,0.525386,0.874120,0.914596,0.941770,35.024506,59.238709,56.614602,0.988578,79.439108,
5,0.925219,0.893036,0.875947,0.915064,0.959618,4.698085,4.698085,0.525947,0.874235,0.915390,0.941445,34.873658,59.266504,56.356680,0.988444,78.893758,
6,0.921004,0.887423,0.878666,0.912433,0.954193,4.771668,4.771668,0.525291,0.871906,0.914635,0.941163,34.777854,59.116704,56.725322,0.988403,78.040349,
7,0.924099,0.887966,0.864477,0.912076,0.962893,4.841317,4.841317,0.522635,0.869604,0.913349,0.942233,34.435801,58.909001,56.283980,0.987991,78.808717,
8,0.923310,0.889895,0.863413,0.907345,0.966523,4.894835,4.894835,0.522017,0.868650,0.914456,0.942782,34.142159,58.841894,56.375012,0.987925,78.792206,
9,0.922372,0.887241,0.861812,0.922833,0.954776,4.980857,4.980857,0.522539,0.866094,0.912475,0.940431,33.703281,58.650088,56.214487,0.987927,78.434283,
10,0.915230,0.886462,0.869291,0.895074,0.953047,5.085807,5.085807,0.516090,0.858608,0.905465,0.933292,32.573079,58.392777,55.431745,0.984296,76.245510,
11,0.915893,0.888431,0.850812,0.913597,0.952855,5.156675,5.156675,0.515104,0.855854,0.903526,0.932389,32.569672,58.293162,55.834326,0.985300,76.325052,
12,0.913043,0.881817,0.861676,0.902523,0.949518,5.219627,5.219627,0.511834,0.852362,0.901362,0.931896,32.015873,57.994434,55.255834,0.983017,75.687125,
13,0.916659,0.880152,0.853499,0.905431,0.957153,5.243896,5.243896,0.511482,0.848939,0.898157,0.928796,31.804273,57.777237,55.250720,0.982787,76.116984,
14,0.917969,0.879267,0.868240,0.904587,0.956247,5.293594,5.293594,0.508979,0.844179,0.893015,0.922601,31.362514,57.448481,54.894654,0.981699,75.789895,
15,0.909101,0.877526,0.852121,0.896434,0.948247,5.313086,5.313086,0.503881,0.839205,0.889311,0.919818,31.158350,57.089308,54.711566,0.981072,73.624729,
16,0.906868,0.877141,0.855537,0.896528,0.942823,5.360821,5.360821,0.498588,0.827934,0.877875,0.907400,30.801938,56.701669,54.406269,0.980834,71.885712,
17,0.908625,0.880158,0.849192,0.887176,0.955008,5.405628,5.405628,0.491385,0.819453,0.868038,0.896335,30.395656,56.396759,54.114087,0.978344,71.149297,
18,0.910823,0.882279,0.848437,0.893480,0.952879,5.441741,5.441741,0.482766,0.808377,0.856947,0.884905,29.976048,56.082010,53.854424,0.973133,70.450204,
19,0.910280,0.872400,0.839109,0.903449,0.954994,5.494875,5.494875,0.473800,0.798172,0.846373,0.873573,29.677413,55.822732,53.616396,0.970883,69.247871,
20,0.897749,0.872829,0.838768,0.894781,0.930690,5.532351,5.532351,0.464355,0.784218,0.832367,0.860537,29.351693,55.617242,53.971029,0.968635,65.374735,
21,0.908636,0.864848,0.841823,0.896356,0.954120,5.590859,5.590859,0.457072,0.774541,0.822581,0.848397,29.048043,55.276945,53.375792,0.962167,66.530800,
22,0.900578,0.869843,0.833386,0.885704,0.944075,5.643441,5.643441,0.447622,0.760966,0.809508,0.836395,28.486880,55.025932,53.167373,0.958902,63.766951,
23,0.893962,0.867450,0.835035,0.882052,0.932711,5.763645,5.763645,0.440902,0.750940,0.797244,0.822674,27.511893,54.731144,52.714838,0.954459,61.293177,
24,0.901245,0.868531,0.830553,0.885668,0.948339,5.821103,5.821103,0.434779,0.739635,0.785448,0.811165,26.523416,54.456491,52.742990,0.950946,61.756144,
25,0.897257,0.861575,0.821608,0.880399,0.947996,5.848439,5.848439,0.428101,0.728903,0.775675,0.800431,25.615936,54.272526,52.572518,0.948038,60.058122,
26,0.890579,0.861476,0.824415,0.890980,0.922753,5.909256,5.909256,0.423619,0.721458,0.767382,0.791846,24.867523,53.952932,52.169971,0.943180,58.041137,
27,0.897422,0.860804,0.835151,0.889923,0.935769,5.982173,5.982173,0.417366,0.713347,0.758896,0.782917,24.237570,53.749875,51.984414,0.938978,58.725710,
28,0.898145,0.863751,0.821264,0.893109,0.940702,6.147248,6.147248,0.409096,0.699585,0.744518,0.768496,23.478137,53.388294,51.471987,0.935078,57.835993,
29,0.900570,0.861387,0.821917,0.883960,0.952025,6.353525,6.353525,0.402165,0.689930,0.733727,0.757333,22.915872,53.146296,51.228052,0.930324,57.624138,
30,0.894437,0.857499,0.824185,0.892979,0.931569,7.812980,7.812980,0.400626,0.682506,0.726281,0.750268,22.309198,52.841652,51.013334,0.926078,57.361375,
31,0.893346,0.861760,0.822764,0.893260,0.928571,7.965708,7.965708,0.398719,0.678189,0.721345,0.741733,21.773457,52.432200,50.972691,0.924309,56.685786,
32,0.894863,0.856397,0.815228,0.894717,0.935783,8.114850,8.114850,0.396026,0.670823,0.713165,0.733113,21.358761,51.958437,50.748021,0.922637,56.467846,
