Frame,integer_adm2,integer_adm_scale0,integer_adm_scale1,integer_adm_scale2,integer_adm_scale3,integer_motion2,integer_motion,integer_vif_scale0,integer_vif_scale1,integer_vif_scale2,integer_vif_scale3,psnr_y,psnr_cb,psnr_cr,float_ssim,vmaf,
0,0.830630,0.781299,0.703870,0.812739,0.900891,0.000000,0.000000,0.183381,0.510333,0.632529,0.722477,25.855707,40.818151,40.225518,0.859062,37.890536,
1,0.827434,0.783324,0.695215,0.813754,0.896379,11.913008,11.913008,0.182983,0.510659,0.633167,0.723612,25.905236,40.811150,40.205013,0.858626,48.256241,
2,0.821285,0.782210,0.695400,0.803313,0.887583,12.940259,19.221418,0.179974,0.510005,0.634487,0.724322,25.942226,40.830817,40.138736,0.857165,48.151172,
3,0.829623,0.783075,0.696023,0.804815,0.903813,12.940259,12.940259,0.178342,0.509224,0.633659,0.724333,25.877741,40.855847,40.108329,0.856697,49.642197,
4,0.822384,0.781582,0.696213,0.802834,0.890473,15.883764,22.511196,0.175657,0.508402,0.634216,0.725812,25.992825,40.877505,40.119883,0.856541,50.981514,
5,0.826838,0.781458,0.697465,0.802280,0.903412,15.883764,15.883764,0.175393,0.508795,0.636111,0.729588,26.376021,40.905110,40.191968,0.858309,52.012656,
6,0.831206,0.778504,0.694145,0.804078,0.910379,19.014376,25.649475,0.172506,0.504104,0.631588,0.729039,26.562499,40.877142,40.142070,0.858030,55.309635,
7,0.818146,0.777686,0.696240,0.801445,0.884065,19.014376,19.014376,0.171361,0.502147,0.630380,0.728648,26.609456,40.879814,40.138663,0.857879,53.001277,
8,0.817791,0.774204,0.695100,0.791204,0.894347,20.892246,28.251005,0.168087,0.496437,0.624118,0.722845,26.532116,40.775873,39.934311,0.854256,54.090183,
9,0.810863,0.776386,0.681762,0.782590,0.889890,20.892246,20.892246,0.166552,0.492939,0.620186,0.720046,26.467264,40.683449,39.800509,0.853050,52.731445,
10,0.806359,0.773488,0.691747,0.783443,0.878820,21.289896,31.963484,0.166224,0.488061,0.612533,0.711120,26.154546,40.574125,39.750749,0.851060,51.743652,
11,0.809923,0.774664,0.694057,0.775659,0.887196,21.289896,21.289896,0.165009,0.484986,0.608736,0.706659,25.896342,40.710938,39.863277,0.848779,52.114415,
12,0.802843,0.777190,0.690715,0.782819,0.868169,19.536560,31.422367,0.165404,0.476581,0.599457,0.697913,24.980436,40.569153,39.972095,0.839953,49.075153,
13,0.811598,0.780251,0.683811,0.787631,0.889401,19.536560,19.536560,0.165874,0.467669,0.587834,0.687093,24.315119,40.416479,39.869864,0.833167,50.001169,
14,0.812702,0.780522,0.690210,0.784192,0.890803,18.258446,28.977009,0.164756,0.442943,0.557503,0.652102,22.558744,39.826826,39.327454,0.811965,47.497931,
15,0.813406,0.784377,0.692837,0.785867,0.886314,18.258446,18.258446,0.162296,0.431477,0.542997,0.633954,21.825375,39.242370,38.804660,0.801764,46.820933,
16,0.810776,0.790218,0.685507,0.784633,0.879317,17.417801,26.501875,0.158978,0.405593,0.510624,0.599221,20.568857,37.926695,37.677398,0.778649,44.375244,
17,0.808620,0.793181,0.692512,0.778283,0.875422,17.417801,17.417801,0.156837,0.398325,0.501343,0.587382,20.154023,37.285032,37.136049,0.770288,43.603647,
18,0.802519,0.794269,0.683643,0.774643,0.868567,14.989265,23.736216,0.152131,0.385608,0.485668,0.568895,19.696774,36.348043,36.341563,0.761214,40.083316,
19,0.800878,0.796579,0.689433,0.765799,0.865720,14.989265,14.989265,0.151571,0.382921,0.481306,0.560595,19.554434,36.003279,36.044957,0.759160,39.521858,
20,0.799102,0.798152,0.684338,0.763207,0.864642,12.433320,19.517076,0.146475,0.375357,0.473112,0.554695,19.266846,35.480756,35.528765,0.754563,37.081587,
