Frame,integer_adm2,integer_adm_scale0,integer_adm_scale1,integer_adm_scale2,integer_adm_scale3,integer_motion2,integer_motion,integer_vif_scale0,integer_vif_scale1,integer_vif_scale2,integer_vif_scale3,psnr_y,psnr_cb,psnr_cr,float_ssim,vmaf,
0,0.842089,0.827259,0.755785,0.846126,0.882093,0.000000,0.000000,0.316254,0.676012,0.748591,0.801795,20.819029,44.261330,48.019106,0.903269,43.534834,
1,0.864059,0.825080,0.754616,0.825324,0.949180,16.644472,18.781822,0.300167,0.664960,0.735154,0.788158,23.199793,44.140641,47.290277,0.918588,62.915788,
2,0.845825,0.823439,0.749977,0.836908,0.899973,16.644472,16.644472,0.298256,0.664282,0.733466,0.784387,24.147584,44.139894,46.877201,0.924740,59.159491,
3,0.835565,0.820848,0.764548,0.813298,0.884449,15.747611,16.962509,0.291950,0.662583,0.731462,0.782233,24.676696,43.967973,46.482784,0.926743,56.254674,
4,0.826382,0.828125,0.756516,0.808900,0.866697,14.549488,15.747611,0.293169,0.667718,0.737181,0.788158,24.536470,44.003218,46.443045,0.925915,53.898371,
5,0.831291,0.824016,0.760290,0.821710,0.869823,14.270246,14.549488,0.288921,0.664129,0.731938,0.779079,24.498876,43.917811,46.402301,0.924761,53.909918,
6,0.840879,0.828883,0.753284,0.807751,0.903310,13.939935,14.270246,0.285379,0.663868,0.730991,0.781338,24.442117,43.846637,46.391765,0.924064,55.547396,
7,0.834733,0.830934,0.753750,0.810572,0.886449,13.684564,13.939935,0.283677,0.661848,0.726408,0.773458,24.390443,43.814094,46.405158,0.922820,53.561670,
8,0.837005,0.831601,0.747138,0.817436,0.889139,13.684564,13.684564,0.282945,0.660587,0.723696,0.768895,24.336338,43.906398,46.492496,0.921392,53.652677,
9,0.847207,0.831777,0.752841,0.808633,0.917418,13.754660,13.754660,0.273602,0.636548,0.693664,0.732176,23.849141,44.026341,46.704470,0.914942,52.973820,
10,0.827938,0.836489,0.746022,0.802714,0.876898,14.511208,14.511208,0.261097,0.612128,0.669527,0.707945,22.694048,44.297735,47.043517,0.900189,48.504550,
11,0.831568,0.839566,0.751645,0.791600,0.888339,15.386705,15.386705,0.249814,0.587592,0.645624,0.684178,22.567109,44.337190,47.122991,0.885279,48.528059,
12,0.834854,0.842238,0.748194,0.799436,0.893127,15.221231,15.469768,0.254300,0.588294,0.645307,0.682571,22.583170,44.086640,46.861057,0.883509,48.859160,
13,0.829942,0.841310,0.743955,0.776491,0.899583,14.933263,15.221231,0.258442,0.590341,0.645810,0.681238,22.499333,43.919783,46.703513,0.885400,47.606094,
14,0.836130,0.845347,0.740958,0.789216,0.905148,11.663841,14.933263,0.261459,0.590953,0.645030,0.677564,22.285783,43.795162,46.629600,0.886424,45.518115,
15,0.822933,0.848592,0.730592,0.765670,0.892557,11.468030,11.663841,0.259952,0.590134,0.643921,0.677178,22.148196,43.691053,46.633937,0.882321,42.922434,
16,0.824133,0.846328,0.709785,0.766788,0.906865,11.084643,11.468030,0.260485,0.590745,0.642866,0.675415,22.036199,43.622122,46.616241,0.883039,42.653577,
17,0.806518,0.842663,0.703978,0.773276,0.862868,10.573631,11.084643,0.260257,0.593500,0.644386,0.675770,21.969356,43.569645,46.663939,0.885441,39.019220,
18,0.813076,0.842750,0.697925,0.765211,0.889838,10.136271,10.573631,0.259938,0.597284,0.646373,0.677688,21.948505,43.733889,46.953449,0.885981,39.861142,
19,0.814020,0.837168,0.705287,0.753341,0.898854,9.579744,10.136271,0.261200,0.602112,0.649665,0.680593,21.982992,43.720852,46.973568,0.887645,39.642238,
20,0.806876,0.836590,0.707623,0.771463,0.865531,8.854220,9.579744,0.262299,0.609471,0.655446,0.683416,21.936720,43.678800,46.961033,0.884130,37.814099,
21,0.806492,0.840411,0.709566,0.751521,0.876396,8.331323,8.854220,0.264384,0.614910,0.659344,0.687359,21.948971,43.656466,46.962702,0.886494,37.440983,
22,0.791182,0.843069,0.717852,0.762015,0.826195,8.036711,8.331323,0.268781,0.624728,0.668168,0.691692,21.973270,43.686996,46.976095,0.884101,34.650366,
23,0.808367,0.829618,0.717081,0.752791,0.880467,7.884668,8.036711,0.271399,0.629457,0.671748,0.695629,22.016262,43.679047,46.961421,0.886899,37.791774,
