Frame,integer_adm2,integer_adm_scale0,integer_adm_scale1,integer_adm_scale2,integer_adm_scale3,integer_motion2,integer_motion,integer_vif_scale0,integer_vif_scale1,integer_vif_scale2,integer_vif_scale3,psnr_y,psnr_cb,psnr_cr,float_ssim,vmaf,
0,0.811918,0.787005,0.712048,0.802888,0.857221,0.000000,0.000000,0.225682,0.565828,0.664105,0.731485,26.188754,41.752893,40.244087,0.902704,34.231713,
1,0.821034,0.793771,0.705601,0.801422,0.881194,16.591864,16.591864,0.217430,0.555041,0.655010,0.725415,26.227843,41.680908,40.229296,0.898234,50.790141,
2,0.825804,0.798060,0.704147,0.811426,0.881158,16.889307,16.889307,0.211279,0.551173,0.654331,0.726836,26.258776,41.599409,40.179450,0.895509,52.046034,
3,0.816274,0.802152,0.706175,0.805115,0.865605,17.208652,17.233095,0.205288,0.546213,0.651195,0.723084,26.219648,41.556522,40.144974,0.892739,50.434512,
4,0.823163,0.799123,0.703018,0.809912,0.877836,17.082445,17.208652,0.199065,0.539549,0.645768,0.719178,26.156117,41.479465,40.132750,0.888794,51.359080,
5,0.817935,0.796703,0.703763,0.805529,0.870390,17.082445,17.082445,0.191886,0.529930,0.637610,0.712331,26.049994,41.426564,40.093935,0.883997,50.078180,
6,0.814792,0.796385,0.702804,0.805418,0.864598,17.114357,17.114357,0.185140,0.522025,0.630705,0.707311,25.958887,41.317255,40.018867,0.878628,49.306144,
7,0.815119,0.791663,0.694367,0.789682,0.875098,17.302368,17.302368,0.179329,0.515954,0.625606,0.701806,25.852967,41.188283,39.967828,0.875222,49.257291,
8,0.806553,0.789549,0.691510,0.786202,0.863199,17.499975,17.499975,0.174699,0.509907,0.620742,0.697618,25.773123,41.020050,39.916850,0.870905,47.741536,
9,0.809113,0.787340,0.687887,0.796000,0.864899,17.615280,17.615280,0.171241,0.503867,0.615697,0.691669,25.683378,40.753545,39.815526,0.867828,48.004993,
10,0.804172,0.782391,0.682486,0.781376,0.866378,17.882057,17.882057,0.168011,0.497742,0.610243,0.688083,25.609938,40.496419,39.741427,0.864797,47.216617,
11,0.802079,0.779880,0.674551,0.790740,0.861494,18.137678,18.137678,0.165518,0.492718,0.606628,0.684962,25.586219,40.219737,39.656530,0.863044,46.950603,
