Frame,integer_adm2,integer_adm_scale0,integer_adm_scale1,integer_adm_scale2,integer_adm_scale3,integer_motion2,integer_motion,integer_vif_scale0,integer_vif_scale1,integer_vif_scale2,integer_vif_scale3,psnr_y,psnr_cb,psnr_cr,float_ssim,vmaf,
0,0.938458,0.878142,0.884659,0.939032,0.970528,0.000000,0.000000,0.500310,0.878376,0.921775,0.947660,34.482008,50.747914,49.451311,0.989345,76.941386,
1,0.943866,0.882806,0.893844,0.941372,0.978442,6.983675,7.045128,0.500434,0.872953,0.915513,0.943283,34.287068,50.821206,49.579473,0.989326,85.599689,
2,0.934450,0.881468,0.868788,0.930342,0.972970,6.983675,6.983675,0.497151,0.870097,0.913247,0.940829,34.067175,50.883537,49.594675,0.989135,83.325929,
3,0.940422,0.869171,0.860638,0.955751,0.975635,6.991966,7.009639,0.495561,0.869519,0.913445,0.940672,33.913590,50.841743,49.527470,0.988886,84.597676,
4,0.933744,0.874101,0.862631,0.931636,0.975733,6.928384,6.991966,0.492069,0.866013,0.910260,0.936706,33.793673,50.868422,49.453142,0.987607,82.685284,
5,0.932852,0.868652,0.884969,0.934411,0.962823,6.912791,6.928384,0.492998,0.868522,0.912928,0.939910,33.951807,50.780749,49.426374,0.987888,82.830232,
6,0.934243,0.870404,0.872686,0.936438,0.968911,6.879338,6.912791,0.490163,0.864324,0.909957,0.939214,33.770773,50.891566,49.401576,0.987524,82.920032,
7,0.930292,0.871861,0.854415,0.933291,0.970664,6.870182,6.879338,0.493218,0.866771,0.911820,0.939018,33.799290,50.828147,49.284433,0.988251,82.129989,
8,0.931977,0.869866,0.869911,0.933723,0.968183,6.766628,6.870182,0.493005,0.866491,0.911515,0.939976,33.629593,50.732843,49.302814,0.988574,82.433181,
9,0.930087,0.868829,0.867792,0.930181,0.968917,6.687890,6.766628,0.492660,0.866929,0.912367,0.941756,33.538790,50.735082,49.254822,0.988493,82.117657,
10,0.930456,0.872094,0.864506,0.931147,0.968577,6.659928,6.687890,0.491913,0.867056,0.912628,0.939849,33.420765,50.794270,49.234378,0.988126,82.029309,
11,0.931274,0.868402,0.867944,0.929355,0.967257,6.600376,6.659928,0.492053,0.868037,0.913523,0.941098,33.336755,50.683499,49.134870,0.988038,82.267344,
12,0.930844,0.872625,0.871255,0.927968,0.965502,6.561606,6.600376,0.491950,0.866569,0.912505,0.942147,33.144146,50.728451,49.191093,0.987803,82.174128,
13,0.929226,0.872572,0.863229,0.929118,0.967643,6.548626,6.561606,0.492434,0.867848,0.913793,0.940799,33.068496,50.626018,49.030888,0.987887,81.764891,
