Frame,integer_adm2,integer_adm_scale0,integer_adm_scale1,integer_adm_scale2,integer_adm_scale3,integer_motion2,integer_motion,integer_vif_scale0,integer_vif_scale1,integer_vif_scale2,integer_vif_scale3,psnr_y,psnr_cb,psnr_cr,float_ssim,vmaf,
0,0.879602,0.852760,0.771183,0.858761,0.935782,0.000000,0.000000,0.340610,0.677199,0.764856,0.823596,29.998120,43.534511,45.446290,0.950160,52.415727,
1,0.866653,0.841375,0.785907,0.840020,0.918248,5.797264,5.801813,0.335931,0.674161,0.762485,0.823099,29.882807,43.512216,45.443548,0.951116,55.918450,
2,0.873279,0.856734,0.770053,0.857032,0.924966,5.737253,5.797264,0.341892,0.675645,0.763971,0.823126,29.961108,43.433280,45.401192,0.951731,57.155876,
3,0.867349,0.840082,0.775254,0.849894,0.923350,5.695109,5.737253,0.338049,0.669989,0.758527,0.818302,29.728550,43.343230,45.354962,0.949808,55.552047,
4,0.861135,0.843245,0.774002,0.839010,0.915476,5.642086,5.695109,0.339002,0.667451,0.756419,0.820595,29.717865,43.255313,45.322818,0.950254,54.404741,
5,0.856427,0.849379,0.750367,0.843157,0.904700,5.639929,5.642086,0.338022,0.664046,0.753502,0.813252,29.607540,43.162576,45.265724,0.948721,52.969462,
6,0.858752,0.841474,0.763212,0.848636,0.902415,5.639929,5.639929,0.338173,0.660762,0.750961,0.813520,29.605674,43.139713,45.225262,0.947804,53.400509,
7,0.864704,0.840634,0.779376,0.860580,0.903072,5.590699,5.643731,0.337426,0.660634,0.751609,0.815925,29.627107,43.068507,45.143988,0.948922,54.682138,
8,0.860519,0.847046,0.789147,0.835370,0.902584,5.574171,5.590699,0.339416,0.659820,0.749598,0.813307,29.618097,43.015199,45.069633,0.947767,53.627096,
9,0.854583,0.840511,0.776839,0.834821,0.897923,5.546178,5.574171,0.340750,0.659365,0.749434,0.811655,29.616557,42.903510,44.927074,0.946313,52.340735,
10,0.862953,0.852829,0.774603,0.838052,0.915303,5.508441,5.546178,0.342392,0.659983,0.750205,0.813621,29.655459,42.843855,44.863426,0.947510,54.053801,
11,0.862124,0.848283,0.765707,0.843129,0.910063,5.494241,5.508441,0.342104,0.659910,0.749648,0.812355,29.661019,42.763651,44.830982,0.947608,53.782225,
12,0.865083,0.846800,0.793816,0.850569,0.903979,5.446420,5.494241,0.345057,0.660355,0.749462,0.811978,29.719763,42.720918,44.783890,0.947127,54.257916,
13,0.856543,0.856172,0.774997,0.850847,0.889195,5.443459,5.446420,0.346480,0.659127,0.748369,0.810480,29.706799,42.656435,44.709316,0.947051,52.484114,
14,0.860139,0.851062,0.773662,0.847209,0.899462,5.442838,5.443459,0.349499,0.662059,0.752320,0.817248,29.851983,42.590730,44.621170,0.947384,53.685545,
15,0.864982,0.849766,0.769654,0.858554,0.908301,5.371826,5.442838,0.350707,0.660449,0.749883,0.813905,29.790212,42.490139,44.569366,0.947126,54.274512,
16,0.862034,0.853766,0.784761,0.844148,0.907539,5.334189,5.371826,0.351217,0.661194,0.751344,0.815434,29.802697,42.497664,44.549515,0.947589,53.796236,
17,0.868055,0.856778,0.772046,0.836527,0.927921,5.325671,5.334189,0.352190,0.661219,0.751891,0.818667,29.860052,42.447966,44.533005,0.947090,55.178761,
18,0.877039,0.847782,0.783191,0.853304,0.932218,5.297075,5.325671,0.354613,0.663455,0.753536,0.816834,30.020000,42.429226,44.506660,0.949384,56.791391,
19,0.874513,0.858836,0.783049,0.846258,0.928798,5.273653,5.297075,0.355979,0.664400,0.754390,0.818457,29.972975,42.392097,44.517867,0.949534,56.390087,
20,0.879092,0.852403,0.789244,0.865061,0.927067,5.257620,5.273653,0.358489,0.664650,0.753654,0.815164,29.905983,42.364974,44.494707,0.949258,57.016053,
21,0.874466,0.850872,0.801990,0.852830,0.919780,5.257620,5.257620,0.362104,0.665284,0.752662,0.813831,29.883694,42.334523,44.485099,0.949200,55.974174,
22,0.862564,0.857986,0.778472,0.853965,0.901053,5.248329,5.271173,0.363751,0.666210,0.752851,0.816547,29.814871,42.273254,44.458887,0.948977,53.815389,
23,0.877632,0.853805,0.781392,0.867051,0.926973,5.238702,5.248329,0.364300,0.665357,0.751634,0.813446,29.557452,42.258869,44.482454,0.948751,56.507361,
24,0.876774,0.859214,0.783888,0.824881,0.943775,5.181328,5.238702,0.364353,0.662597,0.747125,0.806889,29.313198,42.242593,44.510824,0.947597,55.749786,
25,0.872577,0.850119,0.788002,0.848368,0.924713,5.103095,5.181328,0.362401,0.658435,0.742021,0.803599,28.939614,42.259768,44.556879,0.945542,54.546849,
26,0.863270,0.850109,0.777844,0.848185,0.910378,5.071641,5.103095,0.364070,0.655924,0.738377,0.795197,28.654568,42.311011,44.606919,0.945054,52.091160,
27,0.851506,0.846630,0.764005,0.823990,0.906099,5.047813,5.071641,0.363083,0.651325,0.733069,0.790244,28.234609,42.357492,44.699925,0.943640,49.405683,
28,0.856100,0.850322,0.780990,0.844401,0.896645,5.026258,5.047813,0.363524,0.649626,0.730120,0.787564,27.961306,42.338653,44.751020,0.941457,50.031976,
29,0.853330,0.851363,0.763498,0.846854,0.893104,4.982765,5.026258,0.364000,0.646592,0.725851,0.781703,27.602685,42.331453,44.805676,0.939736,49.009106,
30,0.867089,0.849460,0.765820,0.839776,0.927776,4.973920,4.982765,0.362596,0.640457,0.719096,0.775173,27.275482,42.341695,44.833668,0.937545,51.128844,
31,0.866853,0.854997,0.768228,0.826960,0.932173,4.937879,4.973920,0.363727,0.639135,0.716152,0.768592,26.979782,42.346858,44.871174,0.936893,50.569686,
32,0.858658,0.843715,0.775871,0.844369,0.902925,4.908464,4.937879,0.361899,0.632661,0.708676,0.761658,26.690212,42.379798,44.897496,0.934363,48.446985,
33,0.869358,0.850678,0.778759,0.847932,0.926163,4.865105,4.908464,0.362957,0.630446,0.704188,0.755265,26.404974,42.380088,44.914646,0.932263,49.958882,
34,0.856214,0.849384,0.773225,0.827959,0.909128,4.776589,4.865105,0.361780,0.623232,0.695442,0.743901,26.066794,42.381876,44.957150,0.929843,46.571764,
35,0.855465,0.860369,0.764436,0.832377,0.902392,4.692843,4.776589,0.362137,0.619339,0.689944,0.742177,25.840219,42.415755,44.982344,0.927744,46.161846,
36,0.861097,0.850372,0.771037,0.862971,0.900097,4.605239,4.692843,0.361179,0.613736,0.683849,0.734581,25.581439,42.457853,45.025930,0.925684,46.622291,
37,0.862062,0.855122,0.774459,0.820526,0.922333,4.499221,4.605239,0.360266,0.609035,0.678200,0.725837,25.328030,42.434188,45.046924,0.923821,46.121910,
38,0.865169,0.856190,0.754809,0.810072,0.937313,4.432563,4.499221,0.359491,0.604223,0.673078,0.722819,25.088417,42.480062,45.080738,0.922915,46.418467,
39,0.854042,0.854500,0.758823,0.852941,0.891881,4.363967,4.432563,0.357343,0.596564,0.663600,0.712256,24.763901,42.484233,45.063206,0.919646,43.576163,
40,0.864767,0.854493,0.763772,0.827563,0.927968,4.321387,4.363967,0.355158,0.590412,0.656861,0.703712,24.482490,42.499766,45.037475,0.916104,45.003503,
41,0.841347,0.851698,0.752021,0.796418,0.899719,4.271943,4.321387,0.353751,0.583420,0.648760,0.696992,24.189864,42.496241,45.013837,0.912554,40.203863,
42,0.845136,0.854018,0.765078,0.845997,0.874138,4.213109,4.271943,0.352232,0.579543,0.645538,0.698217,23.986714,42.509135,45.025895,0.910745,40.915177,
43,0.850483,0.848040,0.752358,0.829977,0.901725,4.173831,4.213109,0.350522,0.575895,0.640767,0.690357,23.718248,42.473826,44.981412,0.908941,41.396424,
44,0.859903,0.845773,0.756292,0.799299,0.936430,4.110559,4.173831,0.350103,0.572728,0.638037,0.687878,23.457604,42.447045,44.932626,0.906164,42.929045,
45,0.855104,0.843338,0.752119,0.806306,0.919179,4.036709,4.110559,0.348838,0.569790,0.633755,0.678281,23.194367,42.471614,44.925677,0.903849,41.422370,
46,0.847567,0.847184,0.747778,0.822362,0.901438,3.970023,4.036709,0.348162,0.566623,0.628315,0.672842,22.990052,42.434710,44.895969,0.902273,39.641941,
47,0.836112,0.838445,0.746061,0.806911,0.891514,3.909158,3.970023,0.346103,0.559654,0.620370,0.660908,22.833546,42.528849,45.028094,0.900218,36.875552,
48,0.814678,0.845976,0.735860,0.775588,0.860938,3.882864,3.909158,0.345390,0.557739,0.618667,0.660105,22.773983,42.499099,45.050995,0.899944,33.001058,
49,0.834179,0.853136,0.743244,0.839355,0.861167,3.832922,3.882864,0.345289,0.556217,0.616448,0.662192,22.744071,42.493621,45.046434,0.900459,36.519578,
50,0.849902,0.857416,0.731600,0.824984,0.907202,3.774036,3.832922,0.345244,0.553422,0.613408,0.653789,22.726112,42.452800,45.058209,0.900215,38.850466,
51,0.852419,0.852709,0.757600,0.762346,0.930908,3.741651,3.774036,0.344324,0.550759,0.609935,0.651457,22.698109,42.414377,45.028790,0.899224,39.144367,
52,0.846112,0.848801,0.757908,0.808840,0.900562,3.721970,3.741651,0.343359,0.548541,0.608066,0.649421,22.665307,42.410122,45.044550,0.899288,37.900630,
53,0.844316,0.848167,0.753440,0.827362,0.889946,3.721970,3.721970,0.341278,0.544527,0.603235,0.643732,22.614168,42.364723,45.018993,0.898562,37.294503,
54,0.828282,0.848864,0.730066,0.776245,0.892391,3.720708,3.745495,0.339289,0.540886,0.598811,0.638717,22.587250,42.350269,44.992873,0.897958,34.203641,
55,0.810054,0.858014,0.758170,0.774838,0.838533,3.719527,3.720708,0.337377,0.536504,0.593739,0.633262,22.579041,42.312111,44.966462,0.897225,30.765036,
56,0.825190,0.852088,0.768434,0.796731,0.856809,3.696090,3.719527,0.338156,0.535610,0.591947,0.628043,22.597838,42.265927,44.959308,0.897532,33.115739,
57,0.836688,0.854213,0.751096,0.804333,0.881857,3.686292,3.696090,0.336979,0.530826,0.586550,0.622976,22.631840,42.295636,44.939708,0.895188,34.902513,
58,0.824308,0.857128,0.741626,0.758722,0.880540,3.657555,3.686292,0.335865,0.527395,0.583393,0.617912,22.695872,42.224909,44.932157,0.893131,32.492544,
59,0.838749,0.857029,0.734196,0.796166,0.898324,3.642612,3.657555,0.335748,0.526368,0.581398,0.617564,22.753177,42.189591,44.927051,0.892078,34.981814,
60,0.838166,0.860288,0.774690,0.782518,0.893967,3.594871,3.642612,0.334782,0.524554,0.579747,0.616608,22.876435,42.185715,44.953582,0.891574,34.806374,
61,0.821716,0.856744,0.740599,0.771907,0.872541,3.562596,3.594871,0.333929,0.523238,0.578678,0.612843,23.001060,42.196426,45.006133,0.891292,31.742359,
62,0.800664,0.857417,0.752170,0.738691,0.842149,3.539684,3.562596,0.333891,0.519784,0.574073,0.608241,23.091654,42.201383,45.043938,0.890260,27.898342,
63,0.791841,0.858678,0.735991,0.774417,0.804181,3.516453,3.539684,0.332742,0.518445,0.573172,0.609706,23.177211,42.242322,45.082563,0.889655,26.471829,
64,0.806618,0.859287,0.745493,0.784275,0.826189,3.516453,3.516453,0.332470,0.517395,0.571531,0.604841,23.247880,42.266542,45.107638,0.888923,28.765071,
65,0.830739,0.859774,0.726709,0.750324,0.901462,6.793580,7.012497,0.342525,0.527012,0.580664,0.616517,23.557144,42.370131,45.299201,0.894039,36.493029,
66,0.797549,0.865413,0.762668,0.729009,0.829844,6.750390,6.793580,0.354407,0.535509,0.587534,0.623742,23.832903,42.411541,45.412873,0.897260,30.869917,
67,0.814818,0.866268,0.739782,0.741700,0.867061,6.750390,6.750390,0.365280,0.547916,0.599142,0.631958,24.032545,42.606788,45.605681,0.900037,34.152406,
68,0.790356,0.865196,0.732140,0.728692,0.829650,6.673370,6.872050,0.377672,0.559039,0.609603,0.642820,24.120387,42.754465,45.807350,0.901483,30.212541,
69,0.805702,0.856948,0.717565,0.742914,0.858663,6.673370,6.673370,0.384364,0.564837,0.617509,0.651685,24.241370,42.582695,45.547232,0.902915,33.340585,
70,0.790197,0.866492,0.720403,0.761905,0.810990,6.692152,6.692152,0.394312,0.570967,0.618777,0.650595,24.336500,42.683933,45.714602,0.907204,30.425418,
71,0.810408,0.869081,0.743671,0.764353,0.846331,6.995350,6.995350,0.402584,0.582968,0.631008,0.660488,24.421610,42.909731,45.867878,0.910198,34.768329,
72,0.813230,0.863636,0.731888,0.793699,0.843850,7.186638,7.193729,0.407048,0.592338,0.642886,0.671660,24.484165,42.894163,45.733734,0.912382,36.096252,
73,0.812253,0.866018,0.760212,0.779831,0.835229,7.103333,7.186638,0.416961,0.602703,0.653248,0.682646,24.530867,42.796294,45.691856,0.917430,36.413935,
74,0.817034,0.874411,0.746126,0.777820,0.854748,7.041670,7.103333,0.424679,0.607840,0.658458,0.689302,24.561678,42.661740,45.428209,0.919156,37.577105,
75,0.805812,0.870385,0.756696,0.804589,0.804435,6.555976,7.041670,0.429141,0.610290,0.659684,0.687673,24.545468,42.681102,45.462211,0.920263,34.921325,
76,0.824522,0.865269,0.765346,0.795305,0.856085,6.176174,6.555976,0.438320,0.610519,0.657263,0.683974,24.583678,42.865025,45.846852,0.921376,37.653864,
77,0.780435,0.869920,0.757728,0.780627,0.759712,5.866905,6.176174,0.449146,0.613170,0.656926,0.681355,24.697595,42.961304,46.060437,0.922164,29.138018,
78,0.811411,0.875540,0.765795,0.763288,0.839297,5.632843,5.866905,0.455195,0.614864,0.657496,0.681480,24.922972,42.909789,46.274154,0.923988,34.434213,
79,0.785515,0.874038,0.755443,0.751736,0.788354,5.137009,5.632843,0.464436,0.619984,0.661716,0.681983,25.154742,43.105215,46.746820,0.924393,29.246888,
80,0.797248,0.877073,0.744705,0.758304,0.815772,4.948643,5.137009,0.471252,0.622768,0.661595,0.682644,25.279257,43.042505,46.923945,0.924406,31.116246,
81,0.809473,0.878587,0.754607,0.723216,0.865808,4.919174,4.948643,0.473364,0.622870,0.662024,0.681454,25.338647,42.937968,46.984533,0.924890,33.234701,
82,0.777976,0.882445,0.758382,0.734001,0.777957,4.866440,4.919174,0.471673,0.618588,0.656757,0.675016,25.323257,42.683567,46.742477,0.924107,27.154462,
83,0.822060,0.881681,0.778596,0.763371,0.856922,4.675593,4.866440,0.470017,0.613547,0.651255,0.670822,25.274997,42.609312,47.028113,0.923319,34.650129,
84,0.816523,0.880621,0.768916,0.780351,0.835998,4.490539,4.675593,0.470655,0.611129,0.648834,0.666964,25.421603,42.464025,47.233051,0.922283,33.236478,
85,0.818134,0.881539,0.778174,0.781114,0.836571,4.371513,4.490539,0.473157,0.611595,0.649018,0.666371,25.616099,42.303627,47.085903,0.920868,33.360548,
86,0.819568,0.883846,0.765810,0.795137,0.833888,4.335452,4.371513,0.474158,0.609748,0.647555,0.665980,25.705205,42.109297,47.092439,0.921322,33.561616,
87,0.828383,0.883901,0.767814,0.829988,0.832138,4.327724,4.335452,0.475673,0.607574,0.642773,0.660426,25.753219,41.942331,47.089199,0.922313,34.798873,
88,0.846510,0.880024,0.785009,0.814554,0.880090,4.284836,4.327724,0.478123,0.609514,0.645216,0.665540,25.771657,41.844954,47.248480,0.925018,38.362250,
89,0.833745,0.880213,0.765130,0.805270,0.865360,4.284836,4.284836,0.485801,0.616871,0.652645,0.674129,25.803588,41.773217,47.470915,0.928425,36.476521,
