Frame,integer_adm2,integer_adm_scale0,integer_adm_scale1,integer_adm_scale2,integer_adm_scale3,integer_motion2,integer_motion,integer_vif_scale0,integer_vif_scale1,integer_vif_scale2,integer_vif_scale3,psnr_y,psnr_cb,psnr_cr,float_ssim,vmaf,
0,0.914290,0.860371,0.851488,0.918661,0.954410,0.000000,0.000000,0.473874,0.851259,0.893423,0.921786,31.076174,51.668791,53.390629,0.981431,68.942839,
1,0.920200,0.854573,0.854320,0.920895,0.966029,12.407818,13.508815,0.471135,0.846980,0.892227,0.920807,30.164657,51.959596,53.786926,0.980273,83.692215,
2,0.916219,0.854705,0.846792,0.921958,0.958744,12.329887,12.407818,0.467638,0.845062,0.891090,0.921455,30.258069,52.032997,53.815806,0.980411,82.787406,
3,0.921551,0.860075,0.864460,0.928623,0.961286,12.329887,12.329887,0.465060,0.843734,0.890302,0.918944,29.849121,51.945971,53.746144,0.980074,83.684193,
4,0.928519,0.863000,0.863990,0.929313,0.972849,12.348595,12.352600,0.459111,0.841944,0.888820,0.917171,28.899176,51.825164,53.770515,0.976698,84.970688,
5,0.926479,0.871088,0.868497,0.922566,0.968975,12.334287,12.348595,0.453199,0.840859,0.887550,0.914440,27.974096,51.535216,53.687666,0.973711,84.273480,
6,0.934616,0.876534,0.874170,0.934524,0.977224,12.296078,12.334287,0.449257,0.839764,0.886248,0.913058,27.303316,51.220817,53.591888,0.971659,85.786245,
7,0.935211,0.883885,0.875596,0.943640,0.968464,12.235303,12.296078,0.444805,0.838529,0.885046,0.912263,26.772881,51.030214,53.549127,0.969838,85.744217,
8,0.935382,0.884652,0.867910,0.937839,0.977768,12.097554,12.235303,0.437554,0.829328,0.876018,0.904196,26.420325,50.973883,53.619102,0.967262,84.707894,
9,0.934338,0.885167,0.868978,0.933628,0.974672,12.002632,12.097554,0.433713,0.823915,0.870882,0.897472,26.155001,50.907288,53.630593,0.965690,83.711586,
10,0.918835,0.880294,0.859310,0.932732,0.944881,11.942759,12.002632,0.426552,0.812453,0.859423,0.886568,25.870043,50.916371,53.710724,0.963165,79.226372,
11,0.911063,0.876030,0.851609,0.918919,0.940354,11.856527,11.942759,0.417679,0.799581,0.846862,0.872963,25.604920,50.962226,53.842156,0.960958,76.135101,
12,0.902024,0.872362,0.843095,0.902436,0.933405,11.808665,11.856527,0.406958,0.783813,0.831200,0.858253,25.370203,51.023894,53.970162,0.958771,72.698755,
13,0.892331,0.871427,0.838272,0.885386,0.926305,11.808665,11.808665,0.397749,0.768549,0.815952,0.843970,25.047842,50.980842,54.003631,0.956156,69.286262,
14,0.889158,0.870099,0.828370,0.884403,0.922772,11.645013,11.848859,0.387968,0.752969,0.800325,0.830451,24.767376,50.825981,54.012324,0.952647,67.133650,
15,0.882728,0.871401,0.838531,0.876175,0.908380,10.951494,11.645013,0.378715,0.738205,0.784924,0.814379,24.504104,50.815020,54.058246,0.949457,63.686155,
16,0.879688,0.873196,0.829597,0.886751,0.896941,10.434786,10.951494,0.368474,0.727814,0.775045,0.805491,24.220069,50.696908,54.058228,0.946947,61.762672,
17,0.881929,0.874675,0.830750,0.881400,0.905901,9.972231,10.434786,0.361635,0.722239,0.769199,0.796692,23.959222,50.629727,53.964378,0.943886,61.041892,
18,0.880211,0.876844,0.831720,0.888978,0.894900,9.572116,9.972231,0.355818,0.716358,0.761893,0.786935,23.574232,50.453897,53.882428,0.940466,59.504098,
19,0.881518,0.878542,0.832000,0.880874,0.903256,9.294877,9.572116,0.351175,0.714069,0.758491,0.782768,23.287601,50.535504,53.716790,0.936382,59.141870,
20,0.878161,0.882999,0.834416,0.884979,0.890122,9.074121,9.294877,0.348480,0.714845,0.759804,0.785294,23.020903,50.420366,53.645411,0.931574,58.463435,
21,0.888316,0.889420,0.847166,0.885185,0.907208,9.074121,9.074121,0.340007,0.702774,0.746152,0.769255,22.709757,50.320055,53.670396,0.932448,59.156729,
22,0.885469,0.891343,0.846546,0.883515,0.900710,9.165306,9.188148,0.330158,0.681918,0.722923,0.744659,22.353200,50.210726,53.552407,0.924717,56.722346,
23,0.877003,0.888309,0.842850,0.874387,0.889331,8.850328,9.165306,0.323205,0.675805,0.717054,0.740568,22.075518,50.206695,53.503888,0.917743,54.447889,
24,0.879312,0.886589,0.837256,0.889113,0.887655,8.418307,8.850328,0.321072,0.675362,0.716588,0.740657,21.810228,50.238112,53.532776,0.914940,54.470538,
25,0.873966,0.887471,0.828848,0.873973,0.888774,8.120798,8.418307,0.317455,0.671339,0.711873,0.732504,21.540996,50.283150,53.508031,0.912662,52.579941,
26,0.844369,0.877305,0.816637,0.819065,0.864055,8.120798,8.120798,0.311610,0.663623,0.703976,0.724254,21.274698,50.265984,53.569824,0.911336,46.370598,
27,0.811623,0.874727,0.817651,0.847862,0.767754,10.608816,10.648186,0.306899,0.653629,0.693232,0.712778,21.023576,50.264649,53.649149,0.907117,41.918762,
28,0.819113,0.874344,0.814225,0.802854,0.815991,10.563730,10.608816,0.304016,0.644776,0.683967,0.704621,20.799121,50.229193,53.638058,0.902278,42.711650,
29,0.830909,0.875246,0.810502,0.843207,0.817396,10.406370,10.563730,0.301003,0.635499,0.673981,0.694417,20.538229,50.199919,53.625983,0.896990,44.077683,
30,0.817745,0.869349,0.809945,0.782387,0.831767,10.143631,10.406370,0.299741,0.627837,0.664041,0.682643,20.195811,50.133322,53.560512,0.892307,40.661495,
31,0.797902,0.870059,0.807764,0.836361,0.748223,9.912587,10.143631,0.295857,0.623376,0.659033,0.676684,19.944769,50.045042,53.705914,0.889210,36.517372,
32,0.822352,0.866581,0.813144,0.796483,0.831671,9.547379,9.912587,0.295843,0.618048,0.653517,0.670943,19.631293,49.829199,53.580170,0.884938,40.243468,
33,0.832714,0.866218,0.811009,0.818096,0.841912,9.547379,9.547379,0.293164,0.611131,0.645094,0.663743,19.399621,49.638017,53.423776,0.881284,41.690408,
34,0.815450,0.874451,0.815569,0.798139,0.808904,9.387583,9.785890,0.297715,0.602165,0.634512,0.648448,19.095639,49.440358,53.239793,0.876315,37.537237,
35,0.796355,0.878025,0.816838,0.809413,0.754402,9.129802,9.387583,0.295235,0.592415,0.623301,0.635852,18.849651,49.215466,53.047140,0.871091,33.247610,
36,0.817605,0.878573,0.814504,0.801081,0.810722,9.011225,9.129802,0.295918,0.587419,0.616592,0.628425,18.611244,49.055438,52.926126,0.866973,36.485534,
37,0.819356,0.881232,0.808528,0.794888,0.821648,8.784377,9.011225,0.296513,0.584040,0.611841,0.623358,18.356707,48.899543,52.736498,0.863454,36.303881,
38,0.814900,0.882330,0.809877,0.804731,0.801886,8.784377,8.784377,0.298513,0.582273,0.609216,0.617511,18.087872,48.620217,52.573837,0.859589,35.204573,
39,0.801090,0.886681,0.810883,0.800866,0.767785,7.972756,9.235571,0.305249,0.578548,0.604051,0.610288,17.709259,48.300255,52.379685,0.855524,31.615273,
40,0.824307,0.888335,0.814973,0.802321,0.823048,7.868968,7.972756,0.301138,0.573435,0.596899,0.601983,17.548131,48.157493,52.430829,0.853556,35.191587,
41,0.820875,0.890086,0.816389,0.802574,0.812380,7.868968,7.868968,0.299139,0.567769,0.589992,0.592506,17.375210,47.999590,52.254130,0.850406,34.148140,
42,0.797118,0.894417,0.805196,0.789243,0.765153,7.513846,8.023026,0.305315,0.565052,0.585521,0.587534,17.176083,47.811894,52.040660,0.848589,29.415164,
43,0.789436,0.896070,0.807067,0.781171,0.752745,7.333189,7.513846,0.299994,0.560529,0.579033,0.578660,17.104235,47.751806,51.930695,0.846437,27.564175,
44,0.788192,0.895900,0.798176,0.782077,0.750110,7.155237,7.333189,0.296330,0.558353,0.575736,0.575005,17.036572,47.690577,51.745288,0.845335,27.047144,
45,0.786093,0.895970,0.791358,0.784181,0.746942,6.983999,7.155237,0.296615,0.557914,0.573630,0.570944,16.984644,47.654631,51.701892,0.845093,26.332514,
46,0.755713,0.896837,0.782517,0.752398,0.696241,6.750858,6.983999,0.297015,0.559854,0.573543,0.567982,16.921996,47.595000,51.823886,0.845255,20.875002,
47,0.704909,0.900602,0.766996,0.738409,0.586488,6.564716,6.750858,0.292181,0.559809,0.571521,0.564383,16.920265,47.577335,51.812796,0.844765,12.406964,
48,0.698028,0.896641,0.744416,0.668694,0.618206,5.643672,6.564716,0.288857,0.557464,0.567720,0.559157,16.873857,47.531213,51.747882,0.844269,10.347185,
49,0.657857,0.895343,0.748791,0.711278,0.508745,5.643672,5.643672,0.291736,0.559391,0.569723,0.562483,16.913471,47.529774,51.707600,0.844308,4.334818,
50,0.749452,0.910697,0.770963,0.749080,0.673602,5.719766,5.719766,0.292138,0.560919,0.571931,0.563622,16.957723,47.537248,51.735275,0.844338,18.707697,
51,0.799593,0.909411,0.784872,0.786378,0.772339,5.798277,5.798277,0.292326,0.562628,0.573689,0.565461,17.001609,47.518296,51.723414,0.844460,27.197622,
52,0.797491,0.907160,0.788904,0.778338,0.772701,5.875175,5.875175,0.294270,0.564915,0.575909,0.567962,17.041661,47.481592,51.725670,0.844302,26.990201,
53,0.821270,0.904111,0.796148,0.811291,0.808501,6.451986,6.451986,0.300818,0.570869,0.584065,0.579127,17.139592,47.526545,51.813362,0.845230,32.085651,
54,0.827252,0.905039,0.805690,0.821410,0.811823,6.678644,6.678644,0.301501,0.573085,0.585925,0.580467,17.197069,47.625741,51.845141,0.845500,33.387254,
55,0.840143,0.902130,0.814872,0.842434,0.826913,7.160026,7.160026,0.303873,0.571228,0.585383,0.582214,17.097897,47.651714,50.155049,0.843199,36.213327,
56,0.844377,0.898553,0.819586,0.838750,0.839472,7.510810,7.510810,0.306670,0.572029,0.586696,0.583501,16.869147,47.681738,48.597405,0.839378,37.350753,
57,0.821833,0.891723,0.807320,0.823678,0.801375,7.927210,7.927210,0.307666,0.571888,0.586909,0.583267,16.700145,47.598819,48.040021,0.835239,33.760491,
58,0.821475,0.887893,0.804181,0.804032,0.818336,8.367795,8.367795,0.308295,0.569567,0.584686,0.583677,16.653487,47.445355,47.421399,0.830637,34.143460,
59,0.798620,0.886230,0.784058,0.796622,0.776902,9.254148,9.254148,0.309759,0.568230,0.586660,0.591084,16.534027,47.314280,47.161363,0.825596,31.402690,
60,0.793592,0.882938,0.784136,0.792424,0.768907,9.935744,9.935744,0.308619,0.571474,0.592233,0.598786,16.554356,47.247992,46.991503,0.822979,31.559325,
61,0.783409,0.880263,0.782761,0.780968,0.754760,10.318456,10.318456,0.303625,0.568850,0.592035,0.600594,16.623308,47.150627,46.732437,0.817934,30.326999,
62,0.791726,0.876832,0.790260,0.795620,0.763371,10.582746,10.582746,0.299459,0.568278,0.592870,0.602036,16.647372,47.076068,46.717585,0.812393,32.114701,
63,0.808702,0.878483,0.797692,0.797633,0.798910,10.779964,10.779964,0.293861,0.566545,0.591998,0.601890,16.706395,47.008267,46.603796,0.807755,35.281028,
64,0.821509,0.876313,0.799702,0.818697,0.815421,11.003723,11.003723,0.288716,0.565795,0.591522,0.601075,16.826385,46.888786,46.457907,0.802143,37.721247,
65,0.822373,0.873250,0.821240,0.835980,0.798480,11.480569,11.480569,0.284657,0.560537,0.588477,0.601273,16.846846,46.796225,46.335657,0.795655,38.396129,
