Frame,integer_adm2,integer_adm_scale0,integer_adm_scale1,integer_adm_scale2,integer_adm_scale3,integer_motion2,integer_motion,integer_vif_scale0,integer_vif_scale1,integer_vif_scale2,integer_vif_scale3,psnr_y,psnr_cb,psnr_cr,float_ssim,vmaf,
0,0.840681,0.833462,0.725074,0.823282,0.909108,0.000000,0.000000,0.205876,0.687922,0.787236,0.843283,33.808498,40.681180,42.471690,0.949311,47.761763,
1,0.846702,0.831556,0.740964,0.836620,0.911573,7.762849,7.768182,0.202171,0.685462,0.786369,0.843444,33.733281,40.633630,42.393782,0.947010,56.569616,
2,0.852588,0.836529,0.745286,0.836422,0.920439,7.762849,7.762849,0.205572,0.685721,0.786262,0.838543,32.924370,40.556811,42.363871,0.945356,57.351429,
3,0.852167,0.840702,0.745116,0.831701,0.920765,7.810633,7.810633,0.209504,0.686982,0.785227,0.837144,32.156517,40.466593,42.299066,0.944212,57.158074,
4,0.852247,0.842666,0.747950,0.825246,0.922489,7.833696,7.833696,0.212711,0.687820,0.784793,0.835845,31.528588,40.304651,42.229694,0.943846,57.071225,
5,0.848299,0.843221,0.743010,0.816428,0.920964,7.836051,7.841486,0.214864,0.689041,0.783204,0.833532,30.823653,40.163733,42.162564,0.943058,56.085686,
6,0.843940,0.839280,0.730589,0.810296,0.922850,7.836051,7.836051,0.216225,0.687567,0.780708,0.830810,30.020457,40.043920,42.089611,0.941900,54.999514,
7,0.846679,0.836783,0.739472,0.824300,0.916916,7.843045,7.843045,0.216959,0.689216,0.781351,0.831129,29.234691,39.898571,42.007763,0.941037,55.551830,
8,0.844417,0.840457,0.734843,0.822677,0.911596,7.856415,7.856415,0.218082,0.689369,0.780797,0.829274,28.314839,39.705177,41.954585,0.938978,54.982443,
9,0.838460,0.835615,0.736116,0.803458,0.911780,7.905064,7.905064,0.218450,0.687891,0.778420,0.825461,27.419527,39.448001,41.861106,0.936520,53.577520,
10,0.840095,0.836888,0.735957,0.814338,0.909204,7.926861,7.926861,0.218804,0.688409,0.777130,0.824241,26.697342,39.302097,41.822188,0.935151,53.784389,
11,0.839992,0.837230,0.741214,0.816717,0.903897,7.942485,7.942485,0.220409,0.687846,0.775556,0.822918,26.098618,39.153250,41.771789,0.933676,53.643575,
12,0.838331,0.838426,0.737126,0.804654,0.908634,7.990937,7.990937,0.222547,0.686841,0.773519,0.819748,25.578455,38.995750,41.670659,0.932875,53.103985,
13,0.838654,0.836571,0.741740,0.809461,0.904016,10.940157,10.940157,0.216168,0.677507,0.766326,0.812775,25.877328,38.769639,41.444506,0.931627,55.414964,
14,0.837746,0.840264,0.744124,0.808839,0.900460,11.075745,11.075745,0.208143,0.665263,0.756447,0.804689,26.210208,38.646700,41.233576,0.928807,54.733244,
15,0.835901,0.845607,0.735647,0.811572,0.896292,11.162107,11.162107,0.199408,0.652859,0.747023,0.796229,26.493878,38.595051,41.016478,0.925923,53.845023,
16,0.834946,0.843109,0.742367,0.809186,0.892941,11.299191,11.299191,0.190823,0.641697,0.737628,0.788588,26.741278,38.532240,40.787455,0.924644,53.229294,
17,0.832707,0.845193,0.744769,0.804325,0.889810,11.388949,11.388949,0.183491,0.634961,0.732774,0.783516,26.811023,38.250223,40.607780,0.921788,52.564913,
18,0.833180,0.846722,0.740583,0.799355,0.894756,11.461263,11.461263,0.176526,0.629270,0.727759,0.778602,26.267188,37.679916,40.427474,0.917114,52.388605,
19,0.829546,0.844771,0.743547,0.799368,0.885717,11.528228,11.528228,0.168358,0.621276,0.721802,0.771722,25.332479,36.977776,40.293734,0.911202,51.344003,
20,0.837290,0.843230,0.742449,0.816561,0.894487,12.431089,12.431089,0.163455,0.621312,0.722313,0.772632,24.025744,36.083070,40.295401,0.905459,53.675469,
21,0.837904,0.841487,0.745519,0.818795,0.893157,12.363127,12.504102,0.159063,0.622798,0.724746,0.776070,22.578038,35.052101,40.159117,0.899006,54.001990,
22,0.833980,0.840940,0.738320,0.813957,0.890510,11.966819,12.363127,0.153609,0.626729,0.728154,0.778819,21.079895,33.940998,39.960102,0.891760,53.148832,
23,0.835045,0.842291,0.734681,0.818412,0.891492,11.724854,11.966819,0.147950,0.630685,0.732566,0.784406,20.108142,33.119522,39.659334,0.884399,53.566532,
24,0.841829,0.842409,0.733711,0.825676,0.903640,11.605483,11.724854,0.143715,0.635642,0.738037,0.787758,19.792768,32.845111,39.265225,0.878355,55.037276,
25,0.837087,0.840495,0.734555,0.824747,0.893313,11.449697,11.605483,0.139629,0.640127,0.741511,0.789558,19.877214,32.829259,38.820686,0.872462,54.177906,
26,0.833990,0.836371,0.730216,0.808249,0.901857,11.047605,11.449697,0.136147,0.643530,0.742349,0.788802,20.054027,33.016628,38.447967,0.869522,53.187798,
27,0.835076,0.837791,0.731014,0.811445,0.901340,10.412297,11.047605,0.129589,0.643633,0.742300,0.787963,20.108316,33.185475,38.289386,0.865432,52.800166,
28,0.834914,0.839126,0.728983,0.813137,0.902386,9.844169,10.412297,0.121853,0.643654,0.741051,0.784458,19.990566,33.262066,38.073760,0.860833,52.047483,
29,0.837382,0.844937,0.738057,0.808034,0.905366,9.212750,9.844169,0.115863,0.644618,0.740300,0.779774,19.755269,33.276739,37.953361,0.854162,51.646804,
30,0.842049,0.856996,0.757137,0.814004,0.897184,8.473138,9.212750,0.108875,0.644795,0.738695,0.777331,19.474979,33.270100,37.814134,0.846170,51.691650,
31,0.852836,0.871227,0.772062,0.827295,0.901611,7.876460,8.473138,0.103154,0.649550,0.740950,0.776946,19.192206,33.250940,37.733306,0.840884,53.175544,
32,0.864298,0.884935,0.792074,0.840169,0.906394,6.777524,7.876460,0.099016,0.660338,0.747055,0.779174,18.913244,33.225223,37.681157,0.837298,54.521293,
33,0.871588,0.891727,0.806125,0.852568,0.906534,6.455804,6.777524,0.097033,0.673247,0.757392,0.787050,18.680073,33.208667,37.658634,0.834537,56.254403,
34,0.871389,0.893836,0.808602,0.851497,0.904343,6.121892,6.455804,0.096064,0.687829,0.768622,0.795888,18.454705,33.196519,37.612644,0.831239,56.639573,
35,0.876343,0.897640,0.816567,0.859729,0.905501,5.758650,6.121892,0.094638,0.701821,0.778856,0.801551,18.223665,33.182033,37.578593,0.826674,57.778989,
36,0.880106,0.898918,0.826591,0.865657,0.905313,5.416292,5.758650,0.090434,0.707243,0.782037,0.801640,17.999587,33.116878,37.557025,0.820523,58.251868,
37,0.880733,0.900703,0.835677,0.879037,0.892791,3.823529,5.416292,0.085911,0.713829,0.786802,0.803465,17.783538,33.047155,37.570534,0.815188,57.089133,
38,0.884496,0.901704,0.828947,0.867852,0.912725,3.823529,3.823529,0.088426,0.713240,0.785298,0.804246,17.919910,33.116605,37.565099,0.819232,57.807376,
39,0.875916,0.904783,0.828176,0.862968,0.892004,3.960349,3.960349,0.090685,0.711054,0.785178,0.803518,18.065941,33.188514,37.564636,0.823258,56.244551,
40,0.877481,0.898248,0.824393,0.856176,0.906152,4.093673,4.093673,0.093436,0.708817,0.784332,0.805254,18.215583,33.262508,37.568045,0.827431,56.765212,
41,0.871077,0.894888,0.803916,0.848707,0.906443,4.230452,4.230452,0.095876,0.704986,0.781120,0.803652,18.365567,33.324584,37.582789,0.831389,55.489218,
42,0.869453,0.893931,0.796965,0.845750,0.906983,4.377828,4.377828,0.096279,0.698192,0.775323,0.799503,18.522504,33.344014,37.586592,0.834732,54.945261,
43,0.871630,0.895098,0.796583,0.850347,0.909651,4.516795,4.516795,0.098000,0.690267,0.770203,0.796081,18.681803,33.370887,37.580272,0.837356,55.195426,
44,0.866473,0.891583,0.796254,0.845255,0.902454,4.686707,4.686707,0.098579,0.682659,0.762723,0.790085,18.836408,33.405885,37.568051,0.839677,53.853525,
45,0.860880,0.886101,0.783116,0.835075,0.904519,4.842431,4.842431,0.099090,0.672417,0.752665,0.782912,18.999312,33.407481,37.543646,0.841616,52.317706,
46,0.859774,0.882406,0.784537,0.837593,0.900178,5.009903,5.009903,0.100684,0.664311,0.745776,0.775669,19.165845,33.408183,37.487998,0.843146,51.708327,
47,0.854356,0.876393,0.778503,0.828769,0.898614,5.216315,5.216315,0.102151,0.654956,0.737987,0.770025,19.337439,33.381691,37.434915,0.844913,50.432478,
48,0.851869,0.873606,0.769486,0.827507,0.898401,5.428855,5.428855,0.103750,0.646939,0.731100,0.765094,19.522190,33.366964,37.344727,0.846960,49.774403,
49,0.847294,0.868896,0.773461,0.820970,0.891443,5.602901,5.602901,0.106568,0.643451,0.729216,0.764324,19.708306,33.350351,37.235388,0.850145,49.016370,
50,0.849941,0.863371,0.772034,0.829731,0.895423,5.784584,5.784584,0.109254,0.639627,0.727357,0.763410,19.893379,33.297810,37.108202,0.853473,49.607121,
51,0.849133,0.861360,0.758971,0.822807,0.906515,6.014423,6.014423,0.111962,0.637057,0.727221,0.766122,20.075174,33.236560,36.941519,0.857395,49.850270,
52,0.845513,0.856175,0.754315,0.828442,0.898013,6.289391,6.289391,0.115872,0.632680,0.725822,0.767774,20.253455,33.146717,36.752868,0.861247,49.532629,
53,0.845822,0.853406,0.757309,0.821257,0.903339,6.615100,6.615100,0.120599,0.630942,0.725063,0.766085,20.418035,33.068255,36.637292,0.864993,49.760356,
