Frame,integer_adm2,integer_adm_scale0,integer_adm_scale1,integer_adm_scale2,integer_adm_scale3,integer_motion2,integer_motion,integer_vif_scale0,integer_vif_scale1,integer_vif_scale2,integer_vif_scale3,psnr_y,psnr_cb,psnr_cr,float_ssim,vmaf,
0,0.922081,0.875550,0.851852,0.901496,0.968324,0.000000,0.000000,0.523101,0.875747,0.916308,0.941215,33.697025,59.204712,57.812641,0.987832,72.730733,
1,0.919058,0.879034,0.835473,0.920222,0.958771,7.181047,7.181047,0.499935,0.857932,0.901488,0.929988,33.494307,58.887687,57.410284,0.985090,79.006001,
2,0.909672,0.877957,0.843815,0.891120,0.957618,7.662993,7.662993,0.500931,0.848641,0.894753,0.922572,32.494732,58.554526,57.085623,0.984825,76.753357,
3,0.914571,0.870205,0.832872,0.897435,0.965181,8.088711,8.133783,0.503709,0.848929,0.895990,0.922933,31.892917,58.035349,56.701576,0.984714,78.316208,
4,0.911032,0.871656,0.846892,0.903163,0.949977,8.088711,8.088711,0.507557,0.845933,0.892572,0.921316,31.629992,57.585049,56.376771,0.983275,77.322079,
5,0.915914,0.868505,0.852877,0.892337,0.967461,8.100272,8.100272,0.500901,0.832385,0.879686,0.906715,30.949968,56.759727,56.237435,0.981132,76.797510,
6,0.917127,0.877427,0.840028,0.911908,0.955910,8.342228,8.342228,0.485938,0.807324,0.851607,0.876659,29.933243,55.619580,54.580160,0.971344,74.132534,
7,0.918038,0.870001,0.850681,0.919224,0.953059,8.493761,8.493761,0.463200,0.772420,0.815632,0.840420,29.095579,55.022833,54.958598,0.959265,70.789641,
8,0.912620,0.871541,0.849520,0.902548,0.954745,8.704618,8.704618,0.442935,0.743238,0.786610,0.810951,28.157994,54.364285,54.217444,0.948948,67.100589,
9,0.913452,0.868297,0.849693,0.903981,0.954065,10.146342,10.146342,0.425365,0.712660,0.752826,0.775537,22.181147,53.703560,54.068097,0.934664,65.588311,
10,0.911473,0.872224,0.854233,0.897427,0.951504,11.849405,11.849405,0.406150,0.684002,0.721548,0.741657,20.034904,50.690166,52.956365,0.919615,64.091920,
11,0.902740,0.866929,0.853660,0.884051,0.943635,13.157662,13.179166,0.389293,0.662062,0.701791,0.722780,20.252569,50.542572,52.198468,0.906264,62.183183,
12,0.889847,0.866093,0.848624,0.877846,0.918158,12.917137,13.157662,0.383136,0.656716,0.695974,0.716752,20.381790,50.009237,51.636594,0.897301,58.998150,
13,0.878587,0.860746,0.818947,0.881324,0.903052,12.917137,12.917137,0.379488,0.654116,0.694432,0.716453,20.468965,49.561029,51.535963,0.894726,56.806530,
14,0.859334,0.849052,0.815062,0.866131,0.874318,14.607062,14.607062,0.365327,0.642989,0.685401,0.706790,20.674524,49.188268,50.864710,0.889240,54.104341,
15,0.849672,0.838706,0.818833,0.843835,0.867379,14.815222,14.863239,0.360181,0.640759,0.685839,0.711719,20.858652,49.155627,50.553030,0.884197,52.811996,
16,0.833604,0.845260,0.806771,0.837404,0.838632,13.889277,14.815222,0.358683,0.642354,0.691333,0.720853,20.942844,49.175651,50.011588,0.883381,49.576629,
17,0.839500,0.840745,0.808181,0.827442,0.860503,13.170157,13.889277,0.356378,0.640190,0.687248,0.716192,21.016743,49.449302,53.344112,0.881269,49.658660,
