Frame,integer_adm2,integer_adm_scale0,integer_adm_scale1,integer_adm_scale2,integer_adm_scale3,integer_motion2,integer_motion,integer_vif_scale0,integer_vif_scale1,integer_vif_scale2,integer_vif_scale3,psnr_y,psnr_cb,psnr_cr,float_ssim,vmaf,
0,0.860171,0.843559,0.813250,0.857189,0.881837,0.000000,0.000000,0.339676,0.716153,0.786508,0.829458,27.149315,44.967735,42.676626,0.952449,49.292465,
1,0.857435,0.843953,0.806757,0.863606,0.874110,23.791348,23.791348,0.335359,0.704493,0.775299,0.820742,26.696817,44.917059,42.665648,0.949050,70.445254,
2,0.858635,0.841632,0.803983,0.853253,0.883396,24.055098,24.148569,0.326087,0.695982,0.768970,0.814634,26.459723,44.895254,42.647900,0.947118,70.342588,
3,0.858539,0.848869,0.807620,0.857341,0.877593,24.030121,24.055098,0.320579,0.692356,0.768135,0.814793,26.424025,44.729929,42.539050,0.945766,70.309325,
4,0.857878,0.847403,0.808070,0.846000,0.882960,24.030121,24.030121,0.312647,0.683143,0.760345,0.808785,26.336923,44.455068,42.415532,0.942688,69.637732,
5,0.858500,0.846943,0.803397,0.846713,0.886417,24.539776,24.767736,0.308165,0.678804,0.756593,0.804481,26.396991,44.257584,42.320139,0.939826,69.786033,
6,0.860185,0.843578,0.797644,0.846621,0.893775,24.101292,24.539776,0.302743,0.674786,0.754253,0.801325,26.473063,44.232206,42.397994,0.938718,69.536237,
7,0.858534,0.843624,0.797914,0.848675,0.888554,24.101292,24.101292,0.299065,0.674279,0.754050,0.802477,26.413990,43.737873,42.239696,0.936312,69.289580,
8,0.856006,0.840366,0.798709,0.846634,0.885786,23.307125,24.115944,0.296090,0.672282,0.751947,0.800495,26.331268,43.382980,42.176900,0.935635,68.042928,
9,0.857829,0.840918,0.800179,0.843306,0.891419,22.736897,23.307125,0.294356,0.676389,0.756425,0.805577,26.370768,43.076876,42.229915,0.936426,68.356113,
10,0.858006,0.842411,0.804037,0.839315,0.893103,22.243080,22.736897,0.294022,0.676876,0.756587,0.804951,26.506278,42.729942,42.362552,0.936161,67.966474,
11,0.850598,0.837362,0.803869,0.834394,0.882307,21.534262,22.243080,0.290791,0.677257,0.757427,0.804936,26.572600,42.398055,42.373423,0.934919,66.021468,
12,0.852939,0.839322,0.794894,0.833877,0.892572,20.936974,21.534262,0.289713,0.677255,0.756974,0.803684,26.618703,42.030504,42.250839,0.934138,65.893213,
13,0.850743,0.838297,0.794722,0.827678,0.890058,20.360085,20.936974,0.285745,0.675938,0.756907,0.804481,26.586992,41.730147,42.163723,0.932995,65.068267,
14,0.848903,0.836413,0.791434,0.832144,0.883492,20.044306,20.360085,0.283252,0.672750,0.754471,0.802121,26.447764,41.398756,41.934088,0.930638,64.271788,
15,0.841761,0.835487,0.786588,0.828375,0.871795,19.783175,20.044306,0.279397,0.667741,0.749868,0.799047,26.373616,41.000430,41.933532,0.929529,62.431700,
16,0.832900,0.835262,0.789188,0.812080,0.861366,19.347723,19.783175,0.274145,0.658168,0.740350,0.789929,26.122703,40.408903,41.666548,0.926209,59.672988,
17,0.831678,0.833674,0.775097,0.813652,0.862985,18.816851,19.347723,0.268962,0.648635,0.730723,0.781534,25.756669,39.802044,41.447903,0.921715,58.330293,
18,0.828797,0.831288,0.770115,0.810174,0.860379,18.349283,18.816851,0.264208,0.640549,0.722600,0.772367,25.343311,39.298798,41.266434,0.916096,56.723402,
19,0.812825,0.831516,0.765063,0.804883,0.830351,18.011206,18.349283,0.259172,0.631818,0.714640,0.764387,24.938444,38.700776,41.110276,0.910767,52.917264,
20,0.820861,0.831470,0.762500,0.787841,0.859538,17.743807,18.011206,0.252861,0.621530,0.702625,0.750789,24.460911,38.127561,40.844699,0.905159,53.203454,
21,0.804624,0.823422,0.753990,0.774973,0.836722,17.536304,17.743807,0.247036,0.611706,0.693941,0.742407,24.028570,37.870738,40.771040,0.900014,49.518697,
22,0.791070,0.826209,0.749836,0.763279,0.813306,17.260489,17.536304,0.242811,0.603484,0.684315,0.731436,23.617026,37.792731,40.841558,0.895530,46.127595,
23,0.802564,0.824853,0.744234,0.769647,0.838126,17.202209,17.260489,0.237635,0.593679,0.673958,0.720448,23.157667,37.707922,40.972814,0.889760,47.449656,
24,0.777991,0.822815,0.738003,0.763574,0.788596,17.030291,17.202209,0.231489,0.580738,0.661186,0.708233,22.662009,37.657997,41.096502,0.883800,42.238951,
25,0.751136,0.821595,0.729998,0.754746,0.737211,16.518337,17.030291,0.226270,0.571754,0.652237,0.698091,22.133286,37.729730,41.188014,0.877056,36.610381,
26,0.782534,0.821700,0.726931,0.749404,0.812501,16.061386,16.518337,0.219597,0.562215,0.643736,0.688689,21.707727,37.768822,41.243901,0.871460,41.163146,
27,0.775094,0.823415,0.728054,0.768369,0.782586,15.456026,16.061386,0.214876,0.554114,0.635462,0.680612,21.274652,37.707243,41.054125,0.867676,38.936658,
28,0.764601,0.819740,0.726118,0.756925,0.766768,14.742597,15.456026,0.210119,0.550595,0.634794,0.682770,21.197778,37.680240,40.929626,0.865770,36.696010,
29,0.792145,0.819137,0.714820,0.764378,0.833624,13.207825,14.742597,0.204307,0.539755,0.626066,0.676887,21.049920,37.585978,40.816288,0.861571,39.867555,
30,0.804423,0.819188,0.718153,0.777341,0.857767,12.953017,13.207825,0.200418,0.534631,0.620519,0.669826,20.448891,37.488872,40.756726,0.858078,41.435038,
31,0.815674,0.817729,0.714398,0.770410,0.895776,12.769147,12.953017,0.196281,0.527561,0.613251,0.663966,19.868294,37.355859,40.665339,0.853965,42.968375,
32,0.811286,0.817086,0.716433,0.783486,0.879381,12.619445,12.769147,0.192503,0.521134,0.605825,0.654005,19.331326,37.132395,40.493437,0.849454,41.579607,
33,0.817284,0.817062,0.715374,0.770471,0.903043,12.619445,12.619445,0.187558,0.511679,0.594356,0.640733,18.829299,36.759281,40.228990,0.844171,41.984160,
34,0.818788,0.818894,0.712917,0.769003,0.904627,15.293147,15.293147,0.191675,0.520052,0.602323,0.650374,18.985368,36.583251,40.147692,0.846814,44.989070,
35,0.810590,0.816024,0.711681,0.783957,0.875895,15.868685,15.868685,0.194150,0.524874,0.606487,0.653018,19.190259,36.388176,40.009671,0.848699,44.156078,
36,0.792935,0.816766,0.714371,0.778894,0.828609,16.336422,16.336422,0.195983,0.530263,0.611921,0.657238,19.449581,36.225173,39.913308,0.850490,41.698586,
37,0.805554,0.813385,0.717445,0.778590,0.856694,16.870502,16.870502,0.200003,0.537143,0.619305,0.666367,19.772902,36.186289,39.952331,0.854046,44.783565,
38,0.797349,0.815468,0.725779,0.780932,0.831579,17.455601,17.455601,0.203218,0.542465,0.624716,0.670117,20.121612,36.266147,40.113938,0.858492,44.036476,
39,0.803563,0.814208,0.727127,0.777844,0.846225,17.990156,17.990156,0.206501,0.548530,0.630461,0.679352,20.578542,36.476948,40.396697,0.861308,46.033690,
