synthesizer,camera_position,scene,pose_traces,QP,numGroup,psnr_mean,ssim_mean,vmaf_mean,TMIV_encoding_time,TMIV_decoding_time,x265_encoding_time,x265_decoding_time,bitrate
AdditiveSynthesizer,6x6,ArchVizInterior,pose0,20,1,23.530866233333334,0.9205615222222221,52.716545233333335,615.145,1797.985,3.632216691970825,2.807490587234497,14857104
AdditiveSynthesizer,6x6,ArchVizInterior,pose1,20,1,23.743126844444447,0.9096040111111111,58.7966583,615.145,2280.389,3.632216691970825,2.807490587234497,14857104
AdditiveSynthesizer,6x6,ArchVizInterior,pose2,20,1,23.722138644444442,0.8819872444444444,62.34267741111111,615.145,1945.481,3.632216691970825,2.807490587234497,14857104
AdditiveSynthesizer,6x6,ArchVizInterior,pose3,20,1,26.632425255555553,0.9460859666666668,61.080740566666655,615.145,1818.078,3.632216691970825,2.807490587234497,14857104
AdditiveSynthesizer,6x6,ArchVizInterior,pose4,20,1,22.694456533333334,0.9058378555555557,55.981589822222226,615.145,1984.659,3.632216691970825,2.807490587234497,14857104
AdditiveSynthesizer,6x6,ArchVizInterior,pose5,20,1,25.56474487777778,0.9482216555555556,68.03705883333333,615.145,1846.794,3.632216691970825,2.807490587234497,14857104
AdditiveSynthesizer,6x6,ArchVizInterior,pose6,20,1,27.517387411111113,0.9616114555555555,71.91354613333331,615.145,2481.157,3.632216691970825,2.807490587234497,14857104
AdditiveSynthesizer,6x6,ArchVizInterior,pose7,20,1,22.013117455555555,0.8789928555555556,59.99190728888889,615.145,2127.137,3.632216691970825,2.807490587234497,14857104
AdditiveSynthesizer,6x6,ArchVizInterior,pose8,20,1,23.163742788888886,0.9143576777777778,27.880669122222216,615.145,1423.685,3.632216691970825,2.807490587234497,14857104
AdditiveSynthesizer,6x6,ArchVizInterior,pose9,20,1,26.730341844444443,0.9438075888888889,60.63642934444443,615.145,2220.685,3.632216691970825,2.807490587234497,14857104
ViewWeightingSynthesizer,6x6,ArchVizInterior,pose0,20,1,23.873401522222224,0.9292553000000001,46.56957703333333,615.145,2445.505,3.632216691970825,2.807490587234497,14857104
ViewWeightingSynthesizer,6x6,ArchVizInterior,pose1,20,1,22.932322711111112,0.8858179555555556,47.67203605555556,615.145,2955.746,3.632216691970825,2.807490587234497,14857104
ViewWeightingSynthesizer,6x6,ArchVizInterior,pose2,20,1,23.165569722222223,0.8628955444444445,53.2863725,615.145,2762.281,3.632216691970825,2.807490587234497,14857104
ViewWeightingSynthesizer,6x6,ArchVizInterior,pose3,20,1,27.438559877777777,0.9575318555555556,52.02096711111112,615.145,2478.302,3.632216691970825,2.807490587234497,14857104
ViewWeightingSynthesizer,6x6,ArchVizInterior,pose4,20,1,22.58524138888889,0.9067406000000001,48.06690917777778,615.145,2685.84,3.632216691970825,2.807490587234497,14857104
ViewWeightingSynthesizer,6x6,ArchVizInterior,pose5,20,1,25.740044711111114,0.9489342,58.847551422222224,615.145,2754.777,3.632216691970825,2.807490587234497,14857104
ViewWeightingSynthesizer,6x6,ArchVizInterior,pose6,20,1,27.14134064444445,0.9549145111111111,62.63918114444445,615.145,2950.335,3.632216691970825,2.807490587234497,14857104
ViewWeightingSynthesizer,6x6,ArchVizInterior,pose7,20,1,22.032539355555556,0.8727415111111112,54.3664949,615.145,2825.464,3.632216691970825,2.807490587234497,14857104
ViewWeightingSynthesizer,6x6,ArchVizInterior,pose8,20,1,23.026819999999997,0.9107805999999999,23.851756155555556,615.145,2283.607,3.632216691970825,2.807490587234497,14857104
ViewWeightingSynthesizer,6x6,ArchVizInterior,pose9,20,1,26.68209015555556,0.9448528111111112,53.349130633333324,615.145,2911.507,3.632216691970825,2.807490587234497,14857104
AdditiveSynthesizer,6x6,ArchVizInterior,pose0,36,1,23.459558666666666,0.9154234444444445,48.544288355555565,687.701,1805.708,3.031940460205078,2.2063279151916504,3744912
AdditiveSynthesizer,6x6,ArchVizInterior,pose1,36,1,23.24721443333333,0.8869077555555556,52.865196600000004,687.701,2275.492,3.031940460205078,2.2063279151916504,3744912
AdditiveSynthesizer,6x6,ArchVizInterior,pose2,36,1,23.32128658888889,0.8648558000000001,56.67016033333333,687.701,1946.315,3.031940460205078,2.2063279151916504,3744912
AdditiveSynthesizer,6x6,ArchVizInterior,pose3,36,1,26.741749622222223,0.941862911111111,54.86171594444444,687.701,1823.59,3.031940460205078,2.2063279151916504,3744912
AdditiveSynthesizer,6x6,ArchVizInterior,pose4,36,1,22.52544558888889,0.8980896333333334,51.12261191111111,687.701,1992.476,3.031940460205078,2.2063279151916504,3744912
AdditiveSynthesizer,6x6,ArchVizInterior,pose5,36,1,25.21218152222222,0.9411004555555554,62.787703122222226,687.701,1822.433,3.031940460205078,2.2063279151916504,3744912
AdditiveSynthesizer,6x6,ArchVizInterior,pose6,36,1,27.0941672,0.9533836111111113,65.41806124444444,687.701,2482.421,3.031940460205078,2.2063279151916504,3744912
AdditiveSynthesizer,6x6,ArchVizInterior,pose7,36,1,21.85814012222222,0.8690669333333332,55.543569711111104,687.701,2094.728,3.031940460205078,2.2063279151916504,3744912
