scene,pose_traces,si,ti
ArchVizInterior,pose0,44.63365726995266,26.026577035373368
ArchVizInterior,pose1,76.53382852728191,28.531465370048778
ArchVizInterior,pose2,80.87095119455401,46.83511120273745
ArchVizInterior,pose3,44.07733606157439,21.76223631672083
ArchVizInterior,pose4,51.66940888588926,24.3930017043385
ArchVizInterior,pose5,50.905683620593805,29.253890097593686
ArchVizInterior,pose6,52.98914426505608,28.649586350630255
ArchVizInterior,pose7,62.98945160508421,40.41115722651085
ArchVizInterior,pose8,52.38873988272763,24.64432920555413
ArchVizInterior,pose9,56.56856692344925,20.494567394342578
LightroomInteriorDayLight,pose0,35.30981976051668,25.645445016015223
LightroomInteriorDayLight,pose1,36.49749044759849,13.172537659479628
LightroomInteriorDayLight,pose2,32.305869528691375,18.9434976682265
LightroomInteriorDayLight,pose3,33.524807099690335,15.510126715022333
LightroomInteriorDayLight,pose4,37.175912055284336,18.218069772718735
LightroomInteriorDayLight,pose5,33.808285633276014,21.87070934513819
LightroomInteriorDayLight,pose6,35.15300840859158,19.33450555411188
LightroomInteriorDayLight,pose7,39.12911863577142,28.134169072489815
LightroomInteriorDayLight,pose8,31.76891753224865,17.345116371505142
LightroomInteriorDayLight,pose9,35.37271508239368,12.806525975622987
office,pose0,55.96025854683229,32.87188208705652
office,pose1,63.88478017583487,22.39551439790841
office,pose2,68.55545557121206,33.975227041669136
office,pose3,55.72191125011215,25.242835576853647
office,pose4,58.406734683298396,24.138445356544086
office,pose5,60.06610077442268,32.986948284465996
office,pose6,62.95323251880889,29.95378932010716
office,pose7,70.04633504101974,41.54229694530661
office,pose8,59.90180949026937,30.22648513117271
office,pose9,66.38549728867791,22.46367513029284
RealisticRendering,pose0,62.34017506029804,39.85475641543387
RealisticRendering,pose1,75.3925061420279,28.113157935671037
RealisticRendering,pose2,68.72185463085685,39.92889366342189
RealisticRendering,pose3,58.42139149577659,27.39774818480614
RealisticRendering,pose4,71.92997269585483,31.895910233594513
RealisticRendering,pose5,64.15017076395054,40.656157649801415
RealisticRendering,pose6,73.04592792426617,39.36940869020717
RealisticRendering,pose7,72.76398334240088,48.259502018101976
RealisticRendering,pose8,55.24494485192088,29.063450960038608
RealisticRendering,pose9,65.18888262457261,22.64407581280754
XoioBerlinFlat,pose0,50.397674326759756,29.56227283969071
XoioBerlinFlat,pose1,76.5209709490993,26.751667552339125
XoioBerlinFlat,pose2,60.432775359816596,26.387921242394203
XoioBerlinFlat,pose3,50.10565187624783,21.393497556441172
XoioBerlinFlat,pose4,63.87255644928126,26.40392756592153
XoioBerlinFlat,pose5,50.7347356432355,27.494886422406417
XoioBerlinFlat,pose6,62.27103881175219,28.18600601451211
XoioBerlinFlat,pose7,66.0102245441443,35.63875056877159
XoioBerlinFlat,pose8,37.12065386836074,19.603307208359137
XoioBerlinFlat,pose9,60.946920867658264,20.6452849807115
