pose_traces,x,y,z
pose0,10,0.000000,0.000000
pose0,10,-0.242851,0.132442
pose0,10,-0.485045,0.265074
pose0,10,-0.728165,0.398216
pose0,10,-0.971797,0.532195
pose0,10,-1.216412,0.667275
pose0,10,-1.462688,0.803839
pose0,10,-1.710058,0.942144
pose0,10,-1.960093,1.081494
pose0,10,-2.211552,1.223366
pose0,10,-2.465872,1.368023
pose0,10,-2.722633,1.515847
pose0,10,-2.982467,1.667244
pose0,10,-3.246044,1.821592
pose0,10,-3.514072,1.980402
pose0,10,-3.755174,2.150893
pose0,10,-4.000327,2.325291
pose0,10,-4.250342,2.505247
pose0,10,-4.505572,2.689967
pose0,10,-4.766287,2.880836
pose0,10,-5.032169,3.079164
pose0,10,-5.305274,3.283849
pose0,10,-5.586051,3.497185
pose0,10,-5.873676,3.718441
pose0,10,-6.171210,3.950199
pose0,10,-6.477055,4.191311
pose0,10,-6.793238,4.444598
pose0,10,-7.121499,4.708149
pose0,10,-7.461718,4.987803
pose0,10,-6.917934,4.960478
pose0,10,-6.401015,4.938880
pose0,10,-5.969217,4.922006
pose0,10,-5.554641,4.909884
pose0,10,-5.158006,4.904050
pose0,10,-4.775707,4.904203
pose0,10,-4.407426,4.909522
pose0,10,-4.050037,4.920994
pose0,10,-3.703031,4.936167
pose0,10,-3.365320,4.956702
pose0,10,-3.035377,4.982541
pose0,10,-2.712910,5.013665
pose0,10,-2.396571,5.050091
pose0,10,-2.085085,5.090756
pose0,10,-1.778565,5.138566
pose0,10,-1.446547,5.201723
pose0,10,-1.117548,5.270506
pose0,10,-0.792668,5.343989
pose0,10,-0.468593,5.424608
pose0,10,-0.146454,5.510403
pose0,10,0.174821,5.602159
pose0,10,0.496251,5.700829
pose0,10,0.818940,5.806815
pose0,10,1.142654,5.918099
pose0,10,1.467483,6.037595
pose0,10,1.795750,6.165888
pose0,10,2.128239,6.302180
pose0,10,2.463682,6.445907
pose0,10,2.804997,6.600479
pose0,10,3.151345,6.764407
