Frame,integer_adm2,integer_adm_scale0,integer_adm_scale1,integer_adm_scale2,integer_adm_scale3,integer_motion2,integer_motion,integer_vif_scale0,integer_vif_scale1,integer_vif_scale2,integer_vif_scale3,psnr_y,psnr_cb,psnr_cr,float_ssim,vmaf,
0,0.905224,0.858423,0.809543,0.885929,0.959747,0.000000,0.000000,0.405120,0.769071,0.833337,0.871072,33.370286,49.572220,51.191106,0.970095,61.809731,
1,0.900207,0.857165,0.819794,0.886944,0.950507,9.840235,9.868446,0.402714,0.762344,0.826308,0.870627,33.167379,49.371407,51.171771,0.969582,71.182704,
2,0.900683,0.858233,0.814590,0.886754,0.953261,9.840235,9.840235,0.399776,0.748499,0.811771,0.856490,32.601050,49.225771,50.931954,0.967457,69.866092,
3,0.894975,0.858708,0.822584,0.889212,0.941903,10.194942,10.230738,0.400605,0.741828,0.807692,0.849837,31.990650,49.081447,50.632041,0.963626,68.509995,
4,0.900716,0.863418,0.826629,0.878538,0.952961,10.005884,10.194942,0.406671,0.741553,0.808805,0.850915,31.632207,48.904247,50.350472,0.961797,69.586842,
5,0.899226,0.862537,0.824942,0.885335,0.947981,9.860010,10.005884,0.413162,0.741939,0.807969,0.849143,31.166356,48.730944,49.987315,0.960885,68.973608,
6,0.903272,0.863401,0.818343,0.892180,0.953831,9.770249,9.860010,0.413566,0.733615,0.797582,0.834625,30.369835,48.544014,49.861366,0.959172,68.403779,
7,0.897227,0.857942,0.820166,0.874948,0.951193,9.639603,9.770249,0.432989,0.769642,0.830233,0.859419,29.604627,48.439465,49.679324,0.967942,69.631284,
8,0.900739,0.858128,0.822192,0.890822,0.949623,9.639603,9.639603,0.421818,0.747336,0.804864,0.834431,28.931839,48.277110,49.459831,0.959743,67.878750,
9,0.900893,0.861660,0.821658,0.883084,0.953780,9.740275,9.740275,0.406438,0.722423,0.779046,0.808414,28.205949,48.165258,49.292570,0.949499,65.600635,
10,0.905433,0.858297,0.813807,0.889043,0.962663,10.396397,10.396397,0.386078,0.687460,0.739247,0.764603,24.342595,47.953658,49.141542,0.939782,63.415396,
11,0.899152,0.852927,0.811319,0.888050,0.954121,11.973532,11.973532,0.373778,0.670648,0.720768,0.744865,19.922161,46.621614,48.449299,0.927310,62.143341,
12,0.898481,0.850671,0.811051,0.883130,0.954681,13.363067,13.579889,0.358684,0.646207,0.694338,0.717043,19.930856,46.395232,48.211336,0.917161,61.219257,
13,0.893319,0.849014,0.803657,0.880781,0.946351,13.135932,13.363067,0.347112,0.631049,0.678608,0.703211,20.130905,46.192785,47.970477,0.909178,58.991167,
14,0.847289,0.833908,0.784031,0.847249,0.873291,11.385189,13.135932,0.348030,0.636315,0.684344,0.707570,20.306114,45.766636,47.638700,0.908920,48.908057,
15,0.836036,0.831324,0.775384,0.821255,0.869281,11.114673,11.385189,0.349686,0.642211,0.691083,0.716380,20.283841,45.465660,47.368634,0.909444,47.123263,
16,0.841028,0.821803,0.752152,0.817294,0.894878,10.968925,11.114673,0.350049,0.645098,0.695092,0.720664,20.346931,45.210245,47.361031,0.912344,48.224832,
17,0.828520,0.825557,0.756195,0.813830,0.865173,10.607688,10.968925,0.351831,0.649250,0.698959,0.723879,20.824725,45.220076,47.545719,0.913365,45.749242,
18,0.837523,0.820757,0.756720,0.827886,0.877932,10.296166,10.607688,0.357778,0.657246,0.708033,0.733061,21.162191,45.312534,48.081908,0.916728,47.777969,
19,0.831120,0.821806,0.748637,0.809362,0.878894,10.064746,10.296166,0.363914,0.664021,0.715243,0.741594,21.400810,45.363541,48.121101,0.920899,46.930575,
20,0.816355,0.820027,0.737114,0.804274,0.852385,9.908385,10.064746,0.368146,0.665389,0.718898,0.745812,21.629769,45.416856,48.165898,0.924450,44.318379,
