Frame,integer_adm2,integer_adm_scale0,integer_adm_scale1,integer_adm_scale2,integer_adm_scale3,integer_motion2,integer_motion,integer_vif_scale0,integer_vif_scale1,integer_vif_scale2,integer_vif_scale3,psnr_y,psnr_cb,psnr_cr,float_ssim,vmaf,
0,0.846617,0.835724,0.732802,0.825375,0.918358,0.000000,0.000000,0.206245,0.696441,0.795059,0.845882,33.843835,40.781666,42.741954,0.951109,49.196125,
1,0.849509,0.837124,0.746451,0.811546,0.919980,8.159022,8.338335,0.202377,0.698474,0.796168,0.844625,33.848254,40.847000,42.719983,0.950121,57.735684,
2,0.851768,0.841033,0.761290,0.829339,0.915492,8.096985,8.159022,0.202065,0.698689,0.794250,0.841947,33.695990,40.874310,42.735515,0.950111,57.871415,
3,0.848041,0.839254,0.768573,0.807033,0.918403,8.096985,8.096985,0.203372,0.698744,0.794005,0.843334,33.214082,40.734431,42.548320,0.947640,57.230635,
4,0.859338,0.839331,0.753995,0.852154,0.921432,8.080259,8.099654,0.206480,0.701480,0.794935,0.842622,32.544060,40.614091,42.306251,0.946514,59.341835,
5,0.849998,0.839064,0.750084,0.815068,0.918895,8.026373,8.080259,0.209224,0.704115,0.794946,0.839200,31.820594,40.439803,42.099712,0.945919,57.209475,
6,0.850403,0.841585,0.754741,0.825968,0.921544,7.940368,8.026373,0.212063,0.705289,0.795115,0.840854,31.165447,40.292178,41.898160,0.945474,57.297215,
7,0.846963,0.841615,0.735554,0.821472,0.921007,7.871682,7.940368,0.213813,0.708121,0.795422,0.838164,30.512173,40.043132,41.657531,0.945064,56.357155,
8,0.852885,0.841771,0.751854,0.805592,0.933631,7.610140,7.871682,0.213728,0.709711,0.794823,0.837240,29.883090,39.895846,41.407505,0.945223,57.154487,
9,0.846013,0.837855,0.746951,0.828382,0.912924,7.453049,7.610140,0.213227,0.710918,0.794691,0.835268,29.338552,39.747088,41.173169,0.944663,55.526772,
10,0.847104,0.837629,0.739484,0.819571,0.922024,7.379878,7.453049,0.215115,0.715028,0.796854,0.836624,28.811790,39.538597,40.861912,0.944485,55.775578,
11,0.847964,0.840075,0.732611,0.807803,0.931271,7.321548,7.379878,0.217154,0.716714,0.796788,0.837146,28.284556,39.423138,40.590713,0.942510,55.892063,
12,0.848666,0.839806,0.742199,0.831002,0.922255,7.122491,7.321548,0.218505,0.718663,0.798008,0.834478,27.852551,39.282338,40.342202,0.941041,55.666964,
13,0.839461,0.837321,0.737292,0.799130,0.916692,7.122491,7.122491,0.218211,0.721762,0.799551,0.836038,27.462056,39.241299,40.104334,0.940773,54.013405,
