Frame,integer_adm2,integer_adm_scale0,integer_adm_scale1,integer_adm_scale2,integer_adm_scale3,integer_motion2,integer_motion,integer_vif_scale0,integer_vif_scale1,integer_vif_scale2,integer_vif_scale3,psnr_y,psnr_cb,psnr_cr,float_ssim,vmaf,
0,0.890602,0.824970,0.785417,0.876493,0.950390,0.000000,0.000000,0.268325,0.635416,0.740579,0.813037,30.389014,42.636239,41.488325,0.934952,54.096155,
1,0.885920,0.818226,0.783645,0.858345,0.952685,18.135548,18.865898,0.271183,0.637997,0.741944,0.813276,30.587423,42.712045,41.587529,0.939409,70.488058,
2,0.884225,0.815330,0.775905,0.885991,0.937249,17.626627,18.135548,0.280955,0.650564,0.752763,0.820370,30.819557,42.787290,41.633769,0.942167,70.386099,
3,0.883645,0.818127,0.770176,0.881344,0.940678,17.135513,17.626627,0.287140,0.659943,0.760134,0.826910,30.800233,42.860824,41.698911,0.944308,70.414875,
4,0.886180,0.819523,0.775605,0.874718,0.947498,16.690487,17.135513,0.292992,0.665778,0.765043,0.830461,30.540131,42.945192,41.713543,0.946414,70.855721,
5,0.888231,0.821987,0.777517,0.873084,0.950440,15.813494,16.690487,0.299888,0.669654,0.767883,0.832906,30.181025,43.028219,41.832041,0.947206,70.707794,
6,0.885558,0.819850,0.773557,0.876956,0.945404,14.820391,15.813494,0.301946,0.667503,0.763722,0.825435,29.212605,43.186359,41.925850,0.947170,68.699001,
7,0.886700,0.820082,0.778621,0.878092,0.947799,14.048765,14.820391,0.305326,0.667758,0.763072,0.823584,28.696650,43.276113,41.992088,0.945838,68.078010,
8,0.882804,0.819480,0.776979,0.869627,0.945884,13.396565,14.048765,0.312422,0.674385,0.768098,0.828139,28.431480,43.476241,42.194063,0.946456,67.099195,
9,0.885186,0.819133,0.779095,0.872930,0.948031,12.686618,13.396565,0.319806,0.682252,0.773747,0.831654,28.192434,43.592687,42.229468,0.946899,67.232728,
10,0.883253,0.818969,0.772672,0.873586,0.946624,11.851634,12.686618,0.324547,0.685555,0.774821,0.830538,27.848072,43.671523,42.258391,0.946980,65.981559,
11,0.884009,0.817829,0.776316,0.874045,0.946936,11.022145,11.851634,0.332207,0.691557,0.778352,0.834674,27.554648,43.775968,42.260661,0.948854,65.653624,
