Frame,integer_adm2,integer_adm_scale0,integer_adm_scale1,integer_adm_scale2,integer_adm_scale3,integer_motion2,integer_motion,integer_vif_scale0,integer_vif_scale1,integer_vif_scale2,integer_vif_scale3,psnr_y,psnr_cb,psnr_cr,float_ssim,vmaf,
0,0.912004,0.866102,0.851814,0.912568,0.951258,0.000000,0.000000,0.435905,0.834830,0.882275,0.911894,30.612207,48.216511,49.321052,0.979374,67.496428,
1,0.910778,0.853143,0.849843,0.905704,0.954673,14.303154,14.806813,0.427487,0.831397,0.880419,0.911376,30.824087,48.348700,49.507923,0.979284,82.403622,
2,0.910355,0.862318,0.843893,0.909112,0.953515,14.289568,14.303154,0.426944,0.829284,0.878036,0.906615,30.812812,48.492288,49.559983,0.978948,81.865060,
3,0.910688,0.854947,0.847339,0.910611,0.954408,14.217369,14.289568,0.420665,0.823381,0.873550,0.903315,30.441452,48.382217,49.451132,0.977364,81.463154,
4,0.910486,0.850550,0.846971,0.913013,0.951698,14.217369,14.217369,0.415044,0.813722,0.864136,0.892395,29.346056,48.321506,49.318905,0.972316,80.293067,
5,0.909099,0.856653,0.853802,0.903099,0.952391,14.436825,14.436825,0.407221,0.801321,0.852112,0.881205,27.742115,48.196441,49.140308,0.967147,78.997471,
6,0.907014,0.854141,0.843436,0.901796,0.952434,14.519028,14.519028,0.397746,0.787811,0.838631,0.867420,26.860815,48.115664,49.028263,0.961587,77.223424,
7,0.900643,0.853500,0.834339,0.898472,0.944166,14.729722,14.729722,0.389820,0.775901,0.827192,0.857058,26.243328,47.954943,48.885256,0.955652,75.040096,
8,0.901635,0.849939,0.834893,0.889320,0.953105,14.709268,14.836648,0.381376,0.766935,0.818581,0.847173,25.657040,47.860816,48.727107,0.950601,74.277095,
9,0.893105,0.848473,0.822769,0.886300,0.938859,14.293806,14.709268,0.373166,0.757612,0.808795,0.836240,25.072949,47.796178,48.606941,0.945356,71.133935,
10,0.889836,0.845619,0.817290,0.886807,0.934453,14.133151,14.293806,0.362592,0.747831,0.799772,0.826739,24.509513,47.762696,48.476528,0.938787,69.443515,
11,0.887138,0.848645,0.810039,0.888371,0.930315,14.104815,14.133151,0.354134,0.737974,0.789869,0.817107,23.894625,47.733064,48.417606,0.933834,67.977078,
12,0.887567,0.848336,0.811778,0.877165,0.937014,14.104815,14.104815,0.346043,0.727445,0.779308,0.806606,23.226269,47.633461,48.268198,0.928158,67.107481,
13,0.883915,0.844610,0.806559,0.875816,0.932461,14.197847,14.197847,0.335795,0.715799,0.768060,0.796442,22.576985,47.600297,48.208386,0.922510,65.552899,
14,0.881620,0.843893,0.804985,0.878344,0.925392,16.283960,16.283960,0.342299,0.724880,0.777636,0.805527,23.369262,47.658053,48.342914,0.928706,67.822245,
15,0.879785,0.842463,0.803523,0.879302,0.923448,16.296537,16.296537,0.348502,0.731972,0.785866,0.815906,24.100720,47.656020,48.508213,0.935753,68.365880,
16,0.886108,0.844879,0.804987,0.873572,0.939680,16.533737,16.533737,0.355821,0.741775,0.797167,0.826236,24.839273,47.716467,48.630427,0.944211,70.818813,
17,0.895024,0.845663,0.812189,0.882688,0.951856,16.943392,16.943392,0.361574,0.753179,0.809647,0.839860,25.617477,47.775419,48.798016,0.951882,74.229623,
18,0.898268,0.844084,0.815734,0.895852,0.949134,20.094622,20.998705,0.372689,0.772965,0.830032,0.861631,26.506358,47.785486,48.788191,0.960417,79.658085,
19,0.902157,0.852705,0.821107,0.892855,0.954490,19.266190,20.094622,0.385549,0.794173,0.851069,0.884190,28.571027,47.782859,48.739120,0.968953,82.022915,
20,0.902623,0.849990,0.829126,0.893556,0.954549,19.005102,19.266190,0.395982,0.812950,0.870586,0.903430,30.056854,47.622675,48.553265,0.975742,83.951626,
21,0.903714,0.852189,0.832839,0.893519,0.954018,18.367924,19.005102,0.402228,0.823414,0.882392,0.916663,30.484178,47.595962,48.414332,0.979389,85.029618,
22,0.907641,0.855267,0.835525,0.899067,0.957315,17.459139,18.367924,0.400018,0.824630,0.881827,0.913284,30.425544,47.428038,48.229239,0.979571,84.782338,
23,0.908409,0.853563,0.829127,0.895833,0.964012,17.092306,17.459139,0.396977,0.827404,0.883929,0.914680,30.216590,47.403771,48.342641,0.979577,84.792998,
24,0.911514,0.853524,0.834860,0.903204,0.964645,16.718817,17.092306,0.396217,0.824301,0.878591,0.908152,29.244825,47.453802,48.349508,0.976533,84.429362,
25,0.906112,0.853420,0.833692,0.900585,0.954376,16.363628,16.718817,0.394415,0.821871,0.876480,0.905447,28.383832,47.512755,48.317561,0.973873,82.731143,
26,0.903204,0.855115,0.824586,0.893462,0.954553,15.850673,16.363628,0.395345,0.821670,0.874086,0.903070,27.828481,47.682716,48.493884,0.972533,81.412758,
27,0.902646,0.857002,0.827968,0.895593,0.950952,15.625829,15.850673,0.392001,0.815869,0.868188,0.895793,27.265026,47.692886,48.660217,0.971381,80.357839,
28,0.902249,0.860642,0.824495,0.889267,0.953845,15.449856,15.625829,0.389575,0.810225,0.861929,0.888679,26.781764,47.569630,48.639949,0.969647,79.385272,
29,0.903611,0.864336,0.825279,0.892494,0.954251,15.441926,15.449856,0.387939,0.799931,0.850314,0.877409,25.849695,47.304850,48.554996,0.965189,78.457413,
30,0.901147,0.870213,0.827594,0.895504,0.943790,15.441926,15.441926,0.387947,0.800928,0.848784,0.871720,25.026277,47.012686,48.501810,0.962829,77.488247,
31,0.892594,0.872560,0.820674,0.892368,0.929276,13.686151,15.845525,0.383046,0.801835,0.846787,0.866829,23.470428,46.178313,47.911666,0.957887,73.681471,
32,0.892608,0.871972,0.825616,0.890828,0.927373,13.542109,13.686151,0.387868,0.805661,0.848807,0.868275,22.847442,45.635755,47.763324,0.957131,73.705934,
33,0.885440,0.876487,0.823029,0.877531,0.921908,13.542109,13.542109,0.388380,0.808940,0.850309,0.869136,22.277464,45.385239,47.678113,0.951652,72.348177,
34,0.878832,0.885633,0.831299,0.867137,0.905122,12.159568,13.981427,0.367774,0.803943,0.842363,0.858861,21.092250,45.255536,47.466853,0.946811,68.691340,
35,0.881810,0.898413,0.838840,0.877960,0.897218,11.380618,12.159568,0.367004,0.795550,0.830874,0.840440,20.980972,45.346911,47.669497,0.944250,66.873880,
36,0.875327,0.906455,0.851264,0.869632,0.879062,5.991206,11.380618,0.354876,0.778911,0.809465,0.814248,20.669983,45.383670,47.780348,0.938218,57.676139,
37,0.873962,0.907389,0.837957,0.856789,0.889994,5.697699,5.991206,0.357366,0.785354,0.816487,0.822104,20.885983,45.349503,47.767188,0.940255,57.812836,
38,0.874427,0.893722,0.846398,0.854140,0.893993,5.642087,5.697699,0.355414,0.786630,0.820180,0.827989,20.940828,45.270451,47.722483,0.941008,58.374817,
39,0.866876,0.900808,0.837201,0.852814,0.878348,5.475947,5.642087,0.358469,0.788079,0.820008,0.829558,21.114040,45.204681,47.752557,0.940845,56.775931,
40,0.860910,0.900770,0.838036,0.852647,0.863273,5.475947,5.475947,0.354956,0.783529,0.816433,0.823882,21.128645,45.081832,47.691507,0.938725,55.127055,
