Frame,integer_adm2,integer_adm_scale0,integer_adm_scale1,integer_adm_scale2,integer_adm_scale3,integer_motion2,integer_motion,integer_vif_scale0,integer_vif_scale1,integer_vif_scale2,integer_vif_scale3,psnr_y,psnr_cb,psnr_cr,float_ssim,vmaf,
0,0.877147,0.874289,0.775784,0.863544,0.920466,0.000000,0.000000,0.332592,0.684207,0.766631,0.817236,29.099322,43.791226,45.470798,0.949091,51.545049,
1,0.852590,0.858548,0.772217,0.849815,0.880302,17.935450,17.935450,0.316724,0.667640,0.752899,0.808662,28.448911,43.694905,45.491086,0.945129,63.623496,
2,0.859749,0.846992,0.781955,0.850710,0.895254,18.346741,18.346741,0.311037,0.664193,0.749317,0.804582,28.347330,43.616320,45.568625,0.945264,65.018329,
3,0.851930,0.843155,0.753642,0.841875,0.893908,19.188471,19.188471,0.305077,0.656317,0.742594,0.801382,28.044986,43.403755,45.585617,0.943535,63.925387,
4,0.859032,0.842409,0.762243,0.839946,0.908058,19.929415,19.929415,0.299626,0.653347,0.741597,0.799350,27.797265,43.204600,45.588209,0.942819,65.763527,
5,0.854294,0.839725,0.769271,0.849127,0.892225,20.566532,20.566532,0.294949,0.646130,0.733798,0.791444,27.385076,43.025258,45.557904,0.941563,64.749321,
6,0.853401,0.846821,0.768259,0.830928,0.900773,20.912775,20.912775,0.287614,0.634144,0.722145,0.779703,26.690776,42.807418,45.469031,0.936155,63.950810,
7,0.843086,0.837735,0.766374,0.828755,0.880636,21.042761,21.042761,0.280207,0.623305,0.711240,0.770296,25.832779,42.611174,45.478967,0.928308,61.402194,
8,0.839238,0.834969,0.761047,0.825914,0.875515,21.492933,21.492933,0.265903,0.599469,0.684321,0.740645,24.566564,42.237373,45.301322,0.917068,58.947698,
9,0.846773,0.833277,0.768554,0.830117,0.888397,21.608330,21.608330,0.254200,0.577286,0.660373,0.716515,23.408742,41.988806,45.157194,0.902770,58.796528,
10,0.859345,0.837016,0.768299,0.839655,0.912372,21.764038,21.916233,0.240067,0.549340,0.628099,0.679874,21.730015,41.904377,44.990126,0.881273,58.913421,
11,0.857487,0.830393,0.776675,0.847592,0.901712,21.161602,21.764038,0.227673,0.525688,0.601421,0.651306,20.859268,41.970256,44.793273,0.857631,56.490486,
12,0.856410,0.831002,0.766663,0.855189,0.895346,20.417479,21.161602,0.215423,0.504449,0.578223,0.627715,20.381815,41.773013,44.437845,0.837429,54.509078,
13,0.857292,0.829329,0.760737,0.845760,0.905946,20.254141,20.417479,0.205649,0.483997,0.555776,0.605649,20.079300,42.001477,44.110958,0.819341,53.510436,
14,0.830267,0.811268,0.751495,0.838211,0.859116,20.254141,20.254141,0.196473,0.463096,0.531618,0.577902,19.981768,42.173649,43.937823,0.803454,47.749310,
15,0.811932,0.801774,0.748803,0.803654,0.844875,20.526625,20.526625,0.186248,0.442677,0.509086,0.555960,19.849391,41.713481,43.570340,0.788605,44.215203,
16,0.822574,0.793269,0.727141,0.800871,0.875141,21.256502,21.256502,0.177590,0.426226,0.491194,0.540141,19.629734,41.117166,43.139411,0.772345,46.101103,
17,0.805232,0.783086,0.723272,0.793435,0.845635,22.047871,22.047871,0.169730,0.409962,0.473676,0.520553,19.400104,40.585774,42.590517,0.755923,43.433118,
18,0.784810,0.773694,0.713595,0.782572,0.815274,22.129299,22.129299,0.161336,0.393791,0.456656,0.501733,19.277857,39.623941,41.977996,0.737084,39.943005,
19,0.771860,0.764788,0.713933,0.765701,0.800343,22.281435,22.281435,0.153772,0.377228,0.438857,0.483848,19.058124,38.992274,41.731086,0.718206,37.857868,
20,0.767990,0.759543,0.692940,0.768951,0.798437,22.590038,22.590038,0.145333,0.360154,0.420378,0.465373,18.808655,38.258667,41.136503,0.700324,37.361869,
21,0.767708,0.749734,0.686658,0.757522,0.808886,22.926571,22.926571,0.138885,0.346810,0.405242,0.448187,18.419093,37.620421,40.403678,0.682921,37.421386,
22,0.757660,0.745980,0.685176,0.760052,0.785184,23.242443,23.242443,0.133545,0.333337,0.390369,0.432501,18.136894,37.036651,39.795948,0.668266,36.157989,
23,0.767692,0.735616,0.686834,0.761696,0.810062,23.511669,23.514095,0.128231,0.323614,0.379309,0.419191,17.818364,36.574979,39.400037,0.656204,37.729825,
24,0.760417,0.729339,0.663206,0.756989,0.806517,23.086077,23.511669,0.121901,0.312173,0.365584,0.404191,17.520041,36.126984,39.042993,0.643757,36.365575,
25,0.745628,0.718880,0.649148,0.746944,0.788368,22.478518,23.086077,0.114917,0.298934,0.349888,0.386267,17.223129,35.746315,38.805138,0.631424,33.899414,
26,0.731167,0.711499,0.638072,0.731780,0.772162,22.134598,22.478518,0.109121,0.288641,0.338902,0.373178,16.919783,35.393017,38.593358,0.618436,31.790377,
27,0.729636,0.712978,0.629686,0.717220,0.778740,21.691679,22.134598,0.104989,0.280839,0.330357,0.363255,16.621910,35.072358,38.355540,0.608948,31.363574,
28,0.706872,0.704328,0.615434,0.681411,0.760967,21.114822,21.691679,0.100365,0.271748,0.320061,0.351565,16.424516,34.798290,38.107086,0.599325,28.119274,
29,0.692120,0.699389,0.603706,0.675659,0.737266,19.348156,21.114822,0.094839,0.261028,0.309073,0.340694,16.320983,34.550616,37.906183,0.589200,25.216866,
30,0.684995,0.702235,0.604462,0.669955,0.723233,19.348156,19.348156,0.091703,0.256594,0.304485,0.335721,16.072775,34.335257,37.742750,0.582359,24.462414,
