Frame,integer_adm2,integer_adm_scale0,integer_adm_scale1,integer_adm_scale2,integer_adm_scale3,integer_motion2,integer_motion,integer_vif_scale0,integer_vif_scale1,integer_vif_scale2,integer_vif_scale3,psnr_y,psnr_cb,psnr_cr,float_ssim,vmaf,
0,0.894021,0.877980,0.850629,0.890808,0.914497,0.000000,0.000000,0.405556,0.771167,0.824399,0.856178,27.645204,48.275570,45.877576,0.957704,58.185052,
1,0.889581,0.874328,0.848732,0.894766,0.903908,23.791348,23.791348,0.398897,0.759282,0.813024,0.845100,27.290680,48.212442,45.891756,0.955154,79.266064,
2,0.889063,0.871923,0.849345,0.877961,0.912277,24.055098,24.148569,0.388827,0.750459,0.806991,0.840266,27.100507,48.096629,45.678623,0.953213,78.854299,
3,0.885728,0.877500,0.844157,0.881847,0.903005,24.030121,24.055098,0.381775,0.745880,0.805364,0.838371,27.101352,47.782643,45.501247,0.951439,78.008738,
4,0.885753,0.879565,0.842607,0.876213,0.906416,24.030121,24.030121,0.372142,0.735921,0.795956,0.829889,27.027002,47.334730,45.322833,0.949884,77.179068,
5,0.888455,0.875491,0.835207,0.875763,0.916596,24.539776,24.767736,0.364376,0.729897,0.791240,0.825421,26.945304,47.013299,45.048706,0.948009,77.649870,
6,0.887644,0.874867,0.835254,0.883207,0.911290,24.101292,24.539776,0.356703,0.724545,0.787698,0.823197,26.879832,46.893071,45.129965,0.946724,76.924018,
7,0.884497,0.871011,0.836853,0.874610,0.909750,24.101292,24.101292,0.350673,0.722330,0.785855,0.822876,26.732099,46.262622,45.095456,0.944784,76.234373,
8,0.882122,0.868331,0.837746,0.867064,0.910354,23.307125,24.115944,0.348169,0.720800,0.783195,0.819525,26.655085,45.878418,45.061447,0.943576,74.882200,
9,0.882382,0.869423,0.833595,0.871555,0.909590,22.736897,23.307125,0.346597,0.725485,0.786914,0.822670,26.640329,45.544217,45.044814,0.943826,74.782032,
10,0.876812,0.868170,0.831562,0.863898,0.903414,22.243080,22.736897,0.348535,0.726732,0.786392,0.821697,26.670949,45.191396,45.241578,0.943886,73.233128,
11,0.870214,0.864226,0.830799,0.853854,0.897258,21.534262,22.243080,0.347056,0.728114,0.786243,0.819525,26.725651,44.752587,45.239044,0.943850,71.230748,
12,0.870156,0.866093,0.824144,0.853411,0.900763,20.936974,21.534262,0.346078,0.727692,0.784928,0.817242,26.729754,44.351094,45.178250,0.943443,70.546473,
13,0.864962,0.865795,0.825392,0.846699,0.891352,20.360085,20.936974,0.344987,0.727945,0.784641,0.816564,26.703884,44.033359,45.100789,0.943520,69.006703,
14,0.870070,0.862960,0.824545,0.854763,0.897977,20.044306,20.360085,0.344617,0.728632,0.784934,0.815757,26.637006,43.683300,45.029800,0.943231,69.687377,
15,0.861426,0.863318,0.822030,0.841908,0.887194,19.783175,20.044306,0.342870,0.724432,0.781039,0.812036,26.539026,43.109579,44.920550,0.942226,67.455626,
16,0.853221,0.865767,0.824444,0.840094,0.868622,19.347723,19.783175,0.338525,0.717355,0.773216,0.803891,26.286682,42.211131,44.575414,0.940310,64.787125,
17,0.850257,0.862317,0.813252,0.835927,0.869361,18.816851,19.347723,0.333858,0.708860,0.764412,0.797329,25.914148,41.256273,44.078977,0.935129,63.147373,
18,0.846868,0.860353,0.809420,0.824539,0.869966,18.349283,18.816851,0.328330,0.700593,0.755571,0.787188,25.494881,40.469580,43.670730,0.930047,61.262452,
19,0.830345,0.859470,0.804928,0.832570,0.830390,18.011206,18.349283,0.323884,0.692739,0.747055,0.776643,25.075059,39.561685,43.198999,0.924522,56.999089,
20,0.835420,0.856221,0.801935,0.811808,0.856459,17.743807,18.011206,0.317370,0.681539,0.734107,0.762553,24.577014,38.842452,42.692189,0.918129,56.615886,
21,0.823437,0.851175,0.788555,0.798783,0.844160,17.536304,17.743807,0.310117,0.669500,0.722808,0.751337,24.034777,38.532259,42.527926,0.911351,53.346424,
22,0.799639,0.853372,0.785145,0.778047,0.803531,17.260489,17.536304,0.304067,0.659848,0.711847,0.738377,23.349784,38.478746,42.499069,0.904562,47.786118,
23,0.812064,0.852075,0.780913,0.781907,0.830637,17.202209,17.260489,0.297595,0.645949,0.696842,0.723841,22.544849,38.400802,42.524068,0.894407,48.993759,
24,0.790026,0.850650,0.769576,0.772593,0.790719,17.030291,17.202209,0.291373,0.632351,0.682719,0.707658,21.690636,38.352809,42.517144,0.885339,43.809269,
25,0.754201,0.848404,0.768430,0.762996,0.718345,16.518337,17.030291,0.285929,0.623441,0.672852,0.696973,20.823165,38.394513,42.373510,0.876860,36.376809,
26,0.799095,0.849550,0.761704,0.768828,0.816711,16.061386,16.518337,0.279813,0.616642,0.667622,0.692081,19.976353,38.398902,42.135514,0.869948,43.638169,
27,0.787473,0.849349,0.766561,0.782114,0.779645,15.456026,16.061386,0.274521,0.608316,0.658179,0.680453,18.909406,38.289517,41.800852,0.865734,40.345205,
28,0.771899,0.850053,0.763350,0.775984,0.749212,14.742597,15.456026,0.270738,0.604501,0.656258,0.681355,18.696315,38.145929,41.623763,0.865238,37.043271,
29,0.804889,0.850408,0.760772,0.788079,0.818457,13.207825,14.742597,0.265397,0.595966,0.648862,0.676795,18.636933,37.885609,41.568180,0.862257,41.245076,
30,0.828395,0.852323,0.765845,0.807030,0.863002,12.953017,13.207825,0.262199,0.591030,0.644072,0.669536,18.667757,37.970307,41.349102,0.858401,44.843300,
31,0.840707,0.850261,0.766067,0.798064,0.902644,12.769147,12.953017,0.258688,0.585820,0.639897,0.668941,18.844233,37.808482,41.250123,0.855843,46.889196,
32,0.838046,0.851216,0.763873,0.806672,0.894428,12.619445,12.769147,0.255344,0.579139,0.633245,0.660140,19.107579,37.507819,41.102239,0.854235,45.790766,
33,0.840496,0.850658,0.768092,0.800849,0.901438,12.619445,12.619445,0.250346,0.570453,0.623541,0.649871,18.816879,37.027310,40.764464,0.853238,45.671630,
34,0.841129,0.851610,0.762773,0.800128,0.903196,15.293147,15.293147,0.254289,0.577927,0.631214,0.660035,19.009084,36.804872,40.665385,0.856611,48.729361,
