Frame,integer_adm2,integer_adm_scale0,integer_adm_scale1,integer_adm_scale2,integer_adm_scale3,integer_motion2,integer_motion,integer_vif_scale0,integer_vif_scale1,integer_vif_scale2,integer_vif_scale3,psnr_y,psnr_cb,psnr_cr,float_ssim,vmaf,
0,0.923635,0.866093,0.855435,0.898652,0.974252,0.000000,0.000000,0.478746,0.862167,0.910676,0.938369,33.996965,51.113214,52.328191,0.986094,72.773981,
1,0.909201,0.869309,0.854408,0.896955,0.956911,4.610817,4.610817,0.469180,0.846667,0.898312,0.929573,34.097080,50.997435,52.479361,0.985549,73.992749,
2,0.906388,0.868043,0.842022,0.917687,0.937973,4.623422,4.708992,0.464526,0.840263,0.892787,0.923152,33.862245,50.862444,52.098936,0.984580,72.746754,
3,0.911056,0.869598,0.851480,0.883855,0.961033,4.623422,4.623422,0.466553,0.841864,0.894150,0.925117,33.894178,50.804778,52.063687,0.983898,73.910310,
4,0.922645,0.871213,0.848014,0.928428,0.958668,4.639425,4.639425,0.467161,0.842313,0.894407,0.927964,33.816969,50.740808,51.976326,0.984413,76.569482,
5,0.922755,0.881927,0.846885,0.908109,0.972792,4.698085,4.698085,0.466673,0.840706,0.893751,0.927734,33.679157,50.684279,51.726364,0.984326,76.619809,
6,0.917963,0.873467,0.863331,0.914280,0.955535,4.771668,4.771668,0.467721,0.840698,0.895509,0.929966,33.669566,50.604558,51.749048,0.984739,75.937330,
7,0.919592,0.869960,0.845078,0.908330,0.966754,4.841317,4.841317,0.468279,0.836773,0.891262,0.927219,33.411344,50.642322,51.711217,0.984401,75.989447,
8,0.916813,0.872694,0.846709,0.897221,0.969302,4.894835,4.894835,0.468886,0.837596,0.894251,0.929018,33.280935,50.643841,51.606049,0.984652,75.719005,
9,0.918388,0.868059,0.841197,0.918413,0.961518,4.980857,4.980857,0.467819,0.832468,0.890557,0.926075,32.764899,50.658645,51.567593,0.984729,75.791943,
10,0.908400,0.867908,0.838560,0.887444,0.958774,5.085807,5.085807,0.464101,0.824648,0.882512,0.917647,32.066876,50.684469,51.231944,0.983676,72.916004,
11,0.903216,0.862973,0.826063,0.892928,0.954869,5.156675,5.156675,0.462954,0.820906,0.879049,0.914420,31.546888,50.692911,51.228207,0.982907,71.562027,
12,0.899755,0.863263,0.829024,0.879923,0.952182,5.219627,5.219627,0.459493,0.813891,0.872724,0.912518,31.203183,50.639996,50.851520,0.981176,70.568299,
13,0.898674,0.856912,0.820095,0.882926,0.949352,5.243896,5.243896,0.460713,0.810404,0.869168,0.907756,30.861938,50.599090,50.762694,0.980398,69.896104,
