Frame,integer_adm2,integer_adm_scale0,integer_adm_scale1,integer_adm_scale2,integer_adm_scale3,integer_motion2,integer_motion,integer_vif_scale0,integer_vif_scale1,integer_vif_scale2,integer_vif_scale3,psnr_y,psnr_cb,psnr_cr,float_ssim,vmaf,
0,0.925145,0.886264,0.852363,0.911991,0.967786,0.000000,0.000000,0.537485,0.832878,0.874031,0.902262,32.157727,49.447083,52.209814,0.979765,68.824663,
1,0.921237,0.890441,0.857095,0.922827,0.951775,11.059683,11.059683,0.529718,0.830644,0.873082,0.902091,32.109683,49.397755,52.345185,0.981330,80.466284,
2,0.910136,0.877593,0.846807,0.909190,0.940157,11.137021,11.140396,0.523716,0.824619,0.868448,0.899663,32.024743,49.496767,51.862182,0.980173,77.885275,
3,0.906366,0.882440,0.842243,0.892675,0.945025,11.136377,11.137021,0.518466,0.825417,0.870227,0.900596,31.898900,49.490970,52.259027,0.978516,77.231608,
4,0.912737,0.884059,0.850262,0.909136,0.946246,11.136377,11.136377,0.518085,0.827113,0.872078,0.903016,32.175025,49.453819,52.039646,0.979555,78.803046,
5,0.912549,0.880206,0.846853,0.895262,0.953958,11.271719,11.271719,0.517747,0.825004,0.870355,0.904015,32.002951,49.463801,51.854368,0.980111,78.918086,
6,0.910158,0.874993,0.845249,0.910835,0.943690,11.327542,11.327542,0.511703,0.821355,0.868318,0.901264,31.244054,49.429857,51.848148,0.979749,78.205162,
7,0.920820,0.889030,0.868048,0.902242,0.960183,11.502660,11.502660,0.508394,0.811492,0.857385,0.892146,28.897039,48.979884,51.305610,0.978982,79.552370,
8,0.921010,0.881861,0.858872,0.915812,0.956252,11.747455,11.747455,0.495414,0.796337,0.842265,0.875573,26.619129,48.579510,50.681834,0.973541,78.124535,
9,0.917833,0.879893,0.851949,0.913860,0.955992,12.057195,12.057195,0.479620,0.769455,0.813867,0.847240,25.238027,48.082420,50.127757,0.961938,74.868211,
10,0.907514,0.870984,0.857295,0.903344,0.938425,12.281079,12.281079,0.461115,0.744686,0.788977,0.820801,24.292330,47.615145,49.555441,0.950450,70.458369,
11,0.905370,0.873819,0.831074,0.894977,0.946996,12.529374,12.529374,0.442333,0.716250,0.760191,0.791920,23.517638,47.084481,48.951153,0.938658,67.625440,
12,0.896425,0.867648,0.831925,0.894591,0.928474,12.822863,12.822863,0.426602,0.690747,0.732775,0.764797,22.840039,46.600962,48.397094,0.926977,63.783654,
13,0.891315,0.860586,0.832299,0.884062,0.925406,13.107184,13.107184,0.410337,0.664536,0.706648,0.740966,22.297571,46.082682,48.007507,0.912505,61.112723,
14,0.866790,0.859239,0.817770,0.851869,0.895212,13.274750,13.274750,0.390766,0.635253,0.676283,0.709082,21.768883,45.678519,47.471625,0.898536,54.238387,
15,0.861166,0.852244,0.788909,0.869316,0.883876,13.330608,13.330608,0.374865,0.614370,0.656154,0.688546,21.300422,45.089441,46.953503,0.886764,51.894178,
16,0.860060,0.840678,0.790678,0.851302,0.893851,13.445361,13.445361,0.358937,0.590201,0.630436,0.662283,20.847765,44.451130,46.270621,0.869995,50.183392,
17,0.822449,0.836671,0.772279,0.819312,0.839539,13.589425,13.589425,0.342048,0.567844,0.607781,0.639016,20.422329,44.139449,45.946500,0.857720,42.246590,
18,0.830689,0.835357,0.779428,0.813475,0.856719,13.710118,13.710118,0.326162,0.547018,0.585977,0.616704,20.001223,43.802216,45.576420,0.844712,42.764662,
19,0.814266,0.829171,0.753064,0.802265,0.840029,13.888571,13.888571,0.309333,0.524257,0.562684,0.591769,19.604276,43.486514,45.158561,0.833806,39.015138,
