Frame,integer_adm2,integer_adm_scale0,integer_adm_scale1,integer_adm_scale2,integer_adm_scale3,integer_motion2,integer_motion,integer_vif_scale0,integer_vif_scale1,integer_vif_scale2,integer_vif_scale3,psnr_y,psnr_cb,psnr_cr,float_ssim,vmaf,
0,0.840705,0.833510,0.725008,0.823252,0.909232,0.000000,0.000000,0.205823,0.688151,0.787130,0.843262,33.797867,40.678425,42.471465,0.949306,47.759534,
1,0.841305,0.832404,0.751343,0.821237,0.905881,9.253545,9.253545,0.199890,0.682040,0.784878,0.843673,33.743152,40.483233,42.249892,0.947456,56.962656,
2,0.842574,0.829753,0.735399,0.821519,0.916218,9.371118,9.423699,0.200999,0.681674,0.784683,0.840702,33.193187,40.119557,42.024277,0.945483,57.110549,
3,0.841591,0.832701,0.747472,0.824277,0.904522,8.763744,9.371118,0.198447,0.681951,0.784400,0.843097,31.037858,39.622380,41.808027,0.941953,56.510837,
4,0.841545,0.832709,0.744440,0.820051,0.907369,8.102503,8.763744,0.196064,0.681071,0.782276,0.840365,27.682869,38.418666,41.523879,0.932039,55.650095,
5,0.848506,0.841574,0.762642,0.825900,0.909136,7.643788,8.102503,0.191473,0.677518,0.777777,0.832429,25.826152,37.447944,41.181870,0.924022,55.945489,
6,0.853078,0.844457,0.764857,0.837616,0.913249,7.111338,7.643788,0.185060,0.669985,0.769482,0.825178,24.491515,36.605632,40.589053,0.917846,55.705275,
7,0.858666,0.846115,0.763273,0.846833,0.918192,6.563709,7.111338,0.179117,0.671529,0.771326,0.825403,23.426022,35.810987,39.865534,0.912463,56.336636,
8,0.859639,0.859486,0.769554,0.836840,0.919944,6.518712,6.563709,0.174355,0.669147,0.769879,0.822652,22.563598,35.045765,39.076728,0.906440,56.309033,
9,0.858983,0.858529,0.771374,0.846807,0.910435,6.518712,6.518712,0.170577,0.666650,0.765742,0.816137,21.979223,34.268526,38.301064,0.899468,55.683202,
10,0.848478,0.856671,0.758960,0.831643,0.900425,6.540600,6.578791,0.166480,0.657748,0.755909,0.802407,21.633098,33.756712,37.768286,0.892316,52.662392,
11,0.852542,0.853991,0.765397,0.836022,0.907971,6.486473,6.540600,0.164212,0.655494,0.750411,0.798500,21.401397,33.419250,37.374866,0.886391,53.015957,
12,0.850997,0.859841,0.753698,0.841238,0.901872,6.399811,6.486473,0.161305,0.651040,0.743894,0.790615,21.178593,33.141820,37.007053,0.882504,52.031906,
