Frame,integer_adm2,integer_adm_scale0,integer_adm_scale1,integer_adm_scale2,integer_adm_scale3,integer_motion2,integer_motion,integer_vif_scale0,integer_vif_scale1,integer_vif_scale2,integer_vif_scale3,psnr_y,psnr_cb,psnr_cr,float_ssim,vmaf,
0,0.883423,0.823460,0.782420,0.876347,0.936140,0.000000,0.000000,0.286248,0.652032,0.757866,0.829448,30.595057,43.253959,42.026417,0.940283,53.964009,
1,0.887498,0.816612,0.779156,0.879969,0.945550,11.098662,11.436752,0.275237,0.641105,0.747136,0.822138,30.299161,43.247482,42.027107,0.937750,65.262011,
2,0.880529,0.814538,0.771946,0.874490,0.936235,11.098662,11.098662,0.269488,0.632869,0.739639,0.816382,30.133002,43.219708,42.000605,0.934133,63.419047,
3,0.881030,0.813069,0.773995,0.884125,0.934122,11.143615,11.143615,0.265395,0.629513,0.737822,0.812177,30.021924,43.121694,41.942908,0.931300,63.283094,
4,0.877947,0.808926,0.773242,0.879483,0.930028,11.227853,11.227853,0.260780,0.625029,0.734573,0.812937,29.871230,43.009546,41.799196,0.928069,62.788328,
5,0.881956,0.813518,0.771762,0.873106,0.942333,11.367588,11.367588,0.254624,0.615747,0.726223,0.804136,29.633940,42.912795,41.746096,0.925453,63.019664,
6,0.881743,0.812181,0.777330,0.872849,0.939904,11.492462,11.492462,0.248624,0.608742,0.720492,0.798821,29.426432,42.849901,41.627300,0.923321,62.700484,
7,0.881021,0.816377,0.770119,0.862594,0.943985,11.589597,11.589597,0.245074,0.607914,0.719753,0.798539,29.292105,42.794491,41.574862,0.920883,62.633520,
8,0.870086,0.813812,0.779015,0.866726,0.920184,11.762314,11.762314,0.240565,0.601642,0.714227,0.794055,29.074035,42.723459,41.507747,0.918447,60.362316,
9,0.877111,0.805088,0.774414,0.862058,0.934736,11.918632,11.918632,0.235878,0.596795,0.711939,0.794691,28.905365,42.668536,41.483192,0.915253,61.901768,
10,0.877245,0.811333,0.770514,0.860704,0.939761,12.136311,12.136311,0.232783,0.591965,0.707182,0.788498,28.674921,42.587466,41.369512,0.912269,61.682727,
11,0.870961,0.802354,0.757162,0.868983,0.925508,12.465443,12.465443,0.227532,0.583610,0.700777,0.788725,28.483597,42.489365,41.288429,0.908665,60.762570,
12,0.864205,0.802661,0.743938,0.857250,0.928681,12.646077,12.646077,0.223614,0.580189,0.699322,0.784645,28.319596,42.427251,41.216500,0.907137,59.419073,
13,0.869655,0.800419,0.750130,0.869863,0.926010,12.760552,12.760552,0.219225,0.574091,0.694500,0.781432,28.186759,42.314535,41.086232,0.904655,60.327700,
14,0.866815,0.798108,0.749403,0.859495,0.931036,12.880497,12.880497,0.215203,0.568349,0.688825,0.777970,28.030682,42.204721,40.948960,0.901588,59.640281,
