Frame,integer_adm2,integer_adm_scale0,integer_adm_scale1,integer_adm_scale2,integer_adm_scale3,integer_motion2,integer_motion,integer_vif_scale0,integer_vif_scale1,integer_vif_scale2,integer_vif_scale3,psnr_y,psnr_cb,psnr_cr,float_ssim,vmaf,
0,0.758362,0.778507,0.666756,0.724090,0.817117,0.000000,0.000000,0.253868,0.590180,0.675152,0.745533,26.620921,43.849216,45.054494,0.922937,25.209277,
1,0.777378,0.773422,0.660843,0.735666,0.853919,13.786781,15.017194,0.257584,0.586386,0.670921,0.742332,27.201526,43.968596,45.265439,0.922544,41.150333,
2,0.765140,0.775454,0.667607,0.737891,0.821246,13.416300,13.786781,0.260174,0.588868,0.673988,0.743289,27.129198,43.998231,45.299465,0.922553,38.717752,
3,0.769073,0.779824,0.664478,0.729589,0.836807,13.301065,13.416300,0.261529,0.589998,0.674975,0.744712,26.968313,43.985089,45.271458,0.922453,39.382569,
4,0.769539,0.778643,0.656950,0.743013,0.831654,13.301065,13.301065,0.260893,0.588086,0.672778,0.740751,26.941413,43.903621,45.275532,0.922558,39.229214,
5,0.774382,0.776069,0.669663,0.733570,0.843587,13.308367,13.308367,0.262022,0.589015,0.673163,0.738772,26.928479,43.808925,45.263729,0.922397,39.968069,
6,0.758994,0.773865,0.666409,0.719743,0.819499,13.319604,13.341339,0.261448,0.587814,0.670742,0.733562,26.746669,43.752488,45.268820,0.920837,36.950432,
7,0.761572,0.773777,0.660401,0.709433,0.833353,13.319604,13.319604,0.261383,0.586194,0.668972,0.731768,26.562007,43.691034,45.230427,0.920262,37.293650,
8,0.759384,0.777170,0.663419,0.718214,0.820064,12.967252,13.483942,0.259222,0.583531,0.665422,0.728485,26.216750,43.570346,45.144547,0.917627,36.390456,
9,0.750425,0.780559,0.655494,0.715067,0.804586,12.667236,12.967252,0.258712,0.581994,0.663827,0.724581,26.212538,43.508970,45.134370,0.912811,34.342494,
10,0.756987,0.779580,0.655580,0.718869,0.816584,12.459805,12.667236,0.256935,0.578931,0.661059,0.721514,26.078182,43.472684,45.114168,0.909323,35.131678,
11,0.742782,0.782058,0.656303,0.707466,0.790089,12.095065,12.459805,0.256755,0.579139,0.659913,0.719201,25.923254,43.383276,45.067001,0.905965,32.193287,
