Frame,integer_adm2,integer_adm_scale0,integer_adm_scale1,integer_adm_scale2,integer_adm_scale3,integer_motion2,integer_motion,integer_vif_scale0,integer_vif_scale1,integer_vif_scale2,integer_vif_scale3,psnr_y,psnr_cb,psnr_cr,float_ssim,vmaf,
0,0.790294,0.774415,0.697142,0.780333,0.831786,0.000000,0.000000,0.232719,0.550382,0.646927,0.714521,25.976478,42.016227,40.056863,0.902802,29.440680,
1,0.792343,0.778800,0.679755,0.786407,0.836095,9.175599,9.606209,0.230261,0.545438,0.640895,0.707018,25.919978,42.059048,40.055931,0.901401,37.892419,
2,0.794434,0.779160,0.685734,0.788302,0.839752,9.111015,9.175599,0.229054,0.543941,0.637311,0.705262,25.819509,42.046143,40.017110,0.900696,38.072911,
3,0.799394,0.783103,0.673772,0.778857,0.856607,9.111015,9.111015,0.228729,0.543684,0.636554,0.705952,25.719979,42.026228,39.968468,0.900533,38.975131,
4,0.801430,0.778765,0.691008,0.786941,0.854506,9.343747,9.343747,0.229405,0.543252,0.636927,0.704937,25.602692,42.016083,39.917907,0.899667,39.505149,
5,0.805120,0.780479,0.684738,0.786816,0.861319,9.514554,9.514554,0.229374,0.540595,0.633877,0.701760,25.467200,41.948281,39.840384,0.898156,40.135324,
6,0.799813,0.779793,0.684633,0.795930,0.846470,9.618494,9.618494,0.228805,0.540085,0.633653,0.701942,25.360509,41.892725,39.734421,0.896622,39.313087,
7,0.814371,0.780969,0.692257,0.796357,0.874394,9.814278,9.814278,0.228609,0.540477,0.634435,0.701512,25.255212,41.871111,39.687434,0.895987,42.054257,
8,0.812134,0.779767,0.695743,0.795132,0.871866,9.927137,9.927137,0.228314,0.539944,0.634235,0.700047,25.160310,41.876686,39.633512,0.894669,41.688727,
9,0.810107,0.778440,0.702681,0.796270,0.864498,9.962497,9.962497,0.228389,0.537616,0.630431,0.696271,25.047039,41.842959,39.526781,0.892688,41.129783,
10,0.814617,0.785781,0.699129,0.797592,0.873258,10.062978,10.062978,0.229245,0.537140,0.629677,0.695203,24.949643,41.818154,39.497765,0.891437,41.954079,
11,0.811545,0.787492,0.702731,0.791681,0.867608,10.151893,10.151893,0.229668,0.535860,0.627878,0.692277,24.833778,41.792110,39.457145,0.889830,41.322512,
12,0.809635,0.785218,0.700894,0.798473,0.858963,10.175551,10.175551,0.230223,0.534497,0.625840,0.690617,24.761938,41.784196,39.428889,0.888204,40.903391,
13,0.808890,0.788970,0.706423,0.798653,0.856133,10.258660,10.258660,0.229997,0.532027,0.622587,0.686647,24.645013,41.750446,39.390138,0.886738,40.626668,
14,0.806671,0.788363,0.706512,0.789758,0.853308,10.410528,10.410528,0.230986,0.530113,0.619665,0.682981,24.521845,41.695701,39.370721,0.886063,40.160891,
15,0.806793,0.788026,0.706428,0.798631,0.852087,10.506882,10.506882,0.231305,0.529055,0.618535,0.683053,24.443014,41.666706,39.361538,0.884745,40.272812,
16,0.804097,0.787809,0.703803,0.781338,0.855527,10.603995,10.603995,0.232104,0.527626,0.616182,0.679505,24.347057,41.602405,39.344140,0.882935,39.684777,
17,0.805718,0.787487,0.701443,0.784510,0.859489,10.677863,10.677863,0.232482,0.524998,0.612329,0.674279,24.247142,41.533471,39.316297,0.881666,39.747376,
18,0.812073,0.786493,0.711820,0.795905,0.863072,10.694760,10.694760,0.232798,0.523888,0.610860,0.673262,24.147989,41.443199,39.254724,0.880275,40.819275,
19,0.813166,0.788117,0.701182,0.795439,0.868802,10.720050,10.720050,0.233959,0.523212,0.609587,0.669848,24.057158,41.343711,39.221413,0.878869,40.843088,
20,0.817075,0.789400,0.711409,0.803084,0.868657,10.732844,10.732844,0.233859,0.520905,0.606468,0.665778,23.960048,41.234875,39.151736,0.877467,41.324364,
21,0.813663,0.790164,0.716907,0.794751,0.863273,10.751859,10.751859,0.234378,0.518975,0.603050,0.663102,23.829648,41.105204,39.080518,0.874657,40.582961,
22,0.816704,0.789114,0.706086,0.800482,0.871277,10.753223,10.753223,0.233381,0.516266,0.600050,0.659912,23.684080,40.927340,38.984599,0.873048,40.963779,
23,0.815548,0.794079,0.717699,0.796704,0.866286,10.811687,10.811687,0.233633,0.514744,0.598172,0.658730,23.555593,40.795900,38.932560,0.870719,40.752507,
24,0.817063,0.790893,0.713579,0.796987,0.869385,10.893203,10.893203,0.232067,0.511939,0.594578,0.653035,23.408225,40.657884,38.844647,0.868994,40.809230,
25,0.816237,0.791991,0.709622,0.793729,0.872437,10.935822,10.935822,0.230727,0.508344,0.591696,0.651915,23.255378,40.549000,38.795602,0.866979,40.681646,
26,0.816264,0.792530,0.714707,0.799414,0.865689,10.937329,10.937329,0.230397,0.505209,0.587907,0.649327,23.103511,40.449661,38.729014,0.864731,40.564355,
27,0.812240,0.789489,0.713102,0.799545,0.858244,10.945590,10.945590,0.229471,0.502429,0.584505,0.645205,22.944513,40.373153,38.654059,0.862224,39.678107,
28,0.811852,0.793514,0.714142,0.797931,0.857602,10.981984,10.981984,0.229326,0.500196,0.582148,0.640537,22.785947,40.274993,38.594744,0.860555,39.426473,
29,0.810834,0.790555,0.715467,0.799499,0.854082,11.003905,11.003905,0.229118,0.499377,0.580789,0.639117,22.646925,40.196833,38.588898,0.858856,39.198424,
30,0.817423,0.792920,0.718847,0.805093,0.863157,12.922535,13.141097,0.232646,0.504138,0.585517,0.644008,22.808708,40.284278,38.664675,0.862426,42.249844,
31,0.815862,0.792965,0.721518,0.795936,0.863929,12.706448,12.922535,0.235451,0.509921,0.590846,0.650482,22.991711,40.385714,38.740697,0.865824,42.062279,
32,0.822872,0.793942,0.724749,0.806619,0.872926,12.462809,12.706448,0.239110,0.516585,0.597744,0.655243,23.156826,40.469314,38.853191,0.868935,43.276432,
33,0.837667,0.801277,0.725260,0.821589,0.893089,12.064301,12.462809,0.242036,0.523282,0.605290,0.661889,23.350974,40.541731,38.947689,0.873460,45.867011,
34,0.839019,0.798865,0.732980,0.817992,0.897182,11.834995,12.064301,0.244147,0.527936,0.610340,0.668529,23.562549,40.588725,39.005946,0.877149,46.241972,
35,0.840139,0.796526,0.728898,0.817874,0.902400,11.706967,11.834995,0.247647,0.534620,0.616507,0.674236,23.839966,40.704373,39.132026,0.882031,46.602439,
36,0.842506,0.800513,0.731191,0.822972,0.903453,11.557693,11.706967,0.249568,0.538744,0.621102,0.679407,24.062747,40.853293,39.290391,0.886374,47.172031,
37,0.844112,0.799873,0.728998,0.814724,0.910818,11.317793,11.557693,0.251300,0.543087,0.626984,0.686038,24.267997,41.007937,39.462790,0.889598,47.629714,
38,0.846551,0.799050,0.725294,0.824171,0.913719,11.016434,11.317793,0.254176,0.552114,0.636796,0.694634,24.500285,41.154833,39.599493,0.891916,48.290689,
39,0.845334,0.801868,0.736547,0.821610,0.908544,10.762509,11.016434,0.256557,0.558604,0.644147,0.701087,24.785348,41.290483,39.723335,0.894411,48.221495,
40,0.848687,0.799608,0.731353,0.837450,0.907180,10.549174,10.762509,0.258680,0.564707,0.650268,0.707531,25.000635,41.376675,39.908076,0.896970,49.015071,
41,0.849943,0.803154,0.738124,0.822727,0.915171,10.398396,10.549174,0.259993,0.567997,0.653522,0.709362,25.177069,41.419008,40.033534,0.899390,49.218541,
42,0.852052,0.804588,0.736800,0.839619,0.909731,10.250141,10.398396,0.261137,0.572941,0.658354,0.715619,25.388514,41.530021,40.209895,0.901857,49.843779,
